arch,fond,inv,anomalies,min_anom,max_anom,body_p95,body_files,concat,yearlike,isolated,empty_shells
ДАХмО,315,1,173,668170,126051111,12472,12944,172,0,1,0
ДАЧвО,1245,1,48,101106,964969,3567,1074,48,0,0,0
ДАВіО,172,8,48,119251,23342339,2434,1454,17,0,31,0
ДАДнО,Р6478,1,34,411115,411149,65767,65793,34,0,0,0
ДАПО,Р9106,1,27,144688,174340,16943,12264,27,0,0,0
ДАПО,Р9106,7,26,130255,35183646,9063,9495,26,0,0,0
ДАХО,40,110,25,429173,50541846,27130,548,23,0,2,0
ДАЗпО,Р5593,3,23,10076,10491050,1061,1080,22,0,1,0
ДАХмО,18,1,22,169651,1939416,1916,2017,22,0,0,0
ДАЖО,1,78,22,11149,10811084,1132,1192,22,0,0,0
ДАДнО,193,3,22,362522,7601918,860,909,22,0,0,0
ДАЧвО,12,1,21,53845,97561,9765,6548,21,0,0,21
ДАКО,Р5597,1,20,1144569,1666109,187375,116196,20,0,0,20
ДАВіО,172,6,19,93208,11681288,1144,600,14,0,5,0
ДАІФО,631,1,18,6837,697241,781,823,18,0,0,0
ДАЧвО,1245,13,17,3335,376381,527,545,17,0,0,0
ЦДАМЛМ,Б1,1,16,277400,498943,52617,1287,14,0,2,16
ДАЧвО,1245,3,15,6673,158162,1317,337,15,0,0,0
ДАДнО,193,4,14,61518,6811910,741,780,14,0,0,0
ДАЖО,178,3,14,7577,263559,546,575,14,0,0,0
ДАЖО,1,74,14,2526,283285,404,425,14,0,0,0
ДАВіО,172,9,13,141145,780792,1068,1005,13,0,0,0
ДАХО,40,105,12,6801871,127541868,698504,815,6,0,6,0
ДАПО,801,1,11,46449,4594699,4447,4663,11,0,0,0
ДАВоО,193,1,11,6037,60240,221,233,11,0,0,0
ДАЧвО,1245,9,11,3537,255257,485,407,11,0,0,0
ДАЖО,178,51,10,103620,2711828,1746,1835,10,0,0,0
ЦДІАК,127,685,10,7331881,14201884,1373653,392,10,0,0,0
ДАВіО,172,5,10,134264,656657,957,605,1,0,9,0
ДАДнО,193,1,9,352495,581884,512,538,9,0,0,0
ДАХО,40,109,9,49451,4751829,614,270,8,0,1,0
ДАХеО,137,40,9,191600,19051906,255,241,8,0,1,0
ДАПО,П15,3,9,148799,148807,17114,12021,9,0,0,0
ДАКрО,7,2,9,2001,2009,202,212,0,9,0,9
ЦДАВО,1092,3,8,2780,2788,379,387,8,0,0,0
ДАПО,Р1503,2,8,138140,187188,4931,205,8,0,0,0
ДАЧвО,1245,12,7,7477,119122,1495,282,7,0,0,0
ДАОО,37,13,7,8000,1230508,1187,1183,7,0,0,0
ДАВоО,35,2,7,16767,925179,1289,1358,7,0,0,0
ДАПО,1011,6,7,54533,965669,1166,1227,7,0,0,0
ДАВіО,172,2,7,4680,587630,634,500,5,0,2,0
ДАЖО,1,77,6,1984499,19391947,2146,2255,6,0,0,0
ДАВіО,172,7,6,130133,12831323,1235,1146,4,0,2,0
ДАЗкО,Р1606,13,6,814,108752,148,156,6,0,0,0
ДАХмО,Р6193,9,6,97834,107178,12194,12836,6,0,0,0
ДАЧвО,1245,8,6,2325,105107,229,234,6,0,0,0
ДААРК,299,1,6,218740,846257,832,870,6,0,0,0
ЦДІАК,127,1070,6,1260,2370,179,174,4,2,0,0
ДАХмО,Р6193,12,6,534110422,3074936573,26041,25211,0,0,6,0
ДАПО,706,4,6,195552,339630,421,443,6,0,0,0
ДАХеО,316,1,5,69550,459552,444,444,5,0,0,0
ДАХеО,259,27,5,12543,209548,224,230,5,0,0,0
ДАВіО,904,26,5,167215,232220,252,249,5,0,0,0
ЦДІАК,51,3,5,100899,560917,19299,19883,5,0,0,5
ДАЗкО,Р1606,3,5,4710,114679,162,171,5,0,0,0
ДАПО,1011,9,5,83617,179701,213,224,5,0,0,0
ДАЗпО,Р5593,2,5,57477,1441391,1378,1410,5,0,0,0
ДАКрО,317,7,5,122834,12981299,12882,13525,5,0,0,0
ЦДАВО,3254,1,5,1920,1924,316,331,0,5,0,0
ДАЧвО,1245,11,5,1623,173175,315,330,5,0,0,0
ДАВоО,96,1,4,3654,414404,536,562,4,0,0,0
ЦДАВО,10,1,4,11921,1131923,300,316,4,0,0,0
ДАЛуО,126,18,4,76347,791903,147,146,3,0,1,0
ДАПО,1011,5,4,11647,194690,214,225,4,0,0,0
ДАПО,1011,7,4,12540,106650,166,170,4,0,0,0
ДАДнО,193,9,4,38564,911917,100,105,4,0,0,0
ДАВіО,904,25,4,5456,8659,122,126,4,0,0,0
ДАЧкО,6,1,4,2001,2007,180,190,0,4,0,0
ДАВіО,172,3,4,3032,156159,154,128,3,0,1,0
ДАВіО,904,13,4,17943,19542,205,214,4,0,0,0
ДАЗпО,Р5747,2,4,57263,58079,4239,2784,2,0,2,0
ЦДАВО,3676,1,4,1941,1944,232,237,0,4,0,0
ДАВіО,904,16,4,65110,82111,82,86,4,0,0,0
ДААРК,142,5,4,1044,20113,205,208,4,0,0,0
ДААРК,321,1,4,12089,1121194,1168,1213,3,0,1,0
ЦДАМЛМ,616,2,4,8799,86100,1302,1361,4,0,0,0
ДАЗпО,246,1,3,1859,197422,197,201,2,1,0,1
ЦДІАК,127,699,3,2831867,8841894,1009,1062,3,0,0,0
ДАВоО,35,10,3,9395,64370,295,309,3,0,0,0
ДАВіО,904,18,3,52127,70132,8518,72,3,0,0,0
ЦДІАК,127,1012,3,38661868,44181873,4659,4925,3,0,0,0
ДААРК,319,1,3,105235,228239,320,315,3,0,0,0
ДАВіО,Р1554,1,3,5758,109110,177,111,0,0,3,0
ДАЗкО,Р1606,1,3,97761,204764,220,231,3,0,0,0
ДАЛуО,126,26,3,96385,421884,164,172,3,0,0,0
ДАВіО,904,2,3,23277,41990,402,397,3,0,0,0
ДАВіО,904,41,3,59229,111231,129,126,3,0,0,0
ДАВіО,904,21,3,5725,6727,102,106,3,0,0,0
ДАВіО,904,20,3,49101,68103,107,108,3,0,0,0
ДАЗкО,342,6,3,36240,411008,6634,6841,3,0,0,3
ДАВіО,904,12,3,3219,10521,120,126,3,0,0,0
ЦДІАК,2009,1,3,30965,46821,4624,4770,3,0,0,0
ДАПО,Р3872,1,3,249304,753940,1382,857,2,0,1,0
ДАХмО,Р6379,1,3,2918,4082,362,377,3,0,0,0
ДАПО,1011,14,3,596,39594,109,58,3,0,0,0
ДАЧвО,605,1,3,5355,161165,293,308,3,0,0,0
ДАВіО,904,17,3,49122,108124,119,119,3,0,0,0
ДАВоО,35,1,3,11931,161139,454,478,3,0,0,0
ДАПО,1011,8,3,12562,41584,140,146,3,0,0,0
ДАВіО,904,33,3,7142,256147,273,280,3,0,0,0
ДАВіО,904,11,3,69242,69266,248,84,3,0,0,0
ДАПО,Р9106,2,3,51258,92731,9000,6220,3,0,0,0
ДАВоО,22,1,3,159300,214278,316,80,3,0,0,0
ДАВіО,904,24,3,14591,19597,208,202,3,0,0,0
ДАВоО,382,2,3,165382,167397,434,457,3,0,0,0
ДАХеО,137,6,2,51579,51581,580,41,2,0,0,0
