seq,anomaly,action,target,evidence
1,ДАІФО-631-1-6837,merged,ДАІФО-631-1-683,"acmb т.4 Олеша: шлюб 1837–1912 = спр.683; «6837» = 683 + rubric «7.» glue; Тлумач entry confirms 683"
3,ДАІФО-631-1-66266,merged,ДАІФО-631-1-66,"acmb т.4 Устеріки: спр.66; years 1855–1902 identical on both sides; «266» = page glue"
2,ДАІФО-631-1-63265,merged,63,"exact year match + prefix, of 598"
3,ДАІФО-631-1-66266,skipped,,file no longer exists
4,ДАІФО-631-1-98242,merged,98,"exact year match + prefix, of 6"
5,ДАІФО-631-1-114244,merged,114,"exact year match + prefix, of 2"
6,ДАІФО-631-1-117232,merged,117,"exact year match + prefix, of 7"
7,ДАІФО-631-1-137245,merged,137,"exact year match + prefix, of 17"
8,ДАІФО-631-1-148253,merged,148,"exact year match + prefix, of 3"
9,ДАІФО-631-1-207250,merged,207,"exact year match + prefix, of 16"
10,ДАІФО-631-1-238256,merged,238,"exact year match + prefix, of 3"
11,ДАІФО-631-1-287276,merged,287,"exact year match + prefix, of 4"
12,ДАІФО-631-1-317261,merged,317,"exact year match + prefix, of 13"
13,ДАІФО-631-1-342264,merged,342,"exact year match + prefix, of 2"
14,ДАІФО-631-1-486277,merged,486,"exact year match + prefix, of 3"
15,ДАІФО-631-1-498278,merged,498,"exact year match + prefix, of 5"
16,ДАІФО-631-1-571283,merged,571,"exact year match + prefix, of 3"
17,ДАІФО-631-1-636290,merged,636,"exact year match + prefix, of 5"
18,ДАІФО-631-1-697241,merged,697,"exact year match + prefix, of 14"
19,ДАВоО-193-1-6037,merged,60,"single candidate; years [(1864, 1864)]"
20,ДАВоО-193-1-6078,merged,60,"single candidate; years [(1864, 1864)]"
21,ДАВоО-193-1-31270,review,,no candidates after filters
22,ДАВоО-193-1-55164,merged,55,"single candidate; years [(1862, 1862)]"
23,ДАВоО-193-1-55237,merged,55,unique prefix among 2 place-filtered
24,ДАВоО-193-1-60130,merged,60,"single candidate; years [(1864, 1864)]"
25,ДАВоО-193-1-60184,review,,"10 candidates, prefix=[60]"
26,ДАВоО-193-1-60224,merged,60,"single candidate; years [(1864, 1864)]"
27,ДАВоО-193-1-60231,merged,60,"single candidate; years [(1864, 1864)]"
28,ДАВоО-193-1-60239,merged,60,"single candidate; years [(1864, 1864)]"
29,ДАВоО-193-1-60240,merged,60,"single candidate; years [(1864, 1864)]"
30,ДАВоО-195-1-28273,review,,no candidates after filters
31,ДАВоО-195-1-28285,review,,"16 candidates, prefix=[28]"
32,ДАВоО-286-1-138407,review,,"3 candidates, prefix=[138]"
