arch,parsed
ДААРК,ДААРК-(1-опись+++1-опись+++1-опись_1884-1920)
ДАЗпО,ДАЗпО-(5593-1-опис+++5593-1-опис+++5593-1-опис_1924-1929)
ДАЗпО,ДАЗпО-(5593-21-опис+++5593-21-опис+++5593-21-опис_1920-1929)
ДАЗпО,ДАЗпО-(5593-22-опис+++5593-22-опис+++5593-22-опис_1920-1929)
ДАЗпО,ДАЗпО-(5593-2-опись+++5593-2-опись+++5593-2-опись1881-1916)
ДАЗпО,ДАЗпО-(5593-4-опись+++5593-4-опись+++)
ДАЗпО,ДАЗпО-(5593-13-опис+++5593-13-опис+++5593-13-опис_1922-1933)
ДАЗпО,"ДАЗпО-(5593-10-опис+++5593-10-опис+++5593-10-опис_1921,1923-1929)"
ДАЗпО,ДАЗпО-(5593-12-опись+++5593-12-опись+++5593-12-опись_1920-1928)
ДАЗпО,"ДАЗпО-(5593-5-154; 5593-5-155; 5593-5-156; 5593-5-157; 5593-5-158; 5593-5-159; 5593-5-160; 5593-5-161; 5593-5-162; 5593-5-163; 5593-5-164; 5593-5-165; 5593-6-62; 5593-6-63; 5593-6-опис+++5593-5-154+++5593-5-154_1932-1933 
5593-5-155_1932 
5593-5-156_1932-1933 
5593-5-157_1932-1933 
5593-5-158_1932-1933 
5593-5-159_1932-1933 
5593-5-160_1932-1933 
5593-5-161_1932-1933 
5593-5-162_1932-1933 
5593-5-163_1932-1933 
5593-5-164_1932-1933 
5593-5-165_1933 
5593-6-опис 
5593-6-62_1929-1933 
5593-6-63_1929-1932)"
ДАЗпО,ДАЗпО-(5593-20-опис+++5593-20-опис+++5593-20-опис_1924-1933)
ДАЗпО,ДАЗпО-(5593-25-опис+++5593-25-опис+++5593-25-опис_1924-1929)
ДАЗпО,ДАЗпО-(5593-27-опис+++5593-27-опис+++5593-27-опис_1920-1929)
ДАСО,ДАСО-(7720-14-опис+++7720-14-опис+++7720-14-опис_1918-1927)
ДАСО,ДАСО-(7720-21_опис+++7720-21_опис+++7720-21-опис_1928-1929)
ДАСО,ДАСО-(7720-21-опис+++7720-21-опис+++7720-21-опис_1930)
