online_copy_id,file_id,target_inventory,sprava,parsed
f6750fce-87cf-42fe-8ec5-88963a925e17,116dbe8f-44ba-4918-8246-888747135877,24414a0d-2ba4-441d-949c-80378272ed4c,6,ДАДнО-(Р-6508-22дод.-6+++Р-6508-22дод.-6+++Р-6508-22дод.-6)
0e3cb360-f0c9-4bcb-8448-32e124ce21af,57b79ca7-a8de-4c88-b8af-470a2e79ec52,34f393f9-031b-4981-84b7-1624ddb3375d,1,ДАДнО-(Р-6508-10дод.-1+++Р-6508-10дод.-1+++Р-6508-10дод.-1)
e86123e4-5c19-4040-8f89-8d9ea061e838,25852802-4b57-4d6a-ac26-e2ec266170f9,34f393f9-031b-4981-84b7-1624ddb3375d,10,ДАДнО-(Р-6508-10дод.-10+++Р-6508-10дод.-10+++Р-6508-10дод.-10)
4622e0d2-d1ca-4a20-a9db-3a6936144d72,48872fa1-5359-4586-8af1-13224abfea41,34f393f9-031b-4981-84b7-1624ddb3375d,13,ДАДнО-(Р-6508-10дод.-13+++Р-6508-10дод.-13+++Р-6508-10дод.-13_1925-1933)
a53c37f1-98c8-4805-96b2-d05d467b1596,64c3f7e7-6c45-4403-a43a-aab34f4e48b5,34f393f9-031b-4981-84b7-1624ddb3375d,14,ДАДнО-(Р-6508-10дод.-14+++Р-6508-10дод.-14+++Р-6508-10.дод-14)
177f2b28-54f1-4d32-9e63-10cf65213450,2fd815d7-5ec2-47fe-9a36-a7410229a734,34f393f9-031b-4981-84b7-1624ddb3375d,15,ДАДнО-(Р-6508-10дод.-15+++Р-6508-10дод.-15+++Р-6508-10дод.-15_1926-1933)
7baf4d3c-b473-4659-a16d-8c52adc15a1e,e97188dc-d5c2-4444-ae2b-49dac7605570,34f393f9-031b-4981-84b7-1624ddb3375d,16,ДАДнО-(Р-6508-10дод.-16+++Р-6508-10дод.-16+++Р-6508-10дод.-16)
2916bacf-cb39-482a-a072-cd5e898256b9,d814a441-26e9-4fa5-a403-b53b0f7e30b5,34f393f9-031b-4981-84b7-1624ddb3375d,17,ДАДнО-(Р-6508-10дод.-17+++Р-6508-10дод.-17+++Р-6508-10-дод.17_1926-1933)
d577c889-a329-49a5-ae6c-b86e2e68eb28,c8c63560-62ee-4c47-9836-b305aa305862,34f393f9-031b-4981-84b7-1624ddb3375d,18,ДАДнО-(Р-6508-10дод.-18+++Р-6508-10дод.-18+++Р-6508-10.дод-18_1927-1932)
e76e2c1f-466b-465f-b185-84c218e6b5ba,e7d233d7-0c4d-462d-8cec-c0ef6c54798c,34f393f9-031b-4981-84b7-1624ddb3375d,19,ДАДнО-(Р-6508-10дод.-19+++Р-6508-10дод.-19+++Р-6508-10дод.-19)
2db0eb22-8305-4701-ac85-446c816ab1d4,61845825-d565-43cb-9837-926805288d15,34f393f9-031b-4981-84b7-1624ddb3375d,2,ДАДнО-(Р-6508-10дод.-2+++Р-6508-10дод.-2+++Р-6508-10-дод.2_1924-1933)
e2d54bca-d62b-4821-b2e7-210ae8690778,d5910743-30f4-4abe-ad21-4b2ad30863bf,34f393f9-031b-4981-84b7-1624ddb3375d,20,ДАДнО-(Р-6508-10дод.-20+++Р-6508-10дод.-20+++Р-6508-10.дод-20_1927-1933)
dd4dfdb3-0ebd-4396-9383-378b534ad701,f68c221a-faaa-4f9f-a70f-f4be95d09bc0,34f393f9-031b-4981-84b7-1624ddb3375d,21,ДАДнО-(Р-6508-10дод.-21+++Р-6508-10дод.-21+++Р-6508-10-дод.21_1928-1931)
5e444442-d5c8-4d6f-beeb-1368f765ce55,16f241f7-9ada-4880-85b6-34b57de64e48,34f393f9-031b-4981-84b7-1624ddb3375d,22,ДАДнО-(Р-6508-10дод.-22+++Р-6508-10дод.-22+++Р-6508-10-дод.22_1928-1933)
1288ba47-af1a-4e1e-828b-fd46e22c3ed6,f5121c79-c6ad-4197-aec0-359c23abc93c,34f393f9-031b-4981-84b7-1624ddb3375d,3,ДАДнО-(Р-6508-10дод.-3+++Р-6508-10дод.-3+++Р-6508-10дод.-3_1924-1930)
b821572a-f5fb-4a38-a1ed-14fd0badba1e,b6183c28-d221-48ea-90ca-8fbe8e1e6369,34f393f9-031b-4981-84b7-1624ddb3375d,4,ДАДнО-(Р-6508-10дод.-4+++Р-6508-10дод.-4+++Р-6508-10-дод.4_1924-1930)
9d45b0e7-56ce-4767-97c8-159c1d20c59d,4b5ba1dc-4a7a-47b8-8e38-42f67d58ea0d,34f393f9-031b-4981-84b7-1624ddb3375d,5,ДАДнО-(Р-6508-10дод.-5+++Р-6508-10дод.-5+++Р-6508-10дод.-5)
b32acf42-aae0-4d24-8894-51ffe2aa8b49,c844bd8b-f29e-45b1-bdc2-3dd75ffc8fd6,34f393f9-031b-4981-84b7-1624ddb3375d,6,ДАДнО-(Р-6508-10дод.-6+++Р-6508-10дод.-6+++Р-6508-10дод.-6)
de7ae9a2-e513-41c3-959e-bdd965a368ee,6faac730-ae0d-499c-a27c-ed056023e4e9,34f393f9-031b-4981-84b7-1624ddb3375d,7,ДАДнО-(Р-6508-10дод.-7+++Р-6508-10дод.-7+++Р-6508-10дод.-7)
4868a387-1881-4013-893e-97f17b8d0000,27aa1915-f661-44b1-a6ed-1eb6db2e15a5,34f393f9-031b-4981-84b7-1624ddb3375d,9,ДАДнО-(Р-6508-10дод.-9+++Р-6508-10дод.-9+++Р-6508-10дод.-9_1924-1931)
8593f1dc-d1d5-4a23-89ab-28bb9e20ddae,2d78186a-cff4-45c2-b6ef-a4637b504693,4621fd5f-7008-4cb0-b8fe-1ad22c04990c,15,ДАДнО-(Р-6508-19дод.-15+++Р-6508-19дод.-15+++Р-6508-19дод.-15)
7ac56d55-8306-4b3a-894e-50951a92757f,d31c0fd0-1eb5-4c1b-a9c1-8a04e32347bd,4621fd5f-7008-4cb0-b8fe-1ad22c04990c,16,ДАДнО-(Р-6508-19дод.-16+++Р-6508-19дод.-16+++Р-6508-19дод.-16)
