online_copy_id,url,parsed,linked_full_code,ocr_title,ocr_description,ocr_start_year,ocr_end_year,ocr_institution,ocr_full_title_raw,ocr_sprava_number,ocr_raw_date_text,ocr_confidence,ocr_notes,ocr_images_used,ocr_error,dgs
bfe10a3c-af4e-4c1e-8267-956e1c00c813,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=121439997,НМІУДСВ-(Тф-5149-10+++Тф-5149-10+++Тф-5149-10),НМІУДСВ-ТФ1-5149-10,Бердянський об'єднаний міський військовий комісаріат Запорізької області. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу,"Справа №: 30, ТОМ 10. | Дата (як надруковано): Розпочато "" 12 "" липня 1945 р. Закінчено "" 10 "" червня 1994 р. | Нотатки: МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ. Дисциплінарний РВК. %с/с. На 267 аркушах. Зберігати Постійно років, до ____ року.",1945,1994,Бердянський об'єднаний міський військовий комісаріат Запорізької області,Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу,"30, ТОМ 10.","Розпочато "" 12 "" липня 1945 р. Закінчено "" 10 "" червня 1994 р.",high,"МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ. Дисциплінарний РВК. %с/с. На 267 аркушах. Зберігати Постійно років, до ____ року.",2,,121439997
da04a880-e09d-4697-a392-692ffee71e93,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=121439993,НМІУДСВ-(Тф-5149-11+++Тф-5149-11+++Тф-5149-11),НМІУДСВ-ТФ1-5149-11,"МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ, Бердянський об'єднаний міський військовий комісаріат Запорізької області. СПРАВА № 30 , ТОМ 11. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу","Справа №: 30, ТОМ 11 | Дата (як надруковано): Розпочато ""8"" серпня 1945 р Закінчено ""12"" вересня 1952 р | Нотатки: Рукописний запис про установу: Осипенковський ОВК",1945,1952,"МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ, Бердянський об'єднаний міський військовий комісаріат Запорізької області","СПРАВА № 30 , ТОМ 11. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу","30, ТОМ 11","Розпочато ""8"" серпня 1945 р Закінчено ""12"" вересня 1952 р",high,Рукописний запис про установу: Осипенковський ОВК,2,,121439993
c6f7881e-2f90-47fe-95b5-b5590d7d53bb,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=121440005,НМІУДСВ-(Тф-5149-12+++Тф-5149-12+++Тф-5149-12),НМІУДСВ-ТФ1-5149-12,"Бердянський об'єднаний міський військовий комісаріат Запорізької області. СПРАВА № 30 , ТОМ 12. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу","Справа №: 30, ТОМ 12 | Дата (як надруковано): Розпочато „2” серпня 1945 р, Закінчено „6” червня 1960 р | Нотатки: На 119 аркушах",1945,1960,Бердянський об'єднаний міський військовий комісаріат Запорізької області,"СПРАВА № 30 , ТОМ 12. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу","30, ТОМ 12","Розпочато „2” серпня 1945 р, Закінчено „6” червня 1960 р",high,На 119 аркушах,2,,121440005
f7199067-afa7-45f9-b4ec-63bfc219f40d,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=121439995,НМІУДСВ-(Тф-5149-13+++Тф-5149-13+++Тф-5149-13),НМІУДСВ-ТФ1-5149-13,"МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ, Бердянський об'єднаний міський військовий комісаріат Запорізької області, Осипенковский РВК. СПРАВА № 30, ТОМ 13. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу","Справа №: 30 | Дата (як надруковано): Розпочато „ 10 ” липня 1945 р; Закінчено „ 16 ” листопада 1950 р | Нотатки: Отд. 7 литер; Зберігати Постійно років, до ____ року; ст. 429; На 42 аркушах; Крім того, додатків у ____________ пакетах; Вірно: Військовий комісар Бердянського ОМВК Запорізької області полковник С.С.Волков (посада, військове звання, підпис, ініціали та прізвище)",1945,1950,"МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ, Бердянський об'єднаний міський військовий комісаріат Запорізької області, Осипенковский РВК","СПРАВА № 30, ТОМ 13. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу",30,Розпочато „ 10 ” липня 1945 р; Закінчено „ 16 ” листопада 1950 р,high,"Отд. 7 литер; Зберігати Постійно років, до ____ року; ст. 429; На 42 аркушах; Крім того, додатків у ____________ пакетах; Вірно: Військовий комісар Бердянського ОМВК Запорізької області полковник С.С.Волков (посада, військове звання, підпис, ініціали та прізвище)",2,,121439995
7445d9a6-20ce-442d-9501-f71bf894868b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=121439992,НМІУДСВ-(Тф-5149-14+++Тф-5149-14+++Тф-5149-14),НМІУДСВ-ТФ1-5149-14,"Бердянський об'єднаний міський військовий комісаріат Запорізької області. СПРАВА № 30, ТОМ 14. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу","Справа №: 30 том 14 | Дата (як надруковано): Розпочато „3“ листопада 1945 р. Закінчено „16“ листопада 1950 р. | Нотатки: МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ. Зберігати Постійно років, до року. ст. 429. Осипенковский РВК (установи). На 26 аркушах.",1945,1950,Бердянський об'єднаний міський військовий комісаріат Запорізької області,"СПРАВА № 30, ТОМ 14. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу",30 том 14,Розпочато „3“ листопада 1945 р. Закінчено „16“ листопада 1950 р.,high,"МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ. Зберігати Постійно років, до року. ст. 429. Осипенковский РВК (установи). На 26 аркушах.",2,,121439992
3527a03a-e5f7-473f-a89e-f31f227643ff,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=121440000,НМІУДСВ-(Тф-5149-15+++Тф-5149-15+++Тф-5149-15),НМІУДСВ-ТФ1-5149-15,"МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ, Бердянський об'єднаний міський військовий комісаріат Запорізької області. СПРАВА № 30, ТОМ 15. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу","Справа №: 30, ТОМ 15 | Дата (як надруковано): Розпочато "" 27 "" липня 1945 р. Закінчено ""25"" січня 1961 р",1945,1961,"МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ, Бердянський об'єднаний міський військовий комісаріат Запорізької області","СПРАВА № 30, ТОМ 15. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу","30, ТОМ 15","Розпочато "" 27 "" липня 1945 р. Закінчено ""25"" січня 1961 р",high,,2,,121440000
5c61e5d1-24ea-47e9-a39b-7061373fe7d0,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=121440007,НМІУДСВ-(Тф-5149-16+++Тф-5149-16+++Тф-5149-16),НМІУДСВ-ТФ1-5149-16,"МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ, Бердянський об'єднаний міський військовий комісаріат Запорізької області. Повідомлення на загиблих та пропавших безвісти рядового та сержан-тського складу","Справа №: 30, ТОМ 16. | Дата (як надруковано): Розпочато „24 ” жовтня 1945 р Закінчено „18 ” травня 1959 р | Нотатки: ст. 429. Зберігати Постійно років. На 57 аркушах. Крім того, додатки у пакетах. Вірно: Військовий комісар Бердянського ОМВК Запорізької області полковник С. С. Волков.",1945,1959,"МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ, Бердянський об'єднаний міський військовий комісаріат Запорізької області",Повідомлення на загиблих та пропавших безвісти рядового та сержан-тського складу,"30, ТОМ 16.",Розпочато „24 ” жовтня 1945 р Закінчено „18 ” травня 1959 р,high,"ст. 429. Зберігати Постійно років. На 57 аркушах. Крім того, додатки у пакетах. Вірно: Військовий комісар Бердянського ОМВК Запорізької області полковник С. С. Волков.",2,,121440007
281412a6-237d-4d70-9b16-930828ff4722,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=121440009,НМІУДСВ-(Тф-5149-17+++Тф-5149-17+++Тф-5149-17),НМІУДСВ-ТФ1-5149-17,МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ. Бердянський об'єднаний міський військовий комісаріат Запорізької області. Омелянівський РВК. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу,"Справа №: 30, ТОМ 17 | Дата (як надруковано): Розпочато „18“ липня 1945 р, Закінчено „13“ січня 1964 р | Нотатки: На 62 аркушах. Видано Військком Бердянського ОМВК Запорізької області С. С. Волков",1945,1964,МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ. Бердянський об'єднаний міський військовий комісаріат Запорізької області. Омелянівський РВК,Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу,"30, ТОМ 17","Розпочато „18“ липня 1945 р, Закінчено „13“ січня 1964 р",high,На 62 аркушах. Видано Військком Бердянського ОМВК Запорізької області С. С. Волков,2,,121440009
6d5ec46b-a70b-42de-aba9-2fea32928d63,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=121440010,НМІУДСВ-(Тф-5149-18+++Тф-5149-18+++Тф-5149-18),НМІУДСВ-ТФ1-5149-18,"МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ. СПРАВА № 30 , ТОМ 18. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу.","Справа №: 30, ТОМ 18 | Дата (як надруковано): Розпочато ""22 "" грудня 1944 р. Закінчено ""4"" квітня 1951 р | Нотатки: Зберігати Постійно років, до ______ року. ст. 429. Бердянський об'єднаний міський військовий комісаріат Запорізької області (Найменування військової частини). (Установі). На 27 аркушах. Крім того, додатків у ______ пакетах. Вірно: Військовий комісар Бердянського ОМВК Запорізької області полковник С.С Волков (посада, військове звання, підпис, ініціали та прізвище).",1944,1951,МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ,"СПРАВА № 30 , ТОМ 18. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу.","30, ТОМ 18","Розпочато ""22 "" грудня 1944 р. Закінчено ""4"" квітня 1951 р",high,"Зберігати Постійно років, до ______ року. ст. 429. Бердянський об'єднаний міський військовий комісаріат Запорізької області (Найменування військової частини). (Установі). На 27 аркушах. Крім того, додатків у ______ пакетах. Вірно: Військовий комісар Бердянського ОМВК Запорізької області полковник С.С Волков (посада, військове звання, підпис, ініціали та прізвище).",2,,121440010
bfd144fb-4cfc-44a4-814e-e514a4233a46,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=121440011,НМІУДСВ-(Тф-5149-19+++Тф-5149-19+++Тф-5149-19),НМІУДСВ-ТФ1-5149-19,МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ Бердянський об'єднаний міський військовий комісаріат Запорізької області. Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу,"Справа №: 30, Том 19 | Дата (як надруковано): Розпочато „0“ вересня 1944 р Закінчено „25“ червня 1951 р | Нотатки: На 25 аркушах. Військ. Військовий комісар Бердянського ОМВК Запорізької області полковник С.С.Волков.",1944,1951,МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ Бердянський об'єднаний міський військовий комісаріат Запорізької області,Повідомлення на загиблих та пропавших безвісти рядового та сержантського складу,"30, Том 19",Розпочато „0“ вересня 1944 р Закінчено „25“ червня 1951 р,high,На 25 аркушах. Військ. Військовий комісар Бердянського ОМВК Запорізької області полковник С.С.Волков.,2,,121440011
