imp_id,imp_title,old_id,old_title,dist_km,full_sim,cls
5f98575f-fa81-47da-9669-735a35457c13,"Берестечко, Свято-Троїцька",1ff8953d-9c1d-4f7b-b0c6-a4a5d30445cd,"Троїцька церква, м. Берестечко Дубенський повіт",0.10,0.38,by_dedication
d476e490-78dd-4496-a5ae-a4b138491df6,"Ковель, Христовоздвищенська",62abd51a-8cb6-4ddc-a7e6-36b8cd372fa6,"Церква Хресто-Воздвиженська, м. Ковель",1.81,0.42,by_dedication
2adbb640-074b-48ca-bfb4-9a111d6ff6a7,Липівка (Липівка Комаргородська),d22b34dc-3699-45f4-aec6-a2b6eae08b1e,"Дмитрівська церква, с. Липівка комаргородська Ямпільський повіт Комаргородська волость",0.92,0.34,by_dedication
6aed3915-8401-46e7-a638-5d02f99b85ed,"Тиврів (містечко), Вознесенська",2440ecb1-3934-42e2-b14a-68276e486c0f,"Вознесенська церква, м. Тиврів Вінницький повіт Тиврівська волость",0.15,0.34,by_dedication
c2ab1cd0-bcc5-4cea-a236-1d4c59ecc48a,"Тиврів (містечко), Миколаївська",0e4564f4-fccb-4711-9751-41f02a57630d,"Миколаївська церква, м. Тиврів Вінницький повіт Тиврівська волость",0.88,0.33,by_dedication
27b74d81-1385-4077-81a2-f73af207a08f,"Турійськ, Преображення господнє",44ff6e3b-62ef-4938-bd15-009a21682279,"Церква Преображення Господнього, м. Турійськ Турійська волость Ковельський повіт",0.54,0.41,by_dedication
9f83f111-326a-4068-9c26-88fa82c065ec,Березівка (Введенська),9b905870-ca93-4abc-99d9-9c597c7995b4,"Введенська церква, с. Березівка Ямпільський повіт Чернівецька волость",0.78,0.32,clones
208af888-e2da-4adf-b325-f8c03b916fa6,Березівка (Успенська),491a77ba-c137-4b09-8f77-5025b51f6f49,"Успенська церква, с. Березівка Ямпільський повіт Чернівецька волость",1.11,0.30,clones
06ea200e-360b-42a9-b2c6-4f45af707503,Велика Глуша,63ca510e-1d42-43ad-b903-511d02ddb5ca,"Церква Успіння Богородиці, с. Велика Глуша Ковельський повіт",0.63,0.22,clones
13e6b671-c4b0-4330-9a88-452c5617ea41,Велика Кісниця,3558bb0b-a158-4abd-ac6e-7f3711840e83,"Успенська церква, с. Велика Кісниця Ямпільський повіт Подільська губернія",0.63,0.24,clones
45b21646-efa9-414e-87da-f5597997798c,Верхи,534dd36b-003c-4743-b5ac-fb025088c1f0,"Церква Святого Архистратига Михаїла, с. Верхи Ковельський повіт",0.25,0.10,clones
