WKT,Назва,Реєстр,Населені пункти,Повіт,Координати
POINT (24.0364394 51.2329872),"Любомль, Греко-Католицький костел",https://www.familysearch.org/ark:/61903/3:1:3QHK-G7QG-67QZ-M?view=explore&groupId=TH-7717-139297-1461-83&lang=uk,,Володимирський,
POINT (24.4553404 50.623122),"Порицьк, Греко-Католицький костел",https://www.familysearch.org/ark:/61903/3:1:3QHK-G7QG-67QZ-M?view=explore&groupId=TH-7717-139297-1461-83&lang=uk,,Володимирський,
POINT (26.5679277 50.9846051),"Церква, с. Антонівка Костопільського повіту Березнівської гміни",https://daro-metric-map.pages.dev/parafia/090e074a/,"сс. Велика Купля, Велике Поле, Груди, Данчиміст, Довганець, Дубрівка, Замостище, Кадобище, Кам’янка, Красниця, Круги, Кургани, Мала Купля, Малі Селища, Наталя, Олександрівка, Пісків, Плотичне, Сарнівка, Синяківка, Яснобір",Костопільський,
POINT (22.9876552 52.1483171),Bukowice,https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=339a,,Люблінське,"52.1483171,22.9876552"
POINT (23.0753527 51.2016188),"Chojeniec, św. Nicety",https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=14,,Люблінське,"51.2016188,23.0753527"
POINT (23.6052819 50.9625717),"Krasne gm. Wojsławice, pw. śś. Kosmy i Damiana",https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=591,,Люблінське,"50.9625717,23.6052819"
POINT (23.1817243 51.1321819),"Krasne gm. Rejowiec, pw. Narodzenia NMP",https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=787,,Люблінське,"51.1321819,23.1817243"
POINT (23.5930223 52.0280301),"Lebiedziew, pw. św. Eustachiusza Wielkiego Męczennika",https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=735,,Люблінське,"52.0280301,23.5930223"
POINT (21.8751759 51.1402241),Łaziska,https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=727,,Люблінське,"51.1402241,21.8751759"
POINT (22.8439796 51.3026394),Łęczna,https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=352a,,Люблінське,"51.3026394,22.8439796"
POINT (23.275806 50.2914096),"Łowcza, pw. św. Jerzego Męczennika",https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=647,,Люблінське,"50.2914096,23.275806"
POINT (22.9141952 51.231946),"Milejów, pw. NPM Bolesnej",https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=648,,Люблінське,"51.231946,22.9141952"
POINT (22.9744826 50.3445036),Olchowiec,https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=550,,Люблінське,"50.3445036,22.9744826"
POINT (22.5427438 51.7826491),Radzyń Podlaski,https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=426a,,Люблінське,"51.7826491,22.5427438"
POINT (23.180027 52.2028705),Stary Pawłów,https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=562,,Люблінське,"52.2028705,23.180027"
POINT (23.8458359 50.9067953),Stefankowice,https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=722,,Люблінське,"50.9067953,23.8458359"
POINT (22.9412265 52.0309451),"Sycyna pow. bialski, Przemienienia Pańskiego",https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=323a,,Люблінське,"52.0309451,22.9412265"
POINT (23.0609437 52.0830958),"Terebela, Wniebowzięcia NMP",https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=345a,,Люблінське,"52.0830958,23.0609437"
POINT (23.7858487 50.4221859),Ulhówek filia Tarnoszyn,https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=724,,Люблінське,"50.4221859,23.7858487"
POINT (23.1220394 51.4372144),Wola Wereszczyńska,https://regestry.lubgens.eu/viewpage.php?page_id=1052&par=913,,Люблінське,"51.4372144,23.1220394"
