WKT,Назва,Реєстр,Населені пункти,Повіт,Координати
POINT (28.1557208 49.1896182),Махнівка,https://www.familysearch.org/ark:/61903/3:1:3QHK-778R-Z9XZ-C?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.5958358 49.6145403),Мончинці,https://www.familysearch.org/ark:/61903/3:1:3QHK-N78R-LV6N?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.2996817 49.0936782),Могилівка,https://www.familysearch.org/ark:/61903/3:1:3QHK-V78R-P7PV?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.1599302 49.1136234),Москалівка (передмістя Браїлова),https://www.familysearch.org/ark:/61903/3:1:3QHK-778R-Z9XC-9?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.5786737 49.6420652),Немиринці,https://www.familysearch.org/ark:/61903/3:1:3QHK-K78R-5SZN?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.1307535 49.437134),Миколаївка,https://www.familysearch.org/ark:/61903/3:1:3QHK-K78R-5SZG?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.0428629 49.1702898),Новоселиця,https://www.familysearch.org/ark:/61903/3:1:3QHK-H78R-69D8-N?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (27.9971367 48.977525),Слобода-Носковецька,https://www.familysearch.org/ark:/61903/3:1:3QHK-H78R-69D8-Y?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (27.9760609 48.9536637),Носківці,https://www.familysearch.org/ark:/61903/3:1:3QHK-N78R-LV8Y?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.2714037 49.7079592),Великий Острожок і Малий Острожок,https://www.familysearch.org/ark:/61903/3:1:3QHK-H78R-69D8-4?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.4616821 49.4445664),Павлівка,https://www.familysearch.org/ark:/61903/3:1:3QHK-N78R-LV64?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.5293087 49.1685009),Парпурівці,https://www.familysearch.org/ark:/61903/3:1:3QHK-N78R-LVDK?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.6078106 49.1953481),Писарівка,https://www.familysearch.org/ark:/61903/3:1:3QHK-H78R-69D8-X?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.2953348 49.5599938),"Пиків (містечко), Свято-Покровська",https://www.familysearch.org/ark:/61903/3:1:3QHK-V78R-P7PQ?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.2656114 49.562436),"Пиків (містечко), Свято-Троїцька",https://www.familysearch.org/ark:/61903/3:1:3QHK-N78R-LV4G?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.525489 49.0730372),Пилява,https://www.familysearch.org/ark:/61903/3:1:3QHK-V78R-P7V2?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.2413118 49.0309223),Слобода Потоцька,https://www.familysearch.org/ark:/61903/3:1:3QHK-778R-Z9XW-3?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.2365053 49.0352754),Старий Потік,https://www.familysearch.org/ark:/61903/3:1:3QHK-V78R-P7KF?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.4603872 49.2486554),П'ятничани,https://www.familysearch.org/ark:/61903/3:1:3QHK-N78R-LVW2?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.1888058 49.1837468),Пултівці,https://www.familysearch.org/ark:/61903/3:1:3QHK-N78R-LV4M?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.5493003 49.5903731),Радівка,https://www.familysearch.org/ark:/61903/3:1:3QHK-V78R-P7J2?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.2922952 49.0296674),Рижавка,https://www.familysearch.org/ark:/61903/3:1:3QHK-N78R-LV48?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
POINT (28.3139536 49.6225298),Рогинці,https://www.familysearch.org/ark:/61903/3:1:3QHK-N78R-LV48?view=explore&groupId=TH-7738-145172-55122-72&lang=uk,,Вінницький,
