WKT,Назва,Реєстр,Населені пункти,Повіт
POINT (24.4084773 50.7621535),Селець,https://www.familysearch.org/ark:/61903/3:1:3QHN-R731-1HNT-S?view=explore&groupId=TH-7701-138496-88618-49&lang=uk,,Володимирський
POINT (24.459825 50.625967),Порицьк (Павліка),https://www.familysearch.org/ark:/61903/3:1:3QHJ-D7QM-N5SL?view=explore&groupId=TH-7701-138496-88621-28&grid=on&lang=uk,,Володимирський
POINT (24.5487129 50.874626),Свійчів,https://www.familysearch.org/ark:/61903/3:1:3QHJ-67QM-JFM?view=explore&groupId=TH-7701-138496-88623-50&grid=on&lang=uk,,Володимирський
POINT (24.6486753 50.7402117),Локачі,https://www.familysearch.org/ark:/61903/3:1:3QHJ-87QM-F98H-7?view=explore&groupId=TH-7701-138496-88626-51&grid=on&lang=uk,,Володимирський
POINT (24.1901541 50.6381951),Литовеж,https://www.familysearch.org/ark:/61903/3:1:3QHJ-67QM-J9QG?view=explore&groupId=TH-7798-138494-96114-30&grid=on&lang=uk,,Володимирський
POINT (24.6938567 50.63615919999999),Конюхи,https://www.familysearch.org/ark:/61903/3:1:3QHN-R731-1HJK-9?view=explore&groupId=TH-7704-138499-56211-54&grid=on&lang=uk,,Володимирський
POINT (24.029416 50.9395423),Коритниця,https://www.familysearch.org/ark:/61903/3:1:3QHN-R731-1HJ5-Q?view=explore&groupId=TH-7701-138496-88646-43&grid=on&lang=uk,,Володимирський
POINT (24.8501854 50.7831997),Затурці,https://www.familysearch.org/ark:/61903/3:1:3QHJ-67QM-J9NQ?view=explore&groupId=TH-7704-138499-56224-51&grid=on&lang=uk,,Володимирський
POINT (24.810282 50.8573227),Кисилин,https://www.familysearch.org/ark:/61903/3:1:3QHJ-D7QM-NRNS?view=explore&groupId=TH-7704-138499-56226-53&grid=on&lang=uk,,Володимирський
POINT (24.3194023 50.8467856),"Володимир, Католицький костел",https://www.familysearch.org/ark:/61903/3:1:3QHJ-67QM-JS78?view=explore&groupId=TH-7701-138496-88647-38&grid=on&lang=uk,,Володимирський
POINT (24.7526159 50.4959902),"Горохів, Католицький костел",https://www.familysearch.org/ark:/61903/3:1:3QHN-R731-1HKZ-X?view=explore&groupId=TH-7798-138494-96138-34&grid=on&lang=uk,,Володимирський
POINT (24.3371701 51.1434218),Перевали,https://www.familysearch.org/ark:/61903/3:1:3QHJ-D7QM-NT4Q?view=explore&groupId=TH-7701-138496-88653-44&grid=on&lang=uk,,Володимирський
POINT (24.3462544 50.84639749999999),Острівок,https://www.familysearch.org/ark:/61903/3:1:3QHJ-87QM-F98P-X?view=explore&groupId=TH-7798-138494-96141-29&grid=on&lang=uk,,Володимирський
POINT (25.1209852 50.3585756),"Берестецький костел, м-ко Берестечко Дубенського повіту Берестецької волості",https://daro-metric-map.pages.dev/parafia/dedadd2a/,"сс. Берестечко, Буркачі, Голятин, Колмів, Кутрів, Липа, Перемиль, Смолява, Боремельської вол. Вербень, Теслугівської вол. Митниця, Острів, Пляшева",Дубенський
POINT (25.743373 50.420243),"Дубенський костел, м-ко Дубно Дубенського повіту",https://daro-metric-map.pages.dev/parafia/f921e72e/,"сс. Варковицької вол. Варковичі, Княгинин, Листвин; Дубенської вол. Вигнанка, Мирогоща, Погорільці, Рачин, Страклів, Тараканів; Судобицької вол. Залужжя, Кирилівка, Обгов, Переросля, Семидуби",Дубенський
POINT (25.2216263 50.5136488),"Золочівський костел, с. Золочівка Дубенського повіту Боремельської волості",https://daro-metric-map.pages.dev/parafia/17db9db9/,"сс. Берестечко, Більче, Боремель, Вичавки, Золочівка, Пашева, Русино-Берестечко; Луцького пов. Полонківської вол. Радомишль, Суховоля, Луцького пов. Чаруківської вол. Жабче, Колодеже",Дубенський
POINT (25.3102618 50.157913),"Крупецький костел, м-ко Крупець Дубенського повіту Крупецької волості",https://daro-metric-map.pages.dev/parafia/f1f18c59/,"сс. Козин, Крупець, Михайлівка, Сестрятин, Ситне, Срібне, Янівка, Теслугівської вол. Боратин, Великі Жабокрики, Коритне, Малі Жабокрики, Теслугів, Хотин; Кременецького пов. Радзивилівської вол. Перенятин",Дубенський
POINT (25.277882 50.472809),"Лисинський костел, с. Лисин Дубенського повіту Боремельської волості",https://daro-metric-map.pages.dev/parafia/ac689ca2/,"сс. Лисин, Лопавше, Товпижин, Хрінники; Княгининської вол. Демидівка, Дубляни, Ільпибоки, Княгинине, Охматків, Перекалі; Теслугівської вол. Вовковиї, Рогізне",Дубенський
POINT (25.6126259 50.5118774),"Млинівський костел, м-ко Млинів Дубенського повіту Млинівської волості",https://daro-metric-map.pages.dev/parafia/fff45610/,"сс. Аршичин, Береги, Божкевичі, Великі Дорогостаї, Добрятин, Каролінка, Клин, Косарево, Людвиківка, Малі Дорогостаї, Млинів, Муравиця, М’ятин, Озліїв, Остріїв, Підгайці, Смордва, Ужинець, Хорупань, Княгининської вол. Бокійма, Малинської вол. Іванківці, Корито, Лукарівка, Мошків, Перемилівка",Дубенський
POINT (25.8120572 50.7237994),"Олицький костел, м-ко Олика Дубенського повіту Олицької волості",https://daro-metric-map.pages.dev/parafia/b66acdd3/,"сс. Залісоче, Метельно, Миловиця, Мощаниця, Олика, Ромашківщина, Турчин, Хорлупи, Чемерин; Малинської вол. Борбин, Заболотці, Певжа, Сатиїв, Уїздці; Луцького пов. Сильненської вол. Берестяни, Цумань; Рівненського пов. Дядьковицької вол. Сухівці",Дубенський
POINT (25.6160644 50.3038742),"Птицький костел, с. Птича Дубенського повіту Вербської волості",https://daro-metric-map.pages.dev/parafia/abc3f51f/,"сс. Білогородка, Будераж, Верба, Кам’яниця, Комарівка, Микитичі, Пирятин, Підлужжя, Повча, Птича, Стовпець, Турковичі; Дубенської вол. Великі Загірці; Судобицької вол. Носовиця",Дубенський
POINT (25.7629956 50.2382136),"Римо-католицький костел, с. Смига Дубенського повіту Судобицької гміни",https://daro-metric-map.pages.dev/parafia/ed6fa6bc/,"сс. Буща, Марцеліна, Нова Миколаївка, Стара Миколаївка, Шепетин",Дубенський
POINT (25.3960949 50.5541235),"Торговицький костел, с. Торговиця Дубенського повіту Ярославицької волості",https://daro-metric-map.pages.dev/parafia/ad0ccc17/,"сс. Боремець, Лихачівка, Надчиці, Перекладовичі, Підлісці, Підлозці, Ставрів, Торговиця, Княгининської вол. Баболоки, Бокійма, Війниця, Вовничі, Красне, Рудливе, Млинівської вол. Остріїв, Підгайці",Дубенський
POINT (24.526718 51.0888487),"Турійськ, Католицький костел",https://www.familysearch.org/ark:/61903/3:1:3QHJ-67QM-JSK8?view=explore&groupId=TH-7704-138499-56231-62&grid=on&lang=uk,,Ковельський
POINT (26.7524487 51.0035653),"Березнівський костел, м-ко Березне Костопільського повіту Березнівської волості",https://daro-metric-map.pages.dev/parafia/6bc9de9b/,"сс. Балашівка, Білка, Бронне, Вітковичі, Зірне, Моквин, Орлівка, Поляни, Теклівка",Костопільский
POINT (26.23638 50.92712),"Римо-католицький костел, с. Янова (Іванова) Долина Костопільського повіту",https://daro-metric-map.pages.dev/parafia/980cbc27/,"сс. Янова Долина, Головин, Злазне",Костопільский
