glued_full_code,target_full_code,action
ДАДоО-191-178-37,ДАДоО-191-1-37,delete-into-existing
ДАДоО-193-180-23,ДАДоО-193-1-23,delete-into-existing
ДАДоО-193-5-6,ДАДоО-193-1-6,delete-into-existing
ДАДоО-196-1-11182,ДАДоО-196-1-11,delete-into-existing
ДАДоО-202-1-7185,ДАДоО-202-1-7,delete-into-existing
ДАДоО-212-86-6,ДАДоО-212-1-6,delete-into-existing
ДАДоО-226-14-8,ДАДоО-226-1-8,delete-into-existing
ДАДоО-229-1-1995,ДАДоО-229-1-19,delete-into-existing
ДАДоО-232-1-1496,ДАДоО-232-1-14,delete-into-existing
ДАДоО-237-1-1098,ДАДоО-237-1-10,delete-into-existing
ДАДоО-238-187-14,ДАДоО-238-1-14,delete-into-existing
ДАДоО-260-156-48,ДАДоО-260-1-48,delete-into-existing
ДАДоО-263-1-8189,ДАДоО-263-1-8,delete-into-existing
ДАДоО-279-1-16105,ДАДоО-279-1-16,delete-into-existing
ДАДоО-285-107-7,ДАДоО-285-1-7,delete-into-existing
ДАДоО-307-110-8,ДАДоО-307-1-8,delete-into-existing
ДАДоО-308-111-11,ДАДоО-308-1-11,delete-into-existing
ДАДоО-312-114-22,ДАДоО-312-1-22,delete-into-existing
ДАДоО-319-1-7115,ДАДоО-319-1-7,delete-into-existing
ДАДоО-342-1-5197,ДАДоО-342-1-5,delete-into-existing
ДАДоО-343-120-7,ДАДоО-343-1-7,delete-into-existing
ДАДоО-352-1-7168,ДАДоО-352-1-7,delete-into-existing
ДАДоО-355-121-8,ДАДоО-355-1-8,delete-into-existing
ДАДоО-378-1-218961897,ДАДоО-378-1-2,delete-into-existing
ДАДоО-384-1-12130,ДАДоО-384-1-12,delete-into-existing
ДАДоО-408-1-9174,ДАДоО-408-1-9,delete-into-existing
ДАДоО-411-1-2135,ДАДоО-411-1-2,delete-into-existing
ДАДоО-423-140-8,ДАДоО-423-1-8,delete-into-existing
ДАДоО-428-1-14175,ДАДоО-428-1-14,delete-into-existing
ДАДоО-432-1-7144,ДАДоО-432-1-7,delete-into-existing
ДАДоО-436-146-6,ДАДоО-436-1-6,delete-into-existing
ДАДоО-450-1-2205,ДАДоО-450-1-2,rename
ДАДоО-451-1-2149,ДАДоО-451-1-2,delete-into-existing
ДАДоО-465-1-4202,ДАДоО-465-1-4,rename
ДАДоО-155-1-110,ДАДоО-155-1-1,rename
