fond,title,years
20,,"1873-1894,1897-1926"
54,,"1881-1883,1889-1911,1913-1919"
76,,"1813-1813,1816-1816,1828-1828,1831-1831,1845-1845,1847-1919,1921-1921"
102,,"1800-1800,1810-1810,1813-1813,1816-1838,1861-1870,1880-1886,1888-1895,1897-1897,1900-1910,1916-1916,1919-1920"
188,,"1875-1876,1880-1897,1899-1913,1915-1920"
189,,"1880-1882,1885-1885,1888-1901,1903-1922"
190,,"1882-1883,1888-1895,1898-1923"
191,,"1870-1881,1883-1919"
192,,"1869-1870,1872-1882,1885-1909,1911-1919"
193,,"1863-1863,1868-1878,1880-1880,1882-1893,1895-1895,1897-1919"
194,,"1872-1876,1882-1920"
195,,1861-1919
196,,"1853-1863,1871-1920"
197,,"1862-1878,1880-1920"
198,,"1853-1858,1860-1876,1880-1890,1896-1913,1915-1916,1918-1918"
199,,"1884-1910,1913-1919"
200,,"1865-1885,1895-1919"
201,,1871-1921
202,,"1855-1866,1868-1908"
203,,1858-1919
204,"Різдво-Богородицька церква Харківської духовної консисторії, с. Хрестище Ізюмського повіту Харківської губернії",1872-1922
205,,"1871-1874,1881-1887,1892-1896,1901-1909,1912-1919"
206,,"1857-1859,1883-1921"
208,,"1862-1874,1878-1887,1891-1908,1913-1921"
209,,"1855-1858,1869-1870,1881-1889,1891-1909,1911-1920"
210,,"1869-1892,1895-1921"
212,,"1872-1876,1885-1896,1899-1899,1902-1908,1911-1919"
213,,"1870-1878,1882-1889,1893-1898,1900-1903,1907-1912,1915-1921"
214,,"1865-1888,1901-1902,1905-1906,1908-1908,1910-1919,1921-1921"
215,,"1869-1876,1879-1879,1881-1901,1903-1903,1906-1907,1909-1918,1920-1921"
216,,"1867-1870,1876-1878,1885-1893,1895-1896,1898-1898,1901-1911,1913-1915,1917-1920"
217,,"1862-1870,1877-1906,1912-1918"
219,,"1864-1868,1870-1873,1879-1905,1910-1917,1919-1923"
220,,"1862-1873,1883-1886,1888-1897,1899-1907,1909-1913,1915-1918"
221,,"1876-1882,1884-1884,1886-1887,1890-1890,1892-1894,1896-1906,1911-1914,1916-1922"
222,,"1865-1912,1914-1919"
223,,"1862-1862,1864-1883,1893-1897,1902-1904,1910-1911,1913-1919"
224,,"1854-1870,1892-1892,1897-1898,1907-1915"
225,,1866-1919
226,,"1871-1872,1874-1883,1885-1892,1894-1897,1901-1904,1906-1908,1910-1910,1912-1919"
228,,"1868-1870,1886-1918"
229,,"1875-1895,1897-1906,1908-1915,1917-1918"
230,,"1871-1875,1878-1885,1890-1898,1906-1915,1919-1919"
232,,"1865-1882,1886-1887,1891-1919"
233,,"1876-1888,1891-1919"
234,,"1879-1890,1894-1895,1911-1919"
235,,"1869-1885,1893-1899,1903-1904,1917-1919"
236,,"1865-1869,1878-1879,1896-1897,1903-1903,1909-1911,1915-1916,1919-1920"
237,,"1871-1874,1882-1885,1890-1897,1904-1908,1914-1919"
240,,"1861-1875,1878-1889,1892-1909,1912-1920"
241,,"1875-1883,1886-1899,1902-1902,1906-1909,1912-1916,1919-1920"
242,,"1862-1865,1870-1874,1887-1890,1896-1919"
243,,"1847-1855,1865-1881,1886-1889,1895-1918,1920-1922"
246,,"1871-1880,1886-1888,1909-1914,1920-1920"
247,,"1871-1872,1875-1915,1917-1920"
249,,"1876-1882,1886-1897,1900-1920"
250,,1869-1903
251,,"1878-1880,1884-1885,1893-1895,1898-1899,1901-1903,1909-1919"
260,,"1867-1869,1871-1877,1879-1881,1883-1886,1888-1895,1897-1897,1899-1920"
261,,"1865-1867,1873-1896,1900-1913,1915-1916,1918-1920"
262,,"1859-1862,1866-1874,1876-1920"
263,,1871-1921
264,,1879-1920
265,,"1870-1889,1892-1892,1911-1921"
266,,"1867-1895,1915-1920"
267,,"1871-1900,1907-1921"
268,,"1843-1849,1855-1868,1876-1893,1899-1900,1903-1907,1911-1917"
269,,1865-1922
270,,"1868-1895,1897-1897,1901-1907,1909-1919"
271,,1870-1920
272,,"1855-1855,1865-1865,1870-1876,1879-1887,1889-1890,1893-1911"
274,,"1856-1896,1901-1910,1913-1917,1924-1926"
277,,"1894-1896,1901-1906,1908-1908,1910-1918"
278,,"1869-1881,1885-1919"
279,,"1877-1881,1884-1919"
280,,"1876-1888,1890-1912,1915-1915"
281,,"1871-1903,1907-1919"
284,,"1875-1881,1891-1893,1895-1898,1901-1901,1904-1905,1910-1913,1917-1919"
285,,"1895-1905,1911-1916,1918-1918"
287,,"1882-1884,1897-1900,1904-1904,1906-1907,1914-1919"
288,,1885-1919
289,,"1877-1880,1888-1894,1901-1902,1917-1917"
291,,1888-1918
292,,"1883-1900,1907-1919"
293,,"1866-1869,1873-1890,1892-1893,1895-1906,1908-1909,1911-1915,1917-1918"
294,,"1890-1897,1905-1905,1908-1908,1911-1913,1915-1922"
295,,"1867-1868,1877-1889,1891-1915,1917-1917,1919-1925"
296,,1884-1922
297,,"1866-1871,1890-1896,1899-1917,1919-1922"
298,,"1885-1903,1905-1922"
299,,"1867-1906,1908-1918"
300,,"1888-1888,1892-1892,1896-1896"
302,,"1896-1909,1913-1914,1919-1919"
303,,"1895-1915,1917-1920"
304,,1901-1919
307,,"1871-1889,1893-1920"
308,,"1809-1810,1813-1817,1833-1833,1865-1883,1888-1901,1904-1904,1906-1910,1915-1919"
309,,"1862-1888,1893-1907,1909-1919"
310,,"1866-1871,1874-1879,1883-1884,1886-1886,1889-1894,1896-1897,1900-1900,1903-1905,1907-1908,1910-1910,1912-1913,1916-1920"
311,,"1875-1878,1884-1896,1899-1924"
312,,"1857-1883,1889-1891,1894-1896,1899-1907,1909-1909,1911-1921"
313,,"1858-1873,1883-1890,1893-1893,1896-1898,1908-1913,1916-1916"
314,,"1861-1909,1912-1912,1917-1917"
315,,"1869-1877,1882-1909,1912-1917"
317,,"1876-1892,1900-1909,1913-1913"
319,,"1856-1870,1893-1896,1898-1899,1902-1904,1906-1908"
320,,"1855-1859,1865-1921"
322,,"1843-1847,1849-1865,1867-1868,1871-1871,1873-1892,1895-1902,1905-1906,1910-1915,1917-1918"
324,,"1865-1868,1872-1874,1876-1885,1890-1920"
327,,"1863-1895,1897-1909,1911-1919"
328,,"1884-1895,1900-1912"
330,,"1876-1883,1890-1914,1916-1920"
331,,"1903-1918,1920-1921"
332,,"1860-1898,1901-1920"
333,,1881-1919
334,,"1855-1865,1872-1915"
335,,"1896-1903,1905-1914"
336,,"1888-1889,1895-1915,1919-1919"
337,,"1891-1895,1899-1900,1903-1918"
338,,"1900-1903,1905-1915,1917-1920"
339,,1865-1921
340,,1865-1919
341,,"1903-1904,1906-1906,1908-1919"
342,,"1900-1911,1916-1916"
343,,"1902-1908,1910-1914,1917-1920"
344,,"1900-1910,1912-1913"
345,,"1864-1896,1899-1912,1915-1915,1917-1918"
346,,"1895-1896,1898-1903,1906-1911,1913-1915"
347,,1900-1922
348,,"1899-1904,1906-1918"
349,,"1896-1897,1903-1920"
350,,"1868-1877,1887-1889,1893-1894,1897-1899,1902-1902,1905-1910,1913-1918"
351,,"1893-1905,1909-1909,1913-1917"
352,,"1897-1897,1900-1900,1904-1904,1907-1907,1910-1910,1912-1913,1916-1917"
353,,"1893-1893,1897-1897,1909-1909,1912-1918"
354,,"1868-1886,1890-1918"
355,,"1857-1863,1884-1886,1893-1920"
356,,1869-1918
357,,"1860-1867,1874-1886,1889-1893,1895-1902,1904-1906,1911-1912,1914-1915,1918-1919,1921-1921"
358,,"1880-1893,1896-1910,1913-1917,1920-1923"
359,,1895-1918
360,,1869-1920
361,,"1870-1914,1916-1917,1919-1921"
362,,"1899-1904,1906-1922"
363,,"1874-1875,1883-1889,1893-1907,1909-1915,1917-1920"
364,,"1867-1896,1899-1904,1907-1907,1909-1911,1913-1913,1916-1919"
365,,"1877-1880,1883-1903,1905-1915,1917-1917"
366,,1886-1918
367,,"1867-1880,1884-1888,1893-1898,1903-1920,1922-1926"
368,,"1896-1897,1899-1902,1904-1909,1912-1920"
369,,"1898-1902,1904-1907,1909-1914,1916-1916,1919-1920"
370,,"1894-1895,1900-1914,1916-1920"
371,,"1901-1918,1920-1921"
372,,"1901-1906,1908-1908,1912-1919"
373,,"1858-1872,1883-1895,1900-1900,1902-1917"
374,,"1895-1908,1910-1912,1914-1920"
375,,"1892-1895,1898-1915"
376,,"1896-1900,1903-1919"
377,,"1874-1882,1890-1890,1892-1892,1894-1918"
378,,"1890-1909,1911-1920"
379,,"1890-1896,1898-1913,1915-1918"
380,,1896-1919
381,,"1893-1898,1901-1919"
382,,"1908-1908,1911-1919"
384,,"1889-1890,1894-1919"
385,,"1891-1891,1894-1907,1911-1912,1918-1918"
386,,"1863-1865,1871-1872,1890-1892,1895-1918"
387,,1865-1919
388,,"1904-1905,1908-1911,1913-1922"
389,,"1870-1873,1882-1885,1891-1898,1904-1912,1916-1918"
391,,1906-1918
392,,1898-1921
393,,"1900-1909,1911-1922"
394,,"1881-1884,1891-1893,1897-1899,1906-1906,1911-1912"
395,,"1882-1886,1891-1905,1909-1920"
396,,1899-1911
397,,1906-1906
398,,"1878-1881,1888-1892,1896-1919"
399,,1898-1916
400,,"1866-1875,1878-1918"
401,,"1872-1875,1881-1884,1889-1905,1907-1909,1912-1913,1915-1919"
402,,1867-1920
404,"Предтечинська церква Донської духовної консисторії, слобода Артемівка-Янова Міуського (з 1887 р. – Таганрозького) округу Області Війська Донського","1871-1873,1884-1887,1892-1892,1905-1909,1911-1912,1914-1916"
405,"Митрофанівська церква Новопавлівського благочиння Донської єпархії Донської духовної консисторії, с-ще Нижньо-Ханжонківське Зуївської (з 1887 р. – Макіївської) волості Міуського (з 1887 р. – Таганрозького) округу Області Війська Донського",1876-1919
406,"Миколаївський молитовний будинок Донської духовної консисторії, рудник Франко-Російського анонімного товариства Берестово-Кринських кам’яновугільних копалень Таганрозького округу Області Війська Донського","1904-1906,1910-1911,1913-1917,1919-1920"
407,"Одигітриївська церква Донської духовної консисторії, с-ще ГрузькоЛомовське Троїцько-Харцизької волості Таганрозького округу Області Війська Донського","1903-1904,1910-1911,1914-1917"
408,"Миколаївський молитовний будинок Донської духовної консисторії, рудник Катерининського гірничопромислового товариства Таганрозького округу Області Війська Донського","1903-1907,1909-1911,1913-1913,1916-1917"
409,"Різдво-Богородична церква Харківської духовної консисторії, слобода Попівка Куп’янського повіту Харківської губернії","1896-1896,1899-1899,1901-1901"
410,"Петропавлівська церква Катеринославської духовної консисторії, с. Трипілля Бахмутського повіту Катеринославської губернії",1903-1921
411,"Архангело-Михайлівська церква Катеринославської духовної консисторії, с. Зайцеве Бахмутського повіту Катеринославської губернії","1908-1908,1911-1913"
412,"Петропавлівська церква Маріупольського міського благочиння Катеринославської духовної консисторії, с-ще заводу “Нікополь” Маріупольського гірничого і металургійного товариства Маріупольського повіту Катеринославської губернії","1904-1908,1911-1918"
413,"Трьохсвятительська (Іоанно-Богословська) церква Донської духовної консисторії, с-ще Василівське Таганрозького округу Області Війська Донського",1904-1922
414,"Миколаївська церква Донської духовної консисторії, с-ще Григорівське Таганрозького округу Області Війська Донського","1907-1909,1912-1914,1916-1919"
415,"Георгіївська церква Катеринославської духовної консисторії, с. Бешеве Маріупольського повіту Катеринославської губернії","1884-1884,1897-1899,1902-1903,1907-1907,1909-1909,1914-1914,1919-1919,1921-1928"
416,"Федоро-Стратилатівська церква Катеринославської духовної консисторії, с. Костянтинопіль Маріупольського повіту Катеринославської губернії","1885-1887,1889-1893,1900-1924"
417,"Свято-Троїцька церква Катеринославської духовної консисторії, с. Старий Керменчик Олександрівського (з 1874 р. – Маріупольського) повіту Катеринославської губернії","1868-1870,1877-1919"
418,"Георгіївська церква Катеринославської духовної консисторії, с. Новопетриківка Маріупольського повіту Катеринославської губернії","1874-1905,1908-1917,1919-1921"
419,"Успенська церква Катеринославської духовної консисторії, с. Улакли Олександрівського (з 1874 р. – Маріупольського) повіту Катеринославської губернії","1866-1870,1908-1919"
420,"Марининська церква (молитовний будинок) Катеринославської духовної консисторії, с. Комар Олександрівського (з 1874 р. – Маріупольського) повіту Катеринославської губернії","1857-1915,1917-1920"
421,"Покровська церква Катеринославської духовної консисторії, с. Євгенівка Маріупольського повіту Катеринославської губернії","1905-1905,1908-1910,1913-1913,1915-1916"
422,"Георгіївська церква Катеринославської духовної консисторії, с. Велика Янисоль Олександрівського (з 1874 р. – Маріупольського) повіту Катеринославської губернії","1869-1869,1871-1879,1883-1901,1904-1915,1917-1922"
423,"Преображенська церква Катеринославської духовної консисторії, с. Богатир Олександрівського (з 1874 р. – Маріупольського) повіту Катеринославської губернії","1848-1853,1861-1864,1871-1874,1892-1921"
424,"Покровська церква Катеринославської духовної консисторії, с. Майорське Маріупольського повіту Катеринославської губернії","1880-1918,1921-1922"
425,"Андрія Первозваного церква Катеринославської духовної консисторії, с. Андріївка Маріупольського повіту Катеринославської губернії","1882-1885,1902-1904,1919-1920"
