full_code,title,tags,years
ДАДоО-189-1-16,"Книга шлюбних обшуків. Вознесенська церква, с. Государів Байрак Бахмутського пов.",шлюбні обшуки,
ДАДоО-215-1-36,"Метрична книга. Соборна Харлампіївська церква, м. Маріуполь Маріупольського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-219-1-8,"Книга шлюбних обшуків. Преображенська церква, с. Кодема Бахмутського пов.",шлюбні обшуки,"1888-1889,1891-1892,1894-1898"
ДАДоО-226-1-4,"Відомості про молитовний дім, про притч, про парафіян. Миколаївська церква, с. Ольгинка Маріупольського пов.",,
ДАДоО-304-1-2,"Метрична книга. Архангело-Михайлівська церква, с. Архангельське Маріупольського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-312-1-5,"Метрична книга. Вознесенська церква, с. Корсунь Бахмутського пов.",метрична книга|народження,
ДАДоО-312-1-6,"Метрична книга. Вознесенська церква, с. Корсунь Бахмутського пов.",метрична книга|народження,
ДАДоО-312-1-10,"Метрична книга. Вознесенська церква, с. Корсунь Бахмутського пов.",метрична книга|народження,
ДАДоО-312-1-12,"Метрична книга. Вознесенська церква, с. Корсунь Бахмутського пов.",метрична книга|народження,
ДАДоО-324-1-34,"Метрична книга. Миколаївська церква, с. Селидівка Селидівської вол. Бахмутського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-335-1-2,"Метрична книга. Миколаївська церква, с-ще Дружківка-Донецька Бахмутського пов.",метрична книга|народження|шлюб|смерть,1898-1898
ДАДоО-344-1-2,"Книга шлюбних обшуків. Петропавлівський молитовний будинок (церква), с-ще Єнакієве Бахмутського пов.",шлюбні обшуки,1901-1906
ДАДоО-359-1-2,"Метрична книга. Вознесенська церква, с. Нова Карань Каранської вол. Маріупольського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-359-1-3,"Метрична книга. Вознесенська церква, с. Нова Карань Каранської вол. Маріупольського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-359-1-4,"Метрична книга. Вознесенська церква, с. Нова Карань Каранської вол. Маріупольського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-359-1-5,"Метрична книга. Вознесенська церква, с. Нова Карань Каранської вол. Маріупольського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-359-1-6,"Метрична книга. Вознесенська церква, с. Нова Карань Каранської вол. Маріупольського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-359-1-7,"Метрична книга. Вознесенська церква, с. Нова Карань Каранської вол. Маріупольського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-359-1-8,"Метрична книга. Вознесенська церква, с. Нова Карань Каранської вол. Маріупольського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-378-1-3,"Метрична книга. Петропавлівська церква, с. Галицинівка Галицинівської вол. Бахмутськогопов.",метрична книга|народження|шлюб|смерть,
ДАДоО-421-1-5,"Метрична книга. Покровська церква, с. Євгенівка Маріупольського пов.",метрична книга|народження|смерть,
ДАДоО-439-1-2,,сповідальні відомості,
ДАДоО-54-1-19,"Книга шлюбних обшуків. Успенська церква, слоб. Макіївка Макіївської вол.",шлюбні обшуки,
ДАДоО-293-1-34,"Метрична книга. Успенська церква, слоб. Успенка",метрична книга|смерть,1911-1911
ДАДоО-198-1-14,"Метрична книга. Василівська церква, с. Сергіївка Ізюмського пов.",метрична книга|народження|шлюб|смерть,1913-1913
ДАДоО-198-1-16,"Метрична книга. Василівська церква, с. Сергіївка Ізюмського пов.",метрична книга|народження,1918-1918
ДАДоО-199-1-2,"Метрична книга. Василівська церква, с. Прелесне Ізюмського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-201-1-2,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,1876-1878
ДАДоО-201-1-3,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,1879-1881
ДАДоО-201-1-4,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,1882-1888
ДАДоО-201-1-5,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,1889-1891
ДАДоО-201-1-6,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,1892-1894
ДАДоО-201-1-7,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,1895-1896
ДАДоО-201-1-8,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,1897-1898
ДАДоО-201-1-9,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,1899-1900
ДАДоО-201-1-10,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,1901-1904
ДАДоО-201-1-11,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,1905-1907
ДАДоО-201-1-12,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-201-1-13,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-201-1-14,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-201-1-15,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-201-1-16,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-201-1-17,"Метрична книга. Покровська церква, с. Маяки Ізюмського пов.",метрична книга|народження|смерть,1921-1921
ДАДоО-356-1-2,"Метрична книга. Олександро-Невська церква, с. Олександрівка Ізюмського пов.",метрична книга|народження|шлюб|смерть,1871-1871
ДАДоО-356-1-3,"Метрична книга. Олександро-Невська церква, с. Олександрівка Ізюмського пов.",метрична книга|народження|шлюб|смерть,1872-1873
ДАДоО-356-1-4,"Метрична книга. Олександро-Невська церква, с. Олександрівка Ізюмського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-356-1-5,"Метрична книга. Олександро-Невська церква, с. Олександрівка Ізюмського пов.",метрична книга|народження|шлюб|смерть,
ДАДоО-356-1-6,"Метрична книга. Олександро-Невська церква, с. Олександрівка Ізюмського пов.",метрична книга|народження|шлюб|смерть,
