full_code,db_years_before,catalog_years
ДАДоО-76-1-12,1889-1893,1889-1896
ДАДоО-102-1-21,1880-1882,1869-1870
ДАДоО-102-1-23,1885-1886,1882-1882
ДАДоО-102-1-24,1888-1890,1883-1884
ДАДоО-102-1-25,1891-1892,1885-1886
ДАДоО-102-1-26,1893-1895,1888-1890
ДАДоО-102-1-28,1900-1902,1893-1895
ДАДоО-102-1-30,1905-1906,1900-1901
ДАДоО-102-1-31,1907-1910,1902-1904
ДАДоО-102-1-32,1875-1876,1905-1906
ДАДоО-189-1-4,1883-1883,1885-1885
ДАДоО-189-1-33,1915-1915,1916-1916
ДАДоО-190-1-10,1905-1907,1904-1904
ДАДоО-190-1-11,1908-1909,1905-1907
ДАДоО-190-1-12,1910-1910,1908-1909
ДАДоО-190-1-13,1911-1911,1910-1910
ДАДоО-190-1-14,1912-1912,1911-1911
ДАДоО-190-1-15,1913-1913,1912-1912
ДАДоО-192-1-45,1915-1916,1917-1917
ДАДоО-192-1-46,1917-1917,1918-1918
ДАДоО-192-1-47,1918-1918,1919-1919
ДАДоО-193-1-29,1900-1900,1899-1899
ДАДоО-193-1-30,1901-1901,1900-1900
ДАДоО-193-1-31,1902-1902,1901-1901
ДАДоО-193-1-32,1906-1906,1902-1902
ДАДоО-193-1-39,1913-1913,1909-1909
ДАДоО-193-1-40,1914-1914,1910-1910
ДАДоО-193-1-41,1915-1916,1911-1911
ДАДоО-193-1-42,1915-1916,1912-1912
ДАДоО-193-1-43,1915-1916,1913-1913
ДАДоО-193-1-44,1917-1919,1914-1914
ДАДоО-193-1-45,1917-1917,1915-1915
ДАДоО-193-1-46,1917-1919,1916-1916
ДАДоО-193-1-47,1918-1919,1917-1917
ДАДоО-195-1-12,1890-1901,1900-1903
ДАДоО-197-1-15,1912-1913,1910-1911
ДАДоО-197-1-16,1914-1915,1912-1913
ДАДоО-197-1-17,1916-1918,1914-1915
ДАДоО-197-1-18,1919-1920,1916-1918
ДАДоО-198-1-1,1917-1918,"1853-1858,1860-1864"
ДАДоО-198-1-4,1881-1884,1880-1884
ДАДоО-198-1-5,1880-1884,1885-1890
ДАДоО-201-1-12,1910-1910,1908-1910
ДАДоО-202-1-1,1858-1862,1855-1866
ДАДоО-202-1-4,1874-1876,1884-1889
ДАДоО-202-1-5,1877-1880,1890-1895
ДАДоО-203-1-9,1900-1905,1892-1896
ДАДоО-203-1-10,1904-1905,1896-1900
ДАДоО-203-1-11,1906-1907,1900-1905
ДАДоО-203-1-12,1908-1909,1904-1905
ДАДоО-203-1-13,1910-1912,1906-1907
ДАДоО-203-1-14,1913-1914,1908-1909
ДАДоО-204-1-8,1904-1907,1899-1903
ДАДоО-204-1-9,1908-1912,1904-1907
ДАДоО-205-1-1,1856-1859,1871-1874
ДАДоО-205-1-9,1916-1919,1912-1913
ДАДоО-208-1-16,1916-1920,1916-1921
ДАДоО-210-1-10,1900-1900,1901-1903
ДАДоО-212-1-3,1874-1874,1874-1875
ДАДоО-212-1-7,1889-1889,1888-1888
ДАДоО-212-1-8,1890-1891,1889-1889
ДАДоО-212-1-9,1892-1892,1890-1891
ДАДоО-212-1-10,1893-1893,1892-1892
ДАДоО-212-1-11,1894-1894,1893-1893
ДАДоО-212-1-12,1895-1895,1894-1894
ДАДоО-212-1-13,1896-1896,1895-1895
ДАДоО-212-1-14,1899-1899,1896-1896
ДАДоО-212-1-15,1902-1902,1899-1899
ДАДоО-212-1-16,1903-1903,1902-1902
ДАДоО-212-1-17,1904-1904,1903-1903
ДАДоО-212-1-18,1905-1905,1904-1904
ДАДоО-212-1-19,1906-1906,1905-1905
ДАДоО-212-1-20,1907-1907,1906-1906
ДАДоО-212-1-21,1908-1908,1907-1907
ДАДоО-212-1-22,1911-1911,1908-1908
ДАДоО-212-1-23,1912-1912,1911-1911
ДАДоО-212-1-24,1913-1913,1912-1912
ДАДоО-212-1-25,1914-1914,1913-1913
ДАДоО-212-1-26,1915-1915,1914-1914
ДАДоО-212-1-27,1916-1917,1915-1915
ДАДоО-213-1-25,1919-1919,1917-1919
ДАДоО-215-1-23,1899-1899,1900-1900
ДАДоО-215-1-24,1900-1900,1901-1901
ДАДоО-215-1-25,1901-1901,1903-1903
ДАДоО-215-1-26,1903-1903,1906-1906
ДАДоО-215-1-27,1906-1906,1907-1907
ДАДоО-215-1-28,1907-1907,1909-1909
ДАДоО-215-1-29,1909-1909,1910-1910
ДАДоО-215-1-30,1910-1910,1911-1911
ДАДоО-215-1-31,1911-1911,1912-1912
ДАДоО-215-1-32,1912-1912,1913-1913
ДАДоО-215-1-33,1913-1913,1914-1914
ДАДоО-215-1-34,1914-1914,1915-1915
ДАДоО-215-1-35,1915-1915,1916-1916
ДАДоО-215-1-37,1917-1918,1920-1921
ДАДоО-216-1-16,1905-1905,1904-1905
ДАДоО-217-1-1,1905-1906,1862-1870
ДАДоО-219-1-1,1864-1867,1864-1870
ДАДоО-219-1-3,1879-1880,1879-1881
ДАДоО-219-1-4,1882-1883,"1874-1874,1879-1883"
ДАДоО-221-1-12,1896-1897,1894-1894
ДАДоО-221-1-16,1901-1901,1900-1900
ДАДоО-221-1-17,1902-1902,1901-1901
ДАДоО-221-1-18,1904-1904,1902-1902
ДАДоО-221-1-19,1905-1905,1904-1904
ДАДоО-221-1-20,1906-1906,1905-1905
ДАДоО-221-1-21,1911-1911,1906-1906
ДАДоО-221-1-22,1912-1912,1911-1911
ДАДоО-221-1-23,1913-1913,1912-1912
ДАДоО-221-1-24,1914-1914,1913-1913
ДАДоО-221-1-25,1916-1916,1914-1914
ДАДоО-221-1-26,1917-1918,1916-1916
ДАДоО-221-1-27,1919-1921,1917-1918
ДАДоО-222-1-14,1913-1913,1911-1912
ДАДоО-223-1-5,1893-1894,1893-1895
ДАДоО-226-1-1,1871-1872,"1772-1772,1871-1872"
ДАДоО-226-1-6,1883-1883,"1861-1861,1878-1878,1883-1883"
ДАДоО-228-1-1,1868-1869,1868-1870
ДАДоО-233-1-16,1913-1913,1913-1914
ДАДоО-233-1-17,1915-1915,1900-1915
ДАДоО-245-1-2,1905-1917,1896-1897
ДАДоО-245-1-3,1918-1919,"1905-1905,1907-1907,1913-1913,1917-1917"
ДАДоО-262-1-8,1879-1880,1878-1880
ДАДоО-262-1-18,1898-1898,1897-1898
ДАДоО-268-1-5,1859-1860,1858-1860
ДАДоО-271-1-18,1814-1814,1914-1914
ДАДоО-271-1-19,1919-1919,1916-1916
ДАДоО-271-1-22,1919-1920,1918-1918
ДАДоО-272-1-3,1879-1881,1870-1872
ДАДоО-272-1-4,1889-1890,1873-1874
ДАДоО-277-1-4,1905-1906,"1905-1906,1908-1908"
ДАДоО-279-1-5,1890-1892,1889-1891
ДАДоО-280-1-2,1878-1879,1878-1880
ДАДоО-284-1-6,1904-1905,1904-1906
ДАДоО-294-1-12,1821-1822,1921-1922
ДАДоО-298-1-9,1893-1893,1893-1894
ДАДоО-307-1-5,1917-1917,1881-1882
ДАДоО-322-1-2,"1843-1847,1849-1849","1843-1847,1849-1864"
ДАДоО-322-1-21,1899-1899,1900-1902
ДАДоО-324-1-3,1872-1872,1872-1874
ДАДоО-324-1-4,1873-1874,1876-1877
ДАДоО-324-1-5,1876-1877,1878-1879
ДАДоО-324-1-6,1878-1879,1880-1881
ДАДоО-324-1-17,1899-1899,1899-1900
ДАДоО-324-1-18,1900-1900,1901-1902
ДАДоО-324-1-19,1901-1901,1903-1903
ДАДоО-324-1-20,1902-1902,1904-1904
ДАДоО-324-1-21,1903-1903,1905-1905
ДАДоО-324-1-22,1904-1904,1906-1906
ДАДоО-324-1-23,1905-1905,1907-1907
ДАДоО-324-1-27,1909-1909,1912-1912
ДАДоО-324-1-28,1910-1910,1913-1913
ДАДоО-324-1-29,1911-1912,1914-1914
ДАДоО-324-1-30,1913-1913,1915-1915
ДАДоО-324-1-31,1914-1914,1916-1916
ДАДоО-324-1-32,1915-1915,1917-1917
ДАДоО-324-1-33,1916-1916,1918-1918
ДАДоО-324-1-34,1917-1917,1919-1920
ДАДоО-330-1-3,1882-1882,1882-1883
ДАДоО-330-1-5,1892-1892,1892-1893
ДАДоО-332-1-29,1911-1911,1908-1911
ДАДоО-334-1-7,1885-1894,1885-1895
ДАДоО-334-1-8,1885-1887,1885-1895
ДАДоО-340-1-8,"1881-1882,1884-1884,1888-1888,1897-1897","1881-1882,1884-1886,1888-1898"
ДАДоО-342-1-1,1910-1916,1900-1903
ДАДоО-345-1-1,"1864-1872,1874-1874","1864-1872,1874-1880"
ДАДоО-345-1-4,1893-1894,1891-1894
ДАДоО-348-1-1,1896-1897,1899-1903
ДАДоО-357-1-5,1878-1886,1877-1878
ДАДоО-357-1-14,1886-1895,1895-1896
ДАДоО-358-1-1,1882-1884,1880-1884
ДАДоО-358-1-17,1917-1917,1916-1916
ДАДоО-364-1-13,1887-1887,1886-1887
ДАДоО-373-1-6,1891-1894,1891-1895
ДАДоО-373-1-8,1904-1905,1904-1906
ДАДоО-384-1-5,1905-1906,1903-1904
ДАДоО-386-1-10,1913-1915,"1863-1865,1913-1915"
ДАДоО-386-1-11,1910-1912,1916-1918
ДАДоО-387-1-4,1881-1882,1881-1883
ДАДоО-389-1-2,1872-1875,1882-1885
ДАДоО-391-1-7,1914-1914,1913-1914
ДАДоО-391-1-9,1916-1916,1915-1915
ДАДоО-391-1-10,1917-1917,1915-1916
ДАДоО-391-1-11,1918-1918,1916-1916
ДАДоО-392-1-2,"1898-1899,1903-1903","1898-1899,1903-1907"
ДАДоО-393-1-8,1908-1908,1907-1907
ДАДоО-398-1-12,"1906-1908,1910-1910","1906-1908,1910-1913"
ДАДоО-398-1-18,1918-1919,1917-1918
ДАДоО-400-1-2,"1866-1875,1878-1878,1885-1885","1866-1875,1878-1883,1885-1888"
ДАДоО-401-1-2,"1872-1875,1881-1881","1872-1875,1881-1884"
ДАДоО-401-1-7,1896-1896,1896-1897
ДАДоО-401-1-14,"1908-1909,1912-1912,1915-1915,1917-1917","1908-1909,1912-1913,1915-1915,1917-1918"
ДАДоО-401-1-18,1918-1919,1917-1919
ДАДоО-405-1-6,1896-1900,1891-1900
ДАДоО-411-1-1,1910-1920,1908-1908
ДАДоО-412-1-5,1916-1916,1912-1912
ДАДоО-415-1-5,1903-1903,"1903-1903,1907-1907"
ДАДоО-415-1-8,1919-1922,"1915-1915,1919-1919,1921-1922"
ДАДоО-422-1-5,1884-1885,1883-1885
ДАДоО-423-1-9,1910-1910,1908-1910
