glued_full_code,target_full_code,action
ДАДоО-198-1-183,ДАДоО-198-1-8,delete-into-existing
ДАДоО-200-1-184,ДАДоО-200-1-5,delete-into-existing
ДАДоО-208-1-84,ДАДоО-208-1-5,delete-into-existing
ДАДоО-214-1-87,ДАДоО-214-1-5,delete-into-existing
ДАДоО-235-1-97,ДАДоО-235-1-5,delete-into-existing
ДАДоО-243-1-100,ДАДоО-243-1-8,delete-into-existing
ДАДоО-249-1-102,ДАДоО-249-1-11,delete-into-existing
ДАДоО-270-1-157,ДАДоО-270-1-11,delete-into-existing
ДАДоО-334-1-196,ДАДоО-334-1-5,delete-into-existing
ДАДоО-391-1-172,ДАДоО-391-1-6,delete-into-existing
ДАДоО-416-1-136,ДАДоО-416-1-5,delete-into-existing
