1	1	30	Метрична книга. Вознесенська церква, с. Корсунь Бахмутського пов.	1919-1921	метрична книга|смерть	0	Вознесенська церква, с. Корсунь Бахмутський повіт
20	1	1	Метрична книга. Богородицька церква, слоб. Дмитріївка	1873-1876	метрична книга|народження|смерть|шлюб	0	Богородицька церква, слоб. Дмитріївка | Богородицька церква Новопавлівського благочиння Донської єпархії Донської духовної консисторії, сл. Дмитрієвка Міуського, з 1887 р. – Таганрозького округу Області Війська Донського
20	1	2	Метрична книга. Богородицька церква, слоб. Дмитріївка	1877-1879	метрична книга|народження|смерть|шлюб	0	Богородицька церква, слоб. Дмитріївка | Богородицька церква Новопавлівського благочиння Донської єпархії Донської духовної консисторії, сл. Дмитрієвка Міуського, з 1887 р. – Таганрозького округу Області Війська Донського
20	1	3	Метрична книга. Богородицька церква, слоб. Дмитріївка	1880-1883	метрична книга|народження|смерть|шлюб	0	Богородицька церква, слоб. Дмитріївка | Богородицька церква Новопавлівського благочиння Донської єпархії Донської духовної консисторії, сл. Дмитрієвка Міуського, з 1887 р. – Таганрозького округу Області Війська Донського
20	1	4	Метрична книга. Богородицька церква, слоб. Дмитріївка	1884-1886	метрична книга|народження|смерть|шлюб	0	Богородицька церква, слоб. Дмитріївка | Богородицька церква Новопавлівського благочиння Донської єпархії Донської духовної консисторії, сл. Дмитрієвка Міуського, з 1887 р. – Таганрозького округу Області Війська Донського
20	1	5	Метрична книга. Богородицька церква, слоб. Дмитріївка	1887-1889	метрична книга|народження|смерть|шлюб	0	Богородицька церква, слоб. Дмитріївка | Богородицька церква Новопавлівського благочиння Донської єпархії Донської духовної консисторії, сл. Дмитрієвка Міуського, з 1887 р. – Таганрозького округу Області Війська Донського
20	1	6	Метрична книга. Богородицька церква, слоб. Дмитріївка	1890-1891	метрична книга|народження|смерть|шлюб	0	Богородицька церква, слоб. Дмитріївка | Богородицька церква Новопавлівського благочиння Донської єпархії Донської духовної консисторії, сл. Дмитрієвка Міуського, з 1887 р. – Таганрозького округу Області Війська Донського
20	1	7	Метрична книга. Богородицька церква, слоб. Дмитріївка	1892-1894	метрична книга|народження|смерть|шлюб	0	Богородицька церква, слоб. Дмитріївка | Богородицька церква Новопавлівського благочиння Донської єпархії Донської духовної консисторії, сл. Дмитрієвка Міуського, з 1887 р. – Таганрозького округу Області Війська Донського
20	1	8	Метрична книга. Богородицька церква, слоб. Дмитріївка	1916-1916	метрична книга|народження|смерть	0	Богородицька церква, слоб. Дмитріївка | Богородицька церква Новопавлівського благочиння Донської єпархії Донської духовної консисторії, сл. Дмитрієвка Міуського, з 1887 р. – Таганрозького округу Області Війська Донського
20	1	11	Метрична книга. Богородицька церква, слоб. Дмитріївка	1915-1915	метрична книга|народження|смерть|шлюб	0	Богородицька церква, слоб. Дмитріївка | Богородицька церква Новопавлівського благочиння Донської єпархії Донської духовної консисторії, сл. Дмитрієвка Міуського, з 1887 р. – Таганрозького округу Області Війська Донського
20	1	12	Метрична книга. Богородицька церква, слоб. Дмитріївка	1916-1917	метрична книга|народження|смерть|шлюб	0	Богородицька церква, слоб. Дмитріївка | Богородицька церква Новопавлівського благочиння Донської єпархії Донської духовної консисторії, сл. Дмитрієвка Міуського, з 1887 р. – Таганрозького округу Області Війська Донського
20	1	13	Метрична книга. Богородицька церква, слоб. Дмитріївка	1919-1919	метрична книга|народження|смерть|шлюб	0	Богородицька церква, слоб. Дмитріївка | Богородицька церква Новопавлівського благочиння Донської єпархії Донської духовної консисторії, сл. Дмитрієвка Міуського, з 1887 р. – Таганрозького округу Області Війська Донського
