archive,code,fond,inventory,file,title,tags,years
ДААРК,142-2-24,142,2,24,"Метрична книга. Миколаївський собор, м. Євпаторія",метрична книга|народження|шлюб|смерть,1910-1910
ДААРК,142-1-879,142,1,879,"Метрична книга. Миколаївський собор, м. Євпаторія",метрична книга|народження|шлюб|смерть,1913-1913
ДААРК,142-1-964,142,1,964,"Метрична книга. Миколаївський собор, м. Євпаторія",метрична книга|народження|шлюб|смерть,1915-1915
ДААРК,142-1-998,142,1,998,"Метрична книга. Свято-Варваринська церква, с. Караджа Євпаторійського пов. Кунанської вол.",метрична книга|народження|шлюб|смерть,1916-1917
ДААРК,142-1-1118,142,1,1118,"Метрична книга. Свято-Георгіє-Олександрівська церква, с. Сари-Булат Євпаторійського пов. Коджамбакської вол.",метрична книга|народження|шлюб|смерть,1920-1920
ДААРК,142-1-1018,142,1,1018,"Метрична книга. Олександро-Невська церква, с. Сарабуз (Олександрівка) Сімферопольського пов. Підгороднє-Петрівської вол.",метрична книга|народження|шлюб|смерть,1916-1916
ДААРК,142-1-1987,142,1,1987,"Метрична книга. Мартініанівська церква, м. Сімферополь",метрична книга|народження,1918-1918
ДААРК,309-1-18,309,1,18,"Метрична книга. Петропавлівська церква, м. Сімферополь",метрична книга|народження|шлюб|смерть,1848-1848
ДААРК,142-1-242,142,1,242,"Метрична книга. Петропавлівська церква, м. Сімферополь",метрична книга|народження|шлюб|смерть,1888-1888
ДААРК,142-1-895,142,1,895,"Метрична книга. Петропавлівська церква, м. Сімферополь",метрична книга|народження|шлюб|смерть,1913-1913
ДААРК,142-1-979,142,1,979,"Метрична книга. Петропавлівська церква, м. Сімферополь",метрична книга|народження|шлюб|смерть,"1815-1815,1915-1915"
ДААРК,142-1-980,142,1,980,"Метрична книга. Петропавлівська церква, м. Сімферополь",метрична книга|народження|шлюб|смерть,1915-1915
ДААРК,310-1-59,310,1,59,"Метрична книга. Преображенська (до 1864 р. – цвинтарна) церква, м. Сімферополь",метрична книга|народження,1865-1865
ДААРК,142-1-897,142,1,897,"Метрична книга. Преображенська (до 1864 р. – цвинтарна) церква, м. Сімферополь",метрична книга|народження|шлюб|смерть,1913-1913
ДААРК,142-1-1107,142,1,1107,"Метрична книга. Преображенська (до 1864 р. – цвинтарна) церква, м. Сімферополь",метрична книга|народження|шлюб|смерть,1919-1919
ДААРК,142-1-821,142,1,821,"Метрична книга. Церква Скорбної Божої Матері при Таврійській земській лікарні, м. Сімферополь",метрична книга|народження|шлюб|смерть,1911-1911
ДААРК,282-1-6,282,1,6,"Метрична книга. Церква в ім’я Скорбної Божої Матері, с. Насипкой Феодосійського пов. Салинської вол.",метрична книга|народження|шлюб|смерть,1857-1857
ДААРК,142-1-945,142,1,945,"Метрична книга. Олександро-Невський собор, м. Феодосія",метрична книга|народження|шлюб|смерть,1914-1914
ДААРК,305-1-5,305,1,5,"Метрична книга. Марининська церква, с. Камари Сімферопольського, з 1838 р. Ялтинського пов. Балаклавського округу",метрична книга|народження|шлюб|смерть,1866-1867
ДААРК,645-1-7,645,1,7,"Метрична книга. Іоанно-Предтеченська церква, маєток Масандра Сімферопольського, з 1838 р. Ялтинського пов. Дерекойської вол.",метрична книга|шлюб|смерть,1856-1856
ДААРК,142-1-1098,142,1,1098,"Метрична книга. Преображенська церква, с. Скеля Ялтинського пов.",метрична книга|народження,1918-1918
ДААРК,646-1-34,646,1,34,"Метрична книга. Воскресенська церква, маєток Форос Ялтинського пов. Байдарської вол.",метрична книга|сповідальні відомості,1912-1912
ДААРК,142-1-925А,142,1,925А,"Метрична книга. Троїцький собор, м. Керч",метрична книга|шлюб|смерть,1914-1914
ДААРК,142-4-1В,142,4,1В,"Метрична книга. Успенська вірмено-григоріанська церква, м. Старий Крим Феодосійського пов. (вірменською мовою)",метрична книга|народження|шлюб|смерть,1865-1871
ДААРК,316-1-40,316,1,40,"Метрична книга. Мечеть Аджи-Кеннан (Кенан) маале, м. Євпаторія (татарською мовою, арабське письмо)",метрична книга|смерть,1861-1861
ДААРК,316-1-39,316,1,39,"Метрична книга. Мечеть Сефер-Ефенді маале, м. Євпаторія (татарською мовою, арабське письмо)",метрична книга|шлюб,1861-1861
ДААРК,324-1-11,324,1,11,"Метрична книга. Мечеть с. Аджи-Болат (Аджи-Булат), Сімферопольського пов. Дуванкойської вол. (татарською мовою, арабське письмо) Міжархівний довідник",метрична книга|народження,1836-1836
ДААРК,324-1-70,324,1,70,"Метрична книга. Мечеть с. Албат, Сімферопольського пов. Дуванкойської вол. (татарською мовою, арабське письмо)",метрична книга|народження,1847-1847
ДААРК,321-1-58,321,1,58,"Метрична книга. Мечеть Абіт-Ефенді маале, м. Бахчисарай Сімферопольського пов. (татарською мовою, арабське письмо) Державний архів в Автономній Республіці Крим",метрична книга|шлюб|розлучення,1838-1838
ДААРК,321-1-36,321,1,36,"Метрична книга. Мечеть Абіт-Ефенді маале, м. Бахчисарай Сімферопольського пов. (татарською мовою, арабське письмо) Державний архів в Автономній Республіці Крим",метрична книга|смерть,1836-1836
