full_code,title
ДААРК-142-1-335,"Метрична книга. Трьохсвятительська церква, с. Григорівка (Великий Чокрак) Дніпровського пов. Першокостянтинівської вол. Міжархівний довідник"
ДААРК-142-1-386,"Метрична книга. Трьохсвятительська церква, с. Григорівка (Великий Чокрак) Дніпровського пов. Першокостянтинівської вол. Міжархівний довідник"
ДААРК-142-2-1,"Метрична книга. Петропавлівський молитовний будинок, маєток Громівка Дніпровського пов. Громівської вол."
ДААРК-142-2-3,"Метрична книга. Богородичний молитовний будинок, с. Іванівка Дніпровського пов. Першокостянтинівської вол."
ДААРК-142-2-2,"Метрична книга. Покровська церква, с. Чаплинка Дніпровського пов. Чаплинської вол."
ДААРК-142-1-143,"Метрична книга. Захаріє-Єлісаветинська церква, с. Ак-Мечеть Євпаторійського пов. Кунанської вол."
ДААРК-142-1-387,"Метрична книга. Захаріє-Єлісаветинська церква, с. Ак-Мечеть Євпаторійського пов. Кунанської вол."
ДААРК-142-1-431,"Метрична книга. Захаріє-Єлісаветинська церква, с. Ак-Мечеть Євпаторійського пов. Кунанської вол."
ДААРК-142-1-488,"Метрична книга. Захаріє-Єлісаветинська церква, с. Ак-Мечеть Євпаторійського пов. Кунанської вол."
ДААРК-142-1-491,"Метрична книга. Захаріє-Єлісаветинська церква, с. Ак-Мечеть Євпаторійського пов. Кунанської вол."
ДААРК-142-1-547,"Метрична книга. Захаріє-Єлісаветинська церква, с. Ак-Мечеть Євпаторійського пов. Кунанської вол."
ДААРК-142-1-579,"Метрична книга. Захаріє-Єлісаветинська церква, с. Ак-Мечеть Євпаторійського пов. Кунанської вол."
ДААРК-142-1-465,"Метрична книга. Миколаївська церква, с. Бій-Орлюк Євпаторійського пов. Агайської вол."
ДААРК-142-1-706,"Метрична книга. Миколаївська церква, с. Бій-Орлюк Євпаторійського пов. Агайської вол."
ДААРК-142-1-490,"Метрична книга. Миколаївський собор, м. Євпаторія"
ДААРК-142-1-545,"Метрична книга. Миколаївський собор, м. Євпаторія"
ДААРК-142-1-577,"Метрична книга. Миколаївський собор, м. Євпаторія"
ДААРК-142-1-705,"Метрична книга. Миколаївський собор, м. Євпаторія"
ДААРК-142-1-803,"Метрична книга. Миколаївський собор, м. Євпаторія"
ДААРК-142-1-578,"Метрична книга. Свято-Варваринська церква, с. Караджа Євпаторійського пов. Кунанської вол."
ДААРК-142-1-375,"Метрична книга. Іллінська церква, с. Сак (Саки), Євпаторійського пов. Сакської вол."
ДААРК-142-1-546,"Метрична книга. Іллінська церква, с. Сак (Саки), Євпаторійського пов. Сакської вол."
ДААРК-142-1-433,"Метрична книга. Анастасівська церква, с. Антонівка (Курман-Кемельчи) Перекопського пов. Олександрівської вол."
ДААРК-142-1-406,"Метрична книга. Іоанно-Предтеченська церква, с. Бія-Сали Сімферопольського пов. Тав-Бодракської вол."
ДААРК-142-1-31,"Метрична книга. Іллінська церква, м. Карасубазар Сімферопольського пов."
ДААРК-142-1-38,"Метрична книга. Іллінська церква, м. Карасубазар Сімферопольського пов."
ДААРК-142-1-432,"Метрична книга. Миколаївська соборна церква, м. Карасубазар Сімферопольського пов."
ДААРК-142-1-878,"Метрична книга. Миколаївська соборна церква, м. Карасубазар Сімферопольського пов."
ДААРК-142-1-2,"Метрична книга. Петропавлівська церква, с. Мангуш Сімферопольського пов. Тав-Бодракської вол."
ДААРК-142-1-28,"Метрична книга. Олександро-Невський кафедральний собор, м. Сімферополь"
ДААРК-142-1-29,"Метрична книга. Олександро-Невський кафедральний собор, м. Сімферополь"
ДААРК-142-1-336,"Метрична книга. Олександро-Невський кафедральний собор, м. Сімферополь"
ДААРК-309-1-2,"Метрична книга. Петропавлівська церква, м. Сімферополь"
ДААРК-309-1-3,"Метрична книга. Петропавлівська церква, м. Сімферополь"
ДААРК-309-1-5,"Метрична книга. Петропавлівська церква, м. Сімферополь"
ДААРК-309-1-6,"Метрична книга. Петропавлівська церква, м. Сімферополь"
ДААРК-309-1-7,"Метрична книга. Петропавлівська церква, м. Сімферополь"
ДААРК-309-1-8,"Метрична книга. Петропавлівська церква, м. Сімферополь"
ДААРК-309-1-9,"Метрична книга. Петропавлівська церква, м. Сімферополь"
ДААРК-309-1-11,"Метрична книга. Петропавлівська церква, м. Сімферополь"
ДААРК-309-1-12,"Метрична книга. Петропавлівська церква, м. Сімферополь"
ДААРК-309-1-13,"Метрична книга. Петропавлівська церква, м. Сімферополь"
ДААРК-142-1-33,"Метрична книга. Петропавлівська церква, м. Сімферополь"
ДААРК-142-1-37,"Метрична книга. Петропавлівська церква, м. Сімферополь"
ДААРК-142-1-123,"Метрична книга. Володимирська церква, с. Тавель Сімферопольського пов. ПідгороднєПетрівської вол."
ДААРК-142-1-166,"Метрична книга. Володимирська церква, с. Тавель Сімферопольського пов. ПідгороднєПетрівської вол."
ДААРК-142-1-461,"Метрична книга. Свято-Андріївська церква, с. Андріївка Феодосійського пов. Андріївської вол."
ДААРК-142-1-798,"Метрична книга. Олександро-Невська церква, с. Байгоджа Феодосійського пов. Владиславівської вол."
ДААРК-142-1-121,"Метрична книга. Архангело-Михайлівська церква, с. Владиславівка Феодосійського пов. Владиславівської вол."
ДААРК-142-1-388,"Метрична книга. Архангело-Михайлівська церква, с. Владиславівка Феодосійського пов. Владиславівської вол."
ДААРК-142-1-409,"Метрична книга. Архангело-Михайлівська церква, с. Владиславівка Феодосійського пов. Владиславівської вол."
ДААРК-142-1-324,"Метрична книга. Церква Святого рівноапостольного князя Володимира в святому хрещенні Василія, с. Дейре-Салин Феодосійського пов. Сараймінської вол."
ДААРК-142-1-370,"Метрична книга. Церква Святого рівноапостольного князя Володимира в святому хрещенні Василія, с. Дейре-Салин Феодосійського пов. Сараймінської вол."
ДААРК-142-1-434,"Метрична книга. Церква Святого рівноапостольного князя Володимира в святому хрещенні Василія, с. Дейре-Салин Феодосійського пов. Сараймінської вол."
ДААРК-142-1-462,"Метрична книга. Церква Святого рівноапостольного князя Володимира в святому хрещенні Василія, с. Дейре-Салин Феодосійського пов. Сараймінської вол."
ДААРК-142-1-797,"Метрична книга. Свято-Архипівська церква, с. Ессен-Екі Феодосійського пов. Цюріхтальської вол."
ДААРК-142-1-122,Метрична книга. Вознесенська церква с. Кішлав Феодосійського пов. Кішлавської вол. (з 1813 по 1821 рр. – Олександро-Невська церква)
ДААРК-142-1-371,Метрична книга. Вознесенська церква с. Кішлав Феодосійського пов. Кішлавської вол. (з 1813 по 1821 рр. – Олександро-Невська церква)
ДААРК-142-1-834,"Метрична книга. Марфівська церква, с. Марфівка Феодосійського пов. Петрівської вол."
ДААРК-142-2-4,"Метрична книга. Знаменська церква, с. Сали Феодосійського пов. Салинської вол."
ДААРК-142-1-120,"Метрична книга. Успенська церква, с. Старий Крим Феодосійського пов. Салинської вол."
ДААРК-306-1-3,"Метрична книга. Покровська церква, с. Судак Феодосійського пов. Таракташської вол."
ДААРК-306-1-4,"Метрична книга. Покровська церква, с. Судак Феодосійського пов. Таракташської вол."
ДААРК-142-1-52,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-5,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-6,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-7,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-8,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-9,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-10,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-13,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-14,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-15,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-16,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-17,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-19,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-20,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-21,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-22,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-23,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-3-31,"Метрична книга. Благочинний 13-ї піхотної дивізії Свято-Миколаївської церкви 52-го Віленського полку, м. Феодосія"
ДААРК-142-1-311,"Метрична книга. Архангело-Михайлівська церква, с-ще Алупка Ялтинського пов. Дерекойської вол."
ДААРК-142-1-372,"Метрична книга. Архангело-Михайлівська церква, с-ще Алупка Ялтинського пов. Дерекойської вол."
ДААРК-142-1-463,"Метрична книга. Архангело-Михайлівська церква, с-ще Алупка Ялтинського пов. Дерекойської вол."
ДААРК-142-1-489,"Метрична книга. Архангело-Михайлівська церква, с-ще Алупка Ялтинського пов. Дерекойської вол."
ДААРК-142-1-542,"Метрична книга. Архангело-Михайлівська церква, с-ще Алупка Ялтинського пов. Дерекойської вол."
ДААРК-142-1-802,"Метрична книга. Архангело-Михайлівська церква, с-ще Алупка Ялтинського пов. Дерекойської вол."
ДААРК-142-1-487,"Метрична книга. Феодоро-Стратилатівська церква, з 1902 р. м. Алушта Ялтинського пов. Алуштинської вол."
ДААРК-142-1-543,"Метрична книга. Феодоро-Стратилатівська церква, з 1902 р. м. Алушта Ялтинського пов. Алуштинської вол."
ДААРК-142-1-576,"Метрична книга. Феодоро-Стратилатівська церква, з 1902 р. м. Алушта Ялтинського пов. Алуштинської вол."
ДААРК-142-1-703,"Метрична книга. Феодоро-Стратилатівська церква, з 1902 р. м. Алушта Ялтинського пов. Алуштинської вол."
ДААРК-142-1-704,"Метрична книга. Успенська церква, с. Аутка Сімферопольського, з 1838 р. Ялтинського пов. Дерекойської вол."
ДААРК-142-1-800,"Метрична книга. Успенська церква, с. Аутка Сімферопольського, з 1838 р. Ялтинського пов. Дерекойської вол."
ДААРК-142-1-801,"Метрична книга. Успенська церква, с. Гурзуф Ялтинського пов. Дерекойської вол."
ДААРК-142-1-17,"Метрична книга. Свято-Троїцька церква, с. Кадиківка Сімферопольського, 1838 р. Ялтинського пов. Балаклавського округу"
ДААРК-142-1-373,"Метрична книга. Вознесенська церква, маєток Карасан Ялтинського пов. Дерекойської вол."
ДААРК-142-1-541,"Метрична книга. Вознесенська церква, маєток Карасан Ялтинського пов. Дерекойської вол."
ДААРК-142-1-876,"Метрична книга. Вознесенська церква, маєток Карасан Ялтинського пов. Дерекойської вол."
ДААРК-142-1-464,"Метрична книга. Вознесенська церква, с. Кореїз Сімферопольського, з 1838 р. Ялтинського пов. Дерекойської вол."
ДААРК-142-1-544,"Метрична книга. Церква Святого Євангеліста Луки, с. Лакі Сімферопольського, з 1838 р. Ялтинського пов. Багатирської вол."
ДААРК-142-1-374,"Метрична книга. Покровська церква, с. Ореанда Ялтинського пов."
ДААРК-142-1-702,"Метрична книга. Воскресенська церква Архієрейського подвір’я, м. Ялта"
ДААРК-142-1-58,"Метрична книга. Іоанно-Златоустівський собор, м. Ялта"
ДААРК-142-1-540,"Метрична книга. Іоанно-Златоустівський собор, м. Ялта"
ДААРК-142-1-799,"Метрична книга. Іоанно-Златоустівський собор, м. Ялта"
ДААРК-142-1-334,"Метрична книга. Церква Успіння Божої Матері, соборна, м-ко Єнікале, м. Керч"
ДААРК-142-1-7,"Метрична книга. Іоанно-Предтеченська (грецька) церква, м. Керч Міжархівний довідник"
ДААРК-142-1-313,"Метрична книга. Іоанно-Предтеченська (грецька) церква, м. Керч Міжархівний довідник"
ДААРК-142-1-408,"Метрична книга. Іоанно-Предтеченська (грецька) церква, м. Керч Міжархівний довідник"
ДААРК-142-1-204,"Метрична книга. Олександро-Невська церква, м. Керч"
ДААРК-142-1-707,"Метрична книга. Покровська Братська церква, (при Троїцькому Братстві), м. Керч"
ДААРК-142-1-5,"Метрична книга. Троїцький собор, м. Керч"
ДААРК-142-1-6,"Метрична книга. Троїцький собор, м. Керч"
ДААРК-142-1-9,"Метрична книга. Троїцький собор, м. Керч"
ДААРК-142-1-13,"Метрична книга. Троїцький собор, м. Керч"
ДААРК-142-1-405,"Метрична книга. Троїцький собор, м. Керч"
