full_code,db_before,catalog
ДААРК-142-1-500,1901-1901,"1901-1901,1903-1903"
ДААРК-142-1-103,1880-1880,"1852-1852,1880-1880"
ДААРК-142-1-505,1901-1901,"1901-1901,1903-1903"
ДААРК-142-1-716,1908-1908,1907-1908
ДААРК-142-1-123,1881-1881,"1855-1855,1881-1881"
ДААРК-142-1-139,1882-1882,"1857-1857,1882-1882"
ДААРК-142-1-166,1884-1884,"1861-1861,1884-1884"
ДААРК-306-1-4,1860-1869,1860-1870
ДААРК-142-1-543,1902-1902,"1902-1902,1912-1912"
ДААРК-142-1-17,1863-1864,"1813-1813,1863-1864"
ДААРК-305-1-2,1835-1840,1834-1840
ДААРК-142-1-1077,1919-1920,1918-1920
ДААРК-288-1-5,1857-1864,1857-1865
ДААРК-324-1-694,1861-1861,"1847-1847,1861-1861"
ДААРК-324-1-197,1852-1852,"1850-1850,1852-1852"
ДААРК-319-1-296,1857-1857,"1842-1842,1857-1857"
ДААРК-293-1-20,1847-1847,"1834-1834,1847-1847"
ДААРК-293-1-377,1853-1853,"1853-1853,1857-1857"
ДААРК-142-1-4,1872-1875,"1872-1875,1907-1907"
ДААРК-142-1-78,1879-1881,1879-1884
ДААРК-142-1-198,1885-1892,"1885-1892,1896-1898"
ДААРК-142-1-127,1882-1887,"1876-1877,1882-1883,1901-1902"
ДААРК-142-1-162,1884-1884,"1883-1884,1893-1893,1897-1897,1909-1909"
ДААРК-142-1-42,1864-1864,"1855-1855,1864-1864"
ДААРК-142-1-281,1890-1893,"1877-1877,1890-1891,1893-1893"
ДААРК-142-1-67,1878-1879,"1864-1864,1878-1879"
ДААРК-142-1-19,1868-1870,"1864-1864,1868-1870,1901-1901"
ДААРК-142-1-46,1869-1870,"1869-1869,1883-1883"
ДААРК-142-1-480,1900-1900,"1900-1900,1902-1903"
ДААРК-142-1-533,1902-1903,1902-1904
ДААРК-142-1-599,1904-1904,1904-1905
ДААРК-142-1-664,1906-1906,1906-1907
ДААРК-142-1-45,1869-1870,1869-1871
ДААРК-142-1-57,1869-1872,"1863-1865,1867-1867,1869-1874"
ДААРК-142-2-7,1904-1911,1904-1912
