archive,code,fond,inventory,file,title,tags,years
ДАЧгО,679-4-2521,679,4,2521,"Метрична книга. Церква в ім’я Св. Трійці Святотроїцького Козелецького монастиря, м. Ко­зелець Козелецької сотні",метрична книга|народження,1773-1773
ДАЧгО,679-16-17,679,16,17,"Метрична книга. Церква в ім’я Вознесіння Господнього, м-ко Басань Басанської сотні",метрична книга|народження|шлюб|розлучення,1770-1792
ДАЧгО,679-4-6271,679,4,6271,"Метрична книга. Церква в ім’я Здвиження Чесного й Животворящого Хреста Господнього, с. Березівка Бакланської сотні",метрична книга|розлучення,
ДАЧгО,679-1-3231,679,1,3231,"Метрична книга. Церква в ім’я Покрови Богородиці, с. Високе Погарської сотні",метрична книга|шлюб,1775-1775
ДАЧгО,679-1-325А,679,1,325А,"Метрична книга. Церква в ім’я Покрови Богородиці, с. Високе Погарської сотні",метрична книга|шлюб,1778-1778
ДАЧгО,679-1-327А,679,1,327А,"Метрична книга. Церква в ім’я Покрови Богородиці, с. Високе Погарської сотні",метрична книга|шлюб,1779-1779
ДАЧгО,679-1-4041,679,1,4041,"Метрична книга. Церква в ім’я Різдва Богородиці Домницького монастиря, с. Домниця Березнянської сотні",метрична книга|народження,1754-1754
ДАЧгО,679-1-4052,679,1,4052,"Метрична книга. Церква в ім’я Різдва Богородиці Домницького монастиря, с. Домниця Березнянської сотні",метрична книга|народження,1761-1761
ДАЧгО,679-1-407А,679,1,407А,"Метрична книга. Церква в ім’я Різдва Богородиці Домницького монастиря, с. Домниця Березнянської сотні",метрична книга|народження,1772-1772
ДАЧгО,679-1-3991,679,1,3991,"Метрична книга. Церква в ім’я Успіння Богородиці Чернігівського Єлецького монастиря, м. Чернігів Чернігівської сотні",метрична книга|народження,1739-1739
ДАЧгО,679-1-4002,679,1,4002,"Метрична книга. Церква в ім’я Успіння Богородиці Чернігівського Єлецького монастиря, м. Чернігів Чернігівської сотні",метрична книга|народження,1740-1740
ДАЧгО,679-16-18,679,16,18,"10. 1. Київське намісництво 2. Київська єпархія 3. Церква в ім’я Архістратига Ми. Церква в ім’я Святителя та Чудотворця Миколая, м-ко Літки Остерського повіту",,1794-1796
ДАЧгО,712-1-177,712,1,177,"Метрична книга. Церква в ім’я Різдва Богородиці, с. Валуєць Погарського повіту",метрична книга|народження,1791-1791
ДАЧгО,712-1-2311,712,1,2311,"Метрична книга. Церква в ім’я Св. Трійці, с. Горчаки Стародубського повіту",метрична книга|розлучення,1788-1788
ДАЧгО,712-1-2061,712,1,2061,"Метрична книга. Церква в ім’я Успіння Богородиці Новомлинського дівочого монастиря, с. Нові Млини Коропського повіту",метрична книга|народження,1796-1796
ДАЧгО,712-1-119,712,1,119,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Шаулин Мглинського повіту",метрична книга|розлучення,1788-1788
ДАЧгО,679-1-119А,679,1,119А,"Метрична книга. Церква в ім’я Св. Великомученика Георгія Побідоносця, с. Шумарове Мглин­ського повіту",метрична книга|шлюб|розлучення,1791-1791
ДАЧгО,1462-1-5788,1462,1,5788,"Метрична книга. Церква в ім’я Св. Трійці, с. Блотниця Роменського повіту",метрична книга|народження,1784-1784
ДАЧгО,679-1-15331,679,1,15331,"Метрична книга. Церква в ім’я Успіння Богородиці, с. Кропивне Конотопського повіту",метрична книга|народження,1784-1784
ДАЧгО,679-18-187,679,18,187,"Метрична книга. Церква в ім’я Св. Апостола та Євангеліста Іоанна Богослова, с. Лосинівка Ні­жинського повіту",метрична книга|народження|шлюб|розлучення,1782-1785
ДАЧгО,679-18-378,679,18,378,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Плоске Ніжинського повіту",метрична книга|народження|шлюб|розлучення,1782-1782
ДАЧгО,679-18-379,679,18,379,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Плоске Ніжинського повіту",метрична книга|народження|шлюб|розлучення,1783-1788
ДАЧгО,679-18-2,679,18,2,"Метрична книга. Церква в ім’я Св. Трійці, с. Андріївка Ніжинського повіту",метрична книга|розлучення,1789-1796
ДАЧгО,679-1-1785,679,1,1785,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Дорогинка Ніжинського повіту",метрична книга|розлучення,1785-1785
ДАЧгО,679-18-188,679,18,188,"Метрична книга. Церква в ім’я Св. Апостола та Євангеліста Іоанна Богослова, с. Лосинівка Ніжинського повіту",метрична книга|народження|шлюб|розлучення,1786-1796
ДАЧгО,1530-2-742,1530,2,742,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Маціївка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1785-1796
ДАЧгО,1530-4-368,1530,4,368,"Метрична книга. Церква в ім’я Преображення Господнього, с. Пашківка Ніжинського повіту",метрична книга|народження|шлюб|розлучення,1785-1796
ДАЧгО,679-18-380,679,18,380,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Плоске Ніжинського повіту",метрична книга|народження,1789-1794
ДАЧгО,679-18-381,679,18,381,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Плоске Ніжинського повіту",метрична книга|народження|шлюб|розлучення,1795-1796
ДАЧгО,1462-1-6844,1462,1,6844,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколи, с. Сорочинці Прилуцького повіту",метрична книга|народження,1793-1793
ДАЧгО,1462-1-6035,1462,1,6035,"Метрична книга. Церква в ім’я Покрови Богородиці, с. Товкачівка Прилуцького повіту",метрична книга|народження,1792-1793
ДАЧгО,679-18-205,679,18,205,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Козацьке Козелецького повіту",метрична книга|народження|шлюб|розлучення,1799-1811
ДАЧгО,679-1-15371,679,1,15371,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Глибів Козелецького повіту",метрична книга|розлучення,1798-1798
ДАЧгО,1530-2-526,1530,2,526,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Дубовий Гай Пирятинського повіту",метрична книга|народження|шлюб|розлучення,"1798-1812,1827-1828"
ДАЧгО,1462-1-6281,1462,1,6281,"Метрична книга. Церква в ім’я Різдва Богородиці, м-ко Варва Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1798-1798
ДАЧгО,679-18-90,679,18,90,"Метрична книга. Церква в ім’я Богоявління Господнього, с. Володькова Дівиця Ніжинського повіту",метрична книга|народження|шлюб|розлучення,1797-1801
ДАЧгО,1462-1-6845,1462,1,6845,"Метрична книга. Церква в ім’я Покрови Богородиці, с. Гмирянка Прилуцького повіту",метрична книга|народження,1798-1798
ДАЧгО,1462-1-7773,1462,1,7773,"Метрична книга. Церква в ім’я Св. Трійці, с. Держанівка Козелецького повіту",метрична книга|розлучення,1798-1798
ДАЧгО,1462-1-7080,1462,1,7080,"Метрична книга. Церква в ім’я Св. Великомучениці Параскеви, с. Дідівці Прилуць­кого повіту",метрична книга|розлучення,
ДАЧгО,679-18-189,679,18,189,"Метрична книга. Церква в ім’я Св. Апостола та Євангеліста Іоанна Богослова, с. Лоси­нівка Ніжинського повіту",метрична книга|народження|шлюб|розлучення,1797-1801
