full_code,tags
ДАЧгО-679-1-301,метрична книга|народження
ДАЧгО-679-1-1520,метрична книга|народження
ДАЧгО-679-1-1521,метрична книга|народження
ДАЧгО-679-4-244,метрична книга|народження
ДАЧгО-679-13-6,метрична книга|народження
ДАЧгО-679-1-819,метрична книга|народження
ДАЧгО-679-1-1075,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-4-166,метрична книга|розлучення
ДАЧгО-679-13-8,метрична книга|розлучення
ДАЧгО-679-1-462,метрична книга|розлучення
ДАЧгО-679-4-345,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-1-399,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-1-400,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-1-426,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-1-427,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-1-401,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-1-429,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-1-402,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-4-226,метрична книга|народження|розлучення
ДАЧгО-679-1-74,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-4-572,метрична книга|народження
ДАЧгО-679-4-224,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-1-1525,метрична книга|народження|розлучення
ДАЧгО-1462-1-9939,метрична книга|народження
ДАЧгО-679-1-1535,метрична книга|народження
ДАЧгО-712-1-213,метрична книга|народження
ДАЧгО-679-1-1526,метрична книга|народження
ДАЧгО-679-1-1524,метрична книга|шлюб
ДАЧгО-679-1-1533,метрична книга|народження|розлучення
ДАЧгО-679-4-45,метрична книга|народження|розлучення
ДАЧгО-679-1-1608,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-1-25,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-1-1516,метрична книга|розлучення
ДАЧгО-679-1-304,метрична книга|народження
ДАЧгО-679-1-350,метрична книга|народження
ДАЧгО-679-1-351,метрична книга|народження
ДАЧгО-679-1-353,метрична книга|народження
ДАЧгО-679-1-302,метрична книга|шлюб
ДАЧгО-679-16-41,метрична книга|народження|шлюб|розлучення
ДАЧгО-679-12-185,метрична книга|розлучення
ДАЧгО-1462-1-6787,метрична книга|розлучення
ДАЧгО-1462-1-7047,метрична книга|народження
ДАЧгО-1462-1-9567,метрична книга|народження|шлюб|розлучення
ДАЧгО-1462-1-9581,метрична книга|розлучення
ДАЧгО-1462-1-9582,метрична книга|розлучення
