full_code,title
ДАЧгО-679-1-74,"Метрична книга. Церква в ім’я Св. Трійці, с. Сираї Козелецької сотні"
ДАЧгО-1462-1-9939,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Кулажинці 1-ї Пирятинської сотні"
ДАЧгО-679-1-1608,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Баба Сосницького повіту"
ДАЧгО-679-1-1516,"Метрична книга. Церква в ім’я Покрови Богородиці, с. Землянка Глухівської сотні"
ДАЧгО-1462-1-9567,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Козацьке Басанської сотні"
ДАЧгО-1462-1-9581,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Козацьке Басанської сотні"
ДАЧгО-1462-1-9582,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Козацьке Басанської сотні"
ДАЧгО-1462-1-11498,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, м. Нові Санжари Новосанжарської сотні"
ДАЧгО-1462-1-11499,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, м. Нові Санжари Новосанжарської сотні"
ДАЧгО-1462-1-11500,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, м. Нові Санжари Новосанжарської сотні"
ДАЧгО-1462-1-11501,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, м. Нові Санжари Новосанжарської сотні"
ДАЧгО-1462-1-11502,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, м. Нові Санжари Новосанжарської сотні"
ДАЧгО-1462-1-11503,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, м. Нові Санжари Новосанжарської сотні"
ДАЧгО-1462-1-11504,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, м. Нові Санжари Новосанжарської сотні"
ДАЧгО-1462-1-11505,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, м. Нові Санжари Новосанжарської сотні"
ДАЧгО-1462-1-11506,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, м. Нові Санжари Новосанжарської сотні"
ДАЧгО-1462-1-11507,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, м. Нові Санжари Новосанжарської сотні"
ДАЧгО-1462-1-11508,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, м. Нові Санжари Новосанжарської сотні"
ДАЧгО-1462-1-6847,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Городня Іваницької сотні"
ДАЧгО-1462-1-6848,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Городня Іваницької сотні"
ДАЧгО-1462-1-6849,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Городня Іваницької сотні"
ДАЧгО-1462-1-9475,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Колісники полкової сотні"
ДАЧгО-1462-1-9476,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Колісники полкової сотні"
ДАЧгО-1462-1-9477,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Колісники полкової сотні"
ДАЧгО-1462-1-9478,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Колісники полкової сотні"
ДАЧгО-1462-1-9479,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Колісники полкової сотні"
ДАЧгО-1462-1-9480,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Колісники полкової сотні"
ДАЧгО-1462-1-9481,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Колісники полкової сотні"
ДАЧгО-1462-1-9482,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Колісники полкової сотні"
ДАЧгО-1462-1-9483,"Метрична книга. Церква в ім’я Святителя та Чудотворця Миколая, с. Колісники полкової сотні"
