full_code,db_before,catalog
ДАЧгО-679-1-349,1763-1766,"1748-1748,1766-1766"
ДАЧгО-679-1-121,1785-1785,"1739-1739,1785-1785"
ДАЧгО-679-1-415,1775-1780,"1762-1762,1775-1775,1780-1780"
ДАЧгО-679-1-268,1784-1784,"1782-1782,1784-1784"
ДАЧгО-1462-1-14543,1844-1844,"1798-1798,1844-1844"
ДАЧгО-1462-1-15461,1803-1803,1803-1804
ДАЧгО-1530-7-10,1880-1885,1879-1885
ДАЧгО-1462-1-8817,1858-1858,1858-1859
ДАЧгО-1462-1-8939,1847-1847,1847-1848
ДАЧгО-1462-1-9237,1845-1845,1845-1846
ДАЧгО-1462-1-9646,1849-1849,"1849-1849,1851-1851"
ДАЧгО-1462-1-10123,1852-1852,1852-1853
ДАЧгО-1530-7-66,1851-1870,"1850-1853,1855-1855,1857-1857,1864-1872"
ДАЧгО-1462-1-11408,1819-1819,1819-1820
ДАЧгО-1462-1-11438,1850-1850,1850-1851
ДАЧгО-1462-1-11531,1807-1807,1807-1808
ДАЧгО-1462-1-13163,1856-1856,1856-1857
ДАЧгО-1462-1-14499,1854-1854,1854-1855
ДАЧгО-1462-1-14831,1857-1857,1857-1858
ДАЧгО-1462-1-15086,1809-1809,1809-1810
ДАЧгО-1462-1-15462,1806-1806,1805-1806
ДАЧгО-679-1-132,1838-1838,"1836-1836,1838-1838"
ДАЧгО-679-1-133,1839-1839,"1836-1836,1839-1839"
ДАЧгО-679-1-18,1839-1839,"1836-1836,1839-1839,1842-1842"
ДАЧгО-679-1-298,1842-1842,"1842-1842,1876-1876"
ДАЧгО-679-1-559,1834-1834,"1834-1834,1839-1839"
ДАЧгО-679-10-679,1902-1902,1901-1902
ДАЧгО-679-1-180,1820-1845,"1820-1820,1839-1839,1847-1847,1850-1850"
ДАЧгО-679-1-134,1840-1840,"1810-1810,1836-1836,1840-1840"
ДАЧгО-679-1-116,1843-1847,"1841-1843,1847-1847"
ДАЧгО-679-5-42,1822-1831,1822-1832
ДАЧгО-679-10-630,1892-1893,"1892-1892,1894-1894"
ДАЧгО-679-6-28,1864-1874,1864-1875
ДАЧгО-679-1-277,1819-1834,1815-1834
ДАЧгО-679-1-189,1832-1846,1832-1853
ДАЧгО-679-5-94,1864-1866,1856-1866
ДАЧгО-679-10-3007,1899-1902,1896-1902
ДАЧгО-Р8994-1-74,1928-1928,"1928-1928,1930-1931"
ДАЧгО-Р69-1-526,1925-1925,"1925-1925,1929-1929"
ДАЧгО-Р72-1-221,1927-1927,"1925-1925,1927-1927"
ДАЧгО-Р69-1-457,1927-1927,"1927-1927,1929-1929"
ДАЧгО-Р72-1-231,1928-1928,1925-1928
ДАЧгО-Р69-1-459,1925-1925,"1925-1925,1929-1929"
ДАЧгО-Р69-1-485,1927-1927,"1925-1925,1927-1927,1929-1929"
ДАЧгО-Р69-1-464,1925-1925,"1925-1925,1929-1929"
ДАЧгО-Р69-1-466,1925-1925,"1925-1925,1929-1929"
ДАЧгО-1530-6-49,1874-1874,"1855-1855,1874-1874"
ДАЧгО-1530-6-50,1874-1874,"1858-1858,1860-1860,1874-1874"
ДАЧгО-679-10-3589,1872-1884,"1870-1870,1872-1872,1879-1879,1884-1884"
ДАЧгО-679-10-3590,1873-1884,"1870-1870,1873-1873,1877-1877,1879-1879,1884-1884"
