archive,code,fond,inventory,file,title,tags,years
ДАЧкО,562-1-5,562,1,5,"Метрична книга. Покровська церква, с. Адамівка Чигиринського пов. Рацівської вол.",метрична книга|народження|шлюб|смерть,1831-1831
ДАЧкО,599-1-5,599,1,5,"Метрична книга. Різдво-Богородицька церква, с. Березняки Черкаського пов. Шелепухської вол.",метрична книга|народження|шлюб|смерть,1796-1796
ДАЧкО,931-1-2446,931,1,2446,"Метрична книга. Димитріївська церква, с. Беринка Уманського пов. Шаулихської вол.",метрична книга|народження|шлюб|смерть,"1885-1894,1905-1906"
ДАЧкО,931-2-3914,931,2,3914,"Метрична книга. Успенська церква, с. Бузуків Черкаського пов. Вергунівської вол.",метрична книга|смерть,1906-1907
ДАЧкО,Р5899-24-24,Р5899,24,24,"Метрична книга. Покровська церква, с. Веселий Кут Чигиринського пов. Златопільської вол.",метрична книга|шлюб,1919-1920
ДАЧкО,445-1-3,445,1,3,"Метрична книга. Миколаївська церква, с. Вікнине Звенигородського пов. Стецівської вол.",метрична книга|народження|шлюб|смерть,1833-1833
ДАЧкО,931-1-2295,931,1,2295,"Метрична книга. Успенська церква, с. Голяківка Уманського пов. Оратівської вол.",метрична книга|шлюб,"1873-1873,1939-1939"
ДАЧкО,931-1-3269,931,1,3269,"Метрична книга. Михайлівська церква, м-ко Городище Черкаського пов. Городищенської вол.",метрична книга|народження|шлюб|смерть,1880-1883
ДАЧкО,931-1-5841А,931,1,5841А,"Метрична книга. Миколаївська церква, с. Деренковець Черкаського пов. Деренковецької вол.",метрична книга|народження,1902-1902
ДАЧкО,448-2-1,448,2,1,"Метрична книга. Параскевіївська церква, с. Журавка Звенигородського пов. Пединівської вол.",метрична книга|народження|шлюб|смерть,"1799-1799,1807-1807"
ДАЧкО,152-14-581,152,14,581,"Метрична книга. Димитріївська церква, с. Іскрене Звенигородського пов. Стецівської вол.",метрична книга|шлюб,1898-1898
ДАЧкО,152-14-623А,152,14,623А,"Метрична книга. Димитріївська церква, с. Іскрене Звенигородського пов. Стецівської вол.",метрична книга|шлюб,1902-1902
ДАЧкО,552-1-8,552,1,8,"Метрична книга. Покровська церква, с. Куликівка Чигиринського пов. Головківської вол.",метрична книга|народження,"1813-1813,1821-1821,1823-1824"
ДАЧкО,552-1-6,552,1,6,"Метрична книга. Покровська церква, с. Куликівка Чигиринського пов. Головківської вол.",метрична книга|народження,"1815-1815,1817-1817,1819-1820"
ДАЧкО,552-1-7,552,1,7,"Метрична книга. Покровська церква, с. Куликівка Чигиринського пов. Головківської вол.",метрична книга|народження,1818-1818
ДАЧкО,552-1-9,552,1,9,"Метрична книга. Покровська церква, с. Куликівка Чигиринського пов. Головківської вол.",метрична книга|народження,1826-1827
ДАЧкО,552-1-10,552,1,10,"Метрична книга. Покровська церква, с. Куликівка Чигиринського пов. Головківської вол.",метрична книга|народження,1829-1829
ДАЧкО,552-1-11,552,1,11,"Метрична книга. Покровська церква, с. Куликівка Чигиринського пов. Головківської вол.",метрична книга|народження,"1830-1830,1832-1833"
ДАЧкО,93-1-4064,93,1,4064,"Метрична книга. Різдво-Богородицька церква, с. Куцівка Черкаського пов. Матусівської вол.",метрична книга|народження,1908-1908
ДАЧкО,931-2-4349,931,2,4349,"Метрична книга. 2-а Миколаївська церква, с. Леськи Черкаського пов. Леськівської вол.",метрична книга|смерть,1916-1916
ДАЧкО,227-1-6,227,1,6,"Метрична книга. Різдво-Богородицька церква, м-ко Межиріч Черкаського пов. Межиріцької вол.",метрична книга|народження|шлюб|смерть,1841-1848
ДАЧкО,588-1-1,588,1,1,"Метрична книга. Успенська церква, с. Мордва Чигиринського пов. Трушівської вол.",метрична книга|народження,"1852-1852,1864-1864"
ДАЧкО,931-1-4356,931,1,4356,"Метрична книга. Преображенська церква, м-ко Мошни Черкаського пов. Мошнівської вол.",метрична книга|народження|шлюб,"1916-1916,1919-1920"
ДАЧкО,931-2-38,931,2,38,"Метрична книга. Покровська церква, с. Озірна Звенигородського пов. Неморозької вол.",метрична книга|народження|шлюб|смерть,"1895-1896,1918-1919,1921-1921"
ДАЧкО,Р5899-24-129,Р5899,24,129,"Метрична книга. Покровська церква, с. Товмач Звенигородського пов. Мокрокалигірської вол.",метрична книга|народження,1919-1919
ДАЧкО,91-1-3623,91,1,3623,"Метрична книга. Михайлівська церква, с. Хлистунівка Черкаського пов. Хлистунівської вол.",метрична книга|шлюб,1893-1893
ДАЧкО,91-1-3435,91,1,3435,"Метрична книга. Покровська церква, с. Хмільна Черкаського пов. Межиріцької вол.",метрична книга|шлюб|смерть,1891-1891
ДАЧкО,Р5899-21-233,Р5899,21,233,"Метрична книга. Михайлівська церква, с. Худяки Черкаського пов. Худяківської вол.",метрична книга|народження,1919-1919
ДАЧкО,Р5899-21-238,Р5899,21,238,"Метрична книга. Михайлівська церква, с. Худяки Черкаського пов. Худяківської вол.",метрична книга|смерть,1919-1920
ДАЧкО,240-1-13,240,1,13,"Метрична книга. Соборно-Миколаївська церква, м. Черкаси Черкаського пов.",метрична книга|смерть,"1857-1857,1862-1862"
ДАЧкО,93-1-4162,93,1,4162,"Метрична книга. Троїцька церква, м. Черкаси Черкаського пов.",метрична книга|народження|шлюб|смерть,1910-1910
ДАЧкО,152-47-187,152,47,187,"Метрична книга. Троїцька церква, м-ко Шпола Звенигородського пов. Шполянської вол.",метрична книга|смерть,1880-1881
ДАЧкО,Р5899-24-135,Р5899,24,135,"Метрична книга. Преображенська церква, с. Ярославка Звенигородського пов. Мокрокалигірської вол.",метрична книга|шлюб,1905-1918
ДАЧкО,931-1-1083,931,1,1083,"Метрична книга. Миколаївська церква, с. Васютинці Золотоніського пов. Васютинської вол.",метрична книга|народження|шлюб|смерть,1887-1893
ДАЧкО,403-1-6,403,1,6,"Метрична книга. Предтече-Усекновенська церква, с. Воронинці Золотоніського пов. Мельниківської вол.",метрична книга|народження|шлюб,1839-1859
ДАЧкО,403-1-3,403,1,3,"Метрична книга. Миколаївська церква, с. Митлашівка Золотоніського пов. Білоусівської вол.",метрична книга|шлюб,1857-1869
ДАЧкО,931-1-1329,931,1,1329,"Метрична книга. Миколаївська церква, с. Свічківка Пирятинського пов.",метрична книга|народження|шлюб|смерть,1875-1878
ДАЧкО,931-1-994,931,1,994,"Метрична книга. Іоанно-Предтечівська церква, с. Хрестителеве Золотоніського пов. Богодухівської вол.",метрична книга|народження|шлюб|смерть,"1877-1878,1881-1881,1884-1884"
ДАЧкО,403-6-5,403,6,5,"Метрична книга. Іоанівська церква, с. Чорнобай Золотоніського пов. Чорнобаївської вол.",метрична книга|народження|шлюб|смерть,1835-1847
ДАЧкО,403-6-6,403,6,6,"Метрична книга. Іоанівська церква, с. Чорнобай Золотоніського пов. Чорнобаївської вол.",метрична книга|народження|шлюб|смерть,1848-1856
