full_code,tags
ДАЧкО-931-1-2195,метрична книга|народження|шлюб|смерть
ДАЧкО-562-1-2,метрична книга|народження|шлюб|смерть
ДАЧкО-562-1-3,метрична книга|народження|шлюб|смерть
ДАЧкО-562-1-8,метрична книга|народження|шлюб|смерть
ДАЧкО-562-1-13,метрична книга|народження|шлюб|смерть
ДАЧкО-562-1-15,метрична книга|народження|шлюб|смерть
ДАЧкО-562-1-20,метрична книга|народження|шлюб|смерть
ДАЧкО-562-1-11,метрична книга|шлюб
ДАЧкО-562-1-16,метрична книга|смерть
ДАЧкО-644-1-1,метрична книга|народження|шлюб|смерть
ДАЧкО-152-1-2,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-95,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-318,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-335,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-538,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-698,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-699,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-815,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-816,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-178,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2455,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2449,метрична книга|народження
ДАЧкО-931-1-2464,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-238,метрична книга|народження|шлюб|смерть
ДАЧкО-931-2-238,метрична книга|шлюб|смерть
ДАЧкО-931-1-2470,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-240,метрична книга|народження
ДАЧкО-931-2-240,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2780,метрична книга|народження|шлюб
ДАЧкО-931-1-3083,метрична книга|народження
ДАЧкО-931-1-3142,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3355,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3408,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3376,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3435,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3580,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3631,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3709,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3910,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3941,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3837,метрична книга|народження|шлюб|смерть
