full_code,title
ДАЧкО-931-2-309,"Метрична книга. Михайлівська церква, с. Босівка Уманського пов. Верхняцької вол."
ДАЧкО-931-2-280,"Метрична книга. Параскевіївська церква, с. Війтівка Уманського пов. Уманської вол."
ДАЧкО-931-2-315,"Метрична книга. Успенська церква, с. Голяківка Уманського пов. Оратівської вол."
ДАЧкО-660-1-86,"Метрична книга. Іоанно-Богословська церква, с. Журавка Чигиринського пов. Лебединської вол."
ДАЧкО-931-1-419,"Метрична книга. Покровська церква, с. Кам'януватка Звенигородського пов. Стецівської вол."
ДАЧкО-931-2-266,"Метрична книга. Миколаївська церква, с. Паланка Уманського пов. Уманської вол."
ДАЧкО-931-2-295,"Метрична книга. Іоанно-Богославська церква, с. Текуча Уманського пов. Ладижинської вол."
ДАЧкО-931-2-96,"Метрична книга. Покровська церква, с. Хмільна Черкаського пов. Межиріцької вол."
ДАЧкО-931-2-406,"Метрична книга. Успенська церква, с. Цесарська (Царська) Слобода Черкаського пов. Леськівської вол."
ДАЧкО-931-2-392,"Метрична книга. Різдво-Богородицька церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-393,"Метрична книга. Різдво-Богородицька церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-394,"Метрична книга. Різдво-Богородицька церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-405,"Метрична книга. Різдво-Богородицька церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-395,"Метрична книга. Різдво-Богородицька церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-396,"Метрична книга. Різдво-Богородицька церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-397,"Метрична книга. Різдво-Богородицька церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-398,"Метрична книга. Різдво-Богородицька церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-399,"Метрична книга. Різдво-Богородицька церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-377,"Метрична книга. Соборно-Миколаївська церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-378,"Метрична книга. Соборно-Миколаївська церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-379,"Метрична книга. Соборно-Миколаївська церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-380,"Метрична книга. Соборно-Миколаївська церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-381,"Метрична книга. Соборно-Миколаївська церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-382,"Метрична книга. Соборно-Миколаївська церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-383,"Метрична книга. Соборно-Миколаївська церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-384,"Метрична книга. Соборно-Миколаївська церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-385,"Метрична книга. Соборно-Миколаївська церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-386,"Метрична книга. Соборно-Миколаївська церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-387,"Метрична книга. Соборно-Миколаївська церква, м. Черкаси Черкаського пов."
ДАЧкО-931-2-388,"Метрична книга. Соборно-Миколаївська церква, м. Черкаси Черкаського пов."
