full_code,db_before,catalog
ДАЧкО-562-1-11,1846-1859,1846-1867
ДАЧкО-931-1-815,1911-1914,1911-1916
ДАЧкО-931-1-2780,1917-1917,"1913-1913,1917-1917"
ДАЧкО-931-1-3083,1867-1875,1867-1880
ДАЧкО-931-1-3837,1901-1915,"1901-1902,1904-1905,1909-1909,1911-1911,1915-1916"
ДАЧкО-931-1-4207,1912-1918,"1912-1913,1915-1919"
ДАЧкО-931-1-3413,1886-1888,"1885-1888,1902-1902,1905-1905"
ДАЧкО-931-1-3178,1876-1879,1875-1879
ДАЧкО-931-1-3866,1902-1903,"1902-1903,1906-1906"
ДАЧкО-575-1-3,1840-1840,1839-1842
ДАЧкО-660-1-1426,1841-1841,1840-1841
ДАЧкО-931-1-2243,1889-1899,"1886-1886,1888-1895,1897-1899"
ДАЧкО-931-1-2272,1900-1909,"1900-1901,1904-1914,1916-1917,1919-1919"
ДАЧкО-931-2-22,1905-1913,"1898-1911,1913-1918,1920-1920"
ДАЧкО-931-1-3796,1900-1905,"1900-1900,1904-1905,1907-1907,1910-1910,1912-1916"
ДАЧкО-157-1-5,1860-1870,1858-1870
ДАЧкО-931-2-69,1913-1920,"1912-1913,1916-1922"
ДАЧкО-931-1-2583,1905-1907,"1905-1907,1920-1920"
ДАЧкО-931-1-2632,1908-1908,1908-1911
ДАЧкО-931-1-3281,1884-1885,"1881-1881,1885-1885"
ДАЧкО-931-1-4209,1912-1912,1912-1914
ДАЧкО-931-1-3077,1867-1870,1865-1870
ДАЧкО-931-1-3944,1906-1906,1905-1906
ДАЧкО-931-1-4167,1912-1912,1911-1912
ДАЧкО-931-1-3762,1898-1898,"1898-1898,1914-1914"
ДАЧкО-931-2-71,1911-1919,"1911-1912,1914-1914,1916-1920"
ДАЧкО-612-1-3,1832-1835,"1832-1832,1835-1835,1837-1837"
ДАЧкО-931-1-2526,1897-1909,"1897-1909,1919-1919"
ДАЧкО-931-1-2093,1913-1918,1913-1919
ДАЧкО-931-1-3125,1873-1882,"1873-1873,1876-1878,1884-1884"
ДАЧкО-931-1-3359,1883-1912,"1883-1883,1900-1900,1904-1904,1911-1913"
ДАЧкО-931-1-4006,1909-1909,"1906-1906,1908-1909"
ДАЧкО-931-2-1,1917-1921,"1916-1918,1920-1921"
ДАЧкО-624-1-1,1794-1828,"1794-1795,1798-1800,1803-1803,1805-1805,1807-1809,1812-1815,1818-1819,1822-1822,1828-1828,1830-1830,1832-1833"
ДАЧкО-931-1-2210,1877-1877,"1875-1877,1880-1891"
ДАЧкО-931-1-2258,1902-1905,1892-1905
ДАЧкО-931-2-23,1908-1921,1906-1921
ДАЧкО-931-1-3146,1876-1880,1875-1880
ДАЧкО-931-1-3399,1904-1911,"1885-1896,1911-1911"
ДАЧкО-171-1-2,1799-1815,1799-1816
ДАЧкО-931-1-3433,1890-1920,"1886-1896,1905-1905,1918-1920"
ДАЧкО-171-1-18,1799-1811,1799-1816
ДАЧкО-171-1-3,1799-1815,1799-1821
ДАЧкО-931-1-60,1870-1872,1870-1882
ДАЧкО-931-2-3,1897-1919,"1897-1917,1921-1921"
ДАЧкО-931-1-2297,1843-1863,1843-1875
ДАЧкО-931-1-2387,1876-1896,"1876-1876,1899-1899"
ДАЧкО-931-1-2495,1908-1912,1892-1912
ДАЧкО-931-1-3071,1869-1874,"1864-1864,1874-1874"
ДАЧкО-931-1-3132,1875-1882,"1875-1875,1905-1905"
ДАЧкО-931-1-3307,1885-1885,1882-1885
ДАЧкО-558-1-16,1814-1814,"1807-1807,1815-1815"
ДАЧкО-931-1-2962,1911-1920,1910-1920
ДАЧкО-931-1-2890,1919-1920,"1880-1880,1919-1920"
ДАЧкО-165-1-1,1820-1824,1820-1839
ДАЧкО-931-1-2357,1868-1882,"1867-1874,1882-1882"
ДАЧкО-931-1-196,1879-1879,1877-1879
ДАЧкО-931-1-2213,1875-1888,"1875-1878,1880-1888,1890-1890"
ДАЧкО-581-1-2,1789-1832,"1789-1789,1794-1796,1801-1803,1805-1821,1823-1827,1829-1829,1831-1833,1835-1835,1837-1839"
ДАЧкО-581-1-12,1864-1866,"1848-1849,1854-1857,1859-1866"
ДАЧкО-581-1-14,1853-1867,"1853-1853,1868-1868"
ДАЧкО-931-1-3199,1877-1881,"1877-1884,1888-1888"
ДАЧкО-931-1-4127,1911-1912,1910-1912
ДАЧкО-931-1-4341,1916-1916,"1916-1916,1918-1918"
ДАЧкО-931-1-3348,1883-1891,1883-1892
ДАЧкО-931-1-3991,1906-1907,1905-1907
ДАЧкО-168-1-8,1845-1860,1845-1861
ДАЧкО-168-1-7,1848-1850,1845-1850
ДАЧкО-931-1-2505,1901-1904,"1894-1896,1904-1904,1906-1906"
ДАЧкО-931-1-2527,1903-1921,"1898-1898,1905-1905,1921-1921"
ДАЧкО-931-1-2777,1917-1917,1917-1918
ДАЧкО-931-1-2551,1904-1909,"1904-1912,1919-1919"
ДАЧкО-931-1-2693,1912-1914,1912-1915
ДАЧкО-169-1-2,1831-1844,1831-1846
ДАЧкО-169-1-4,1853-1860,1853-1861
ДАЧкО-931-1-3716,1898-1898,"1896-1896,1898-1899"
ДАЧкО-931-1-3947,1905-1909,"1905-1909,1921-1921"
ДАЧкО-931-1-4130,1913-1917,"1910-1910,1912-1914,1917-1917"
ДАЧкО-931-1-2222,1876-1885,"1875-1877,1880-1883,1885-1885"
ДАЧкО-931-1-3113,1876-1877,"1873-1873,1875-1877,1887-1887"
ДАЧкО-931-1-3499,1888-1889,"1888-1888,1890-1890"
ДАЧкО-931-1-3742,1897-1897,1897-1898
ДАЧкО-174-1-4,1807-1816,1807-1817
ДАЧкО-174-1-13,1828-1828,1827-1828
ДАЧкО-174-1-15,1836-1849,1836-1850
ДАЧкО-931-1-2368,1875-1881,1873-1881
ДАЧкО-931-1-2902,1892-1895,"1885-1885,1896-1896"
ДАЧкО-931-1-34,1864-1872,1862-1872
ДАЧкО-931-1-3072,1864-1868,"1864-1864,1871-1871"
ДАЧкО-931-1-3836,1908-1908,"1901-1901,1904-1904,1906-1908"
ДАЧкО-931-1-4024,1908-1908,1907-1908
ДАЧкО-931-1-4315,1915-1915,1915-1916
