archive,code,fond,inventory,file,title,tags,years
ДАЧвО,1245-9-176,1245,9,176,"Метрична книга. Церква Успіння Св. Богородиці, с. Берестя ІІ округу Хотинського пов.",метрична книга|народження|шлюб|смерть,1881-1912
ДАЧвО,1245-1-496,1245,1,496,"Метрична книга. Церква Св. Дмитрія, с. Бернове І округу Хотинського пов.",метрична книга|народження|шлюб|смерть,1880-1902
ДАЧвО,1245-9-177,1245,9,177,"Метрична книга. Церква Св. Дмитрія, с. Ванчиківці ІІ округу Хотинського пов.",метрична книга|народження|шлюб|смерть,"1901-1914,1920-1924"
ДАЧвО,1245-9-181,1245,9,181,"Метрична книга. Церква Св. Дмитрія, с. Динівці ІІ округу Хотинського пов.",метрична книга|народження|шлюб,"1897-1922,1926-1926,1930-1932"
ДАЧвО,605-1-1129,605,1,1129,"Метрична книга. Церква Воздвиження Св. Хреста, с. Нелипівці ІІІ округу Хотинського пов.",метрична книга|народження|шлюб|смерть,1859-1859
ДАЧвО,1245-9-243,1245,9,243,"Метрична книга. Церква Св. Архангелів Михаїла і Гавриїла, с. Слобода Раранче (нині с. Слобода) Хотинського пов.",метрична книга|народження,1901-1922
ДАЧвО,1245-9-251,1245,9,251,"Метрична книга. Церква Введення в Храм Пресвятої Богородиці, с. Тарасівці ІІ округу Хотинського пов.",метрична книга|народження|шлюб|смерть,"1906-1922,1931-1933"
ДАЧвО,605-1-1245,605,1,1245,"Метрична книга. Церква Св. Миколая, с. Толбуряни (нині с. Крутеньки) І округу Хотинського пов.",метрична книга|народження|шлюб|смерть,1869-1876
ДАЧвО,1245-9-264,1245,9,264,"Метрична книга. Церква Св. Архангела Михаїла, с. Форосна ІІ округу Хотинського пов.",метрична книга|народження|шлюб|смерть,1903-1925
ДАЧвО,1245-9-269,1245,9,269,"Метрична книга. Церква Св. Іллі, с. Щербинці ІІ округу Хотинського пов.",метрична книга|народження|шлюб|смерть,1894-1919
ДАЧвО,1245-7-15,1245,7,15,"Метрична книга. Церква Св. Дмитрія, с. Брідок Кіцманського пов.",метрична книга|народження,1900-1916
ДАЧвО,1245-1-326,1245,1,326,"Метрична книга. Церква Св. Миколая, с. Погорілівка Кіцманського пов.",метрична книга|смерть,1843-1900
ДАЧвО,1245-2-129,1245,2,129,"Метрична книга. Церква Трьох Святих, с. Суховерхів Кіцманського пов.",метрична книга|смерть,1886-1933
ДАЧвО,1245-1-375,1245,1,375,"Метрична книга. Церква Перенесення мощей Св. Миколая, с. Станівці Горішні над Черемошем (нині с. Станівці Верхні) Сторожинецького пов.",метрична книга|народження,1841-1933
ДАЧвО,1245-9-167,1245,9,167,"Метрична книга. Церква Успіння Св. Богородиці, с. Бояни Чернівецького пов.",метрична книга|народження,1840-1933
ДАЧвО,1245-9-172,1245,9,172,"Метрична книга. Церква Успіння Св. Богородиці, с. Бояни Чернівецького пов.",метрична книга|народження,1840-1927
ДАЧвО,1245-9-174,1245,9,174,"Метрична книга. Церква Успіння Св. Богородиці, с. Бояни Чернівецького пов.",метрична книга|народження,1840-1933
ДАЧвО,1245-9-175,1245,9,175,"Метрична книга. Церква Успіння Св. Богородиці, с. Бояни Чернівецького пов.",метрична книга|народження,1840-1933
ДАЧвО,1245-1-1245,1245,1,1245,"Метрична книга. Церква Різдва Св. Дмитрія, с. Буківка Чернівецького пов.",метрична книга|народження,1840-1899
ДАЧвО,1245-1-12А,1245,1,12А,"Метрична книга. Церква Св. Миколая, с. Волока Чернівецького пов.",метрична книга|смерть,1888-1921
ДАЧвО,1245-9-190,1245,9,190,"Метрична книга. Церква Св. Дмитрія, с. Гоголіна Чернівецького пов.",метрична книга|народження|смерть,1840-1919
ДАЧвО,1245-9-191,1245,9,191,"Метрична книга. Церква Св. Дмитрія, с. Гоголіна Чернівецького пов.",метрична книга|народження|шлюб|смерть,1840-1919
ДАЧвО,1245-9-201,1245,9,201,"Метрична книга. Церква Св. Духа, с. Магала Чернівецького пов.",метрична книга|народження,1840-1933
ДАЧвО,1245-9-71,1245,9,71,"Метрична книга. Церква Св. Духа, с. Магала Чернівецького пов.",метрична книга|народження,1841-1933
ДАЧвО,1245-9-233,1245,9,233,"Метрична книга. Церква Архангелів Михаїла і Гавриїла, с. Слобода Чернівецького пов.",метрична книга|народження|шлюб|смерть,1900-1928
ДАЧвО,1245-9-255,1245,9,255,"Метрична книга. Церква Св. Іллі, с. Топорівці Чернівецького пов.",метрична книга|народження,1898-1933
ДАЧвО,1245-9-260,1245,9,260,"Метрична книга. Церква Св. Іллі, с. Топорівці Чернівецького пов.",метрична книга|шлюб,"1784-1798,1838-1924"
ДАЧвО,1245-5-14А,1245,5,14А,"Метрична книга. Бюро РАЦС примарії, с. Буда Дорохойського пов.",метрична книга|смерть,"1913-1917,1922-1929"
ДАЧвО,1245-5-38,1245,5,38,"Метрична книга. Бюро РАЦС примарії, с. Маморниця Дорохойського пов.",метрична книга|народження,1901-1933
ДАЧвО,987-1-3,987,1,3,"Метрична книга. Костьол Воздвиження Св. Христа, м. Чернівці Чернівецького пов.",метрична книга|народження,1776-1870
ДАЧвО,987-1-7,987,1,7,"Метрична книга. Костьол Воздвиження Св. Христа, м. Чернівці Чернівецького пов.",метрична книга|шлюб,1825-1875
