full_code,tags
ДАЧвО-605-1-31,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-173,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-123,метрична книга|народження|шлюб|смерть|сповідальні відомості
ДАЧвО-605-1-158,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-119,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-149,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-151,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-9-1,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-87,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-8-5,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-8-105,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-601,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-41,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-103,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-108,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-176,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-611,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-22,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-279,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-280,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-506,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-613,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-635,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-614,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-107,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-126,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-11-16,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-11-153,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-11-154,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-509,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-277,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-685,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-8-23,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-114,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-133,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-690,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-915,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-697,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-128,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-513,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-33,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-397,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-705,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-9-25,метрична книга|народження
ДАЧвО-1245-1-713,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-43,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-726,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-55,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-519,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-723,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-727,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-8-39,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-8-120,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-66,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-72,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-527,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-737,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-738,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-569,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-115,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-122,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-840,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-575,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-836,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-728,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-730,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-785,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-837А,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-269,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-710,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-739,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-672,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-11-63,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-92,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-533,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-8-58,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-8-63,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-145,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-539,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-9-75,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-753,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-782,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-9-83,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-676,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-11-88,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-11-173,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-548,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-554,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-673,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-817,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-818,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-561,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-196,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-202,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-425,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-573,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-833,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-8-142,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-428,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-217,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-223,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-233,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-8-35,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-857,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-858,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-7-142,метрична книга|народження
ДАЧвО-605-1-71,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-849,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-271,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-274,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-853,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-8-147,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-240,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-255,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-258,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-11-117,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-9-35,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-272,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-868,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-692,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-869,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-873,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-9-122,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-763,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-764,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-596,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-9-150,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-341,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-350,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-9-155,метрична книга|народження|шлюб|смерть
ДАЧвО-605-1-137,метрична книга|народження
ДАЧвО-1245-1-675,метрична книга|народження
ДАЧвО-1245-1-891,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-895,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-360,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-372,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-13-376,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-520,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-8-122,метрична книга|народження|шлюб|смерть
ДАЧвО-1245-1-7,метрична книга|народження|смерть
ДАЧвО-1245-4-9,метрична книга|народження
ДАЧвО-1245-1-21,метрична книга|народження|шлюб
ДАЧвО-1245-1-67,метрична книга|народження
ДАЧвО-1245-4-72,метрична книга|народження
ДАЧвО-1245-1-8,метрична книга|шлюб|смерть
ДАЧвО-1245-4-70,метрична книга|народження
ДАЧвО-1245-1-679,метрична книга|смерть
ДАЧвО-1245-10-2,метрична книга|народження
ДАЧвО-1245-10-4,метрична книга|шлюб
ДАЧвО-1245-10-6,метрична книга|смерть
ДАЧвО-1245-1-46,метрична книга|народження
ДАЧвО-1245-4-33,метрична книга|народження
ДАЧвО-1245-4-71,метрична книга|народження
ДАЧвО-1245-4-76,метрична книга|народження
ДАЧвО-1245-1-52,метрична книга|смерть
ДАЧвО-1245-4-31,метрична книга|смерть
ДАЧвО-1245-1-80,метрична книга|народження
ДАЧвО-1245-1-81,метрична книга|народження
ДАЧвО-1245-4-37,метрична книга|народження
ДАЧвО-1245-4-69,метрична книга|народження
ДАЧвО-1245-4-79,метрична книга|народження
ДАЧвО-1245-4-83,метрична книга|народження
ДАЧвО-1245-4-104,метрична книга|народження
ДАЧвО-1245-4-39,метрична книга|шлюб
ДАЧвО-1245-1-82,метрична книга|смерть
ДАЧвО-1245-4-38,метрична книга|смерть
ДАЧвО-1245-10-18,метрична книга|шлюб
ДАЧвО-1245-10-20,метрична книга|смерть
