full_code,title
ДАЧвО-605-1-11,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-19,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-27,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-28,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-30,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-31,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-36,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-38,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-47,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-52,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-54,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-55,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-70,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-74,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-78,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-86,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-105,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-109,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-113,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-129,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-140,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-156,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-161,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-165,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-171,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-175,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-22,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-32,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-46,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-197,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-211,"Метрична книга. Церква Св. Іоана Богослова, с. Атаки І округу Хотинського пов."
ДАЧвО-605-1-14,"Метрична книга. Церква Св. Вознесіння, с. Бабин ІІІ округу Хотинського пов."
ДАЧвО-605-1-61,"Метрична книга. Церква Св. Вознесіння, с. Бабин ІІІ округу Хотинського пов."
ДАЧвО-605-1-67,"Метрична книга. Церква Св. Вознесіння, с. Бабин ІІІ округу Хотинського пов."
ДАЧвО-605-1-76,"Метрична книга. Церква Св. Вознесіння, с. Бабин ІІІ округу Хотинського пов."
