full_code,db_before,catalog
ДАЧвО-605-1-11,1809-1834,1809-1835
ДАЧвО-605-1-36,1820-1820,1808-1843
ДАЧвО-605-1-109,1843-1843,"1843-1843,1847-1872"
ДАЧвО-1245-1-576,1899-1899,1878-1932
ДАЧвО-605-1-22,1815-1815,1813-1829
ДАЧвО-605-1-14,1811-1811,1809-1843
ДАЧвО-605-1-61,1828-1828,"1809-1843,1848-1849"
ДАЧвО-605-1-67,1830-1830,1809-1844
ДАЧвО-1245-1-241,1888-1899,1879-1899
ДАЧвО-605-1-23,1815-1815,1809-1843
ДАЧвО-605-1-151,1852-1852,1852-1880
ДАЧвО-605-1-160,1853-1853,1852-1880
ДАЧвО-605-1-172,1855-1860,1855-1886
ДАЧвО-605-1-29,1817-1817,1809-1843
ДАЧвО-1245-8-105,1927-1930,"1927-1928,1930-1932"
ДАЧвО-605-1-33,1819-1819,1809-1829
ДАЧвО-605-1-40,1821-1821,1809-1829
ДАЧвО-605-1-41,1822-1822,1809-1829
ДАЧвО-605-1-168,1855-1855,1855-1886
ДАЧвО-605-1-179,1857-1860,"1843-1844,1871-1873"
ДАЧвО-605-1-170,1855-1855,1849-1873
ДАЧвО-1245-1-814,1886-1886,1881-1900
ДАЧвО-1245-1-506,1880-1926,1880-1929
ДАЧвО-1245-1-635,1887-1887,1887-1889
ДАЧвО-1245-11-24,1923-1932,"1923-1930,1932-1933"
ДАЧвО-1245-1-708,1888-1899,"1888-1889,1892-1892,1894-1897,1899-1932"
ДАЧвО-1245-1-712,1899-1904,"1888-1889,1894-1897,1899-1932"
ДАЧвО-1245-8-39,1901-1915,"1901-1908,1911-1912,1915-1922"
ДАЧвО-1245-1-721,1875-1876,"1872-1873,1875-1876"
ДАЧвО-605-1-273,1904-1904,1878-1932
ДАЧвО-605-1-10,1809-1830,1809-1843
ДАЧвО-1245-8-58,1904-1912,1904-1927
ДАЧвО-1245-1-753,1894-1894,1889-1932
ДАЧвО-1245-1-815,1873-1873,1873-1876
ДАЧвО-1245-1-751,1876-1876,1873-1876
