full_code,tags
ДАДнО-193-3-167,метрична книга|народження|шлюб|смерть
ДАДнО-193-3-334,метрична книга|народження|шлюб|смерть
ДАДнО-193-3-75,метрична книга|смерть
ДАДнО-193-3-464,метрична книга|народження
ДАДнО-193-3-465,метрична книга|народження
ДАДнО-193-3-468,метрична книга|смерть
ДАДнО-193-3-79,метрична книга|народження
ДАДнО-193-3-475,метрична книга|народження
ДАДнО-193-3-78,метрична книга|смерть
ДАДнО-193-3-486,метрична книга|смерть
ДАДнО-193-3-431,метрична книга|смерть
ДАДнО-193-3-108,метрична книга|народження
ДАДнО-193-3-493А,метрична книга|народження|шлюб|смерть
ДАДнО-193-3-439,метрична книга|народження
ДАДнО-193-3-410,метрична книга|народження
ДАДнО-193-3-325,метрична книга|народження|шлюб|смерть
ДАДнО-193-3-764,метрична книга|народження
ДАДнО-193-3-707,метрична книга|народження|шлюб|смерть
ДАДнО-193-3-676,метрична книга|смерть
ДАДнО-193-3-227,метрична книга|народження
ДАДнО-193-3-556,метрична книга|народження
ДАДнО-193-3-663,метрична книга|народження|шлюб|смерть
ДАДнО-193-3-573,метрична книга|народження|шлюб|смерть
ДАДнО-193-3-387,метрична книга|народження|шлюб|смерть
ДАДнО-193-3-771,метрична книга|народження|шлюб|смерть
ДАДнО-193-9-96,метрична книга|народження|шлюб|смерть
ДАДнО-193-5-144,метрична книга|народження
ДАДнО-193-4-716,метрична книга|народження|шлюб|смерть
ДАДнО-193-4-700,метрична книга|народження|шлюб|смерть
ДАДнО-193-4-607,метрична книга|народження
ДАДнО-193-4-449,метрична книга|народження
ДАДнО-193-4-759,метрична книга|народження
ДАДнО-193-1-379,метрична книга|народження
ДАДнО-193-4-425,метрична книга|народження|шлюб|смерть
ДАДнО-193-4-430,метрична книга|народження|шлюб|смерть
ДАДнО-193-4-705,метрична книга|народження|шлюб|смерть
ДАДнО-193-4-711,метрична книга|народження|шлюб|смерть
ДАДнО-193-4-762,метрична книга|народження|шлюб|смерть
ДАДнО-193-4-367,метрична книга|народження|шлюб|смерть
ДАДнО-193-4-412,метрична книга|народження
ДАДнО-193-3-583,метрична книга|смерть
ДАДнО-193-3-136А,метрична книга|народження
ДАДнО-193-3-139А,метрична книга|народження
ДАДнО-193-3-142А,метрична книга|народження
ДАДнО-193-3-610А,метрична книга|народження
ДАДнО-193-3-615,метрична книга|народження
ДАДнО-193-3-618,метрична книга|народження
ДАДнО-193-3-625,метрична книга|шлюб
ДАДнО-193-3-631А,метрична книга|смерть
ДАДнО-193-3-632А,метрична книга|смерть
