full_code,title
ДАДнО-193-2-164,"Метрична книга. Троїцька церква, з 1904 року Свято-Троїцька церква, с Боголюбівка Верхньодніпровського пов. Жовтянської вол."
ДАДнО-193-2-192,"Метрична книга. Миколаївська церква, с. Бородаївка Верхньодніпровського пов. Бородаївської вол."
ДАДнО-193-2-191,"Метрична книга. Покровська церква, с. Бородаївка Верхньодніпровського пов. Бородаївської вол."
ДАДнО-193-2-200,"Метрична книга. Успенська церква, с. Бородаївські Хутори Верхньодніпровського пов. Бородаївської вол."
ДАДнО-193-2-193,"Метрична книга. Вознесенська церква, с. Дніпровокам’янка Верхньодніпровського пов. Мишуринорізької вол."
ДАДнО-193-2-188,"Метрична книга. Миколаївська церква, с. Дніпровокам’янка Верхньодніпровського пов. Мишуринорізької вол."
ДАДнО-193-2-187,"Метрична книга. Архангело-Михайлівська церква, с. Домоткань Верхньодніпровського пов. Пушкарівської вол."
ДАДнО-193-2-205,"Метрична книга. Архангело-Михайлівська церква, с. Домоткань Верхньодніпровського пов. Пушкарівської вол."
ДАДнО-193-2-190,"Метрична книга. Успенська церква, с. Калужине Верхньодніпровського пов. Мишуринорізької вол."
ДАДнО-193-2-162,"Метрична книга. Троїцька церква, с. Лихівка Верхньодніпровського пов. Лихівської вол."
ДАДнО-193-2-166,"Метрична книга. Троїцька церква, с. Лихівка Верхньодніпровського пов. Лихівської вол."
ДАДнО-193-2-132,"Метрична книга. Різдвяно-Богородицька церква, с. Мар’янівка Верхньодніпровського пов. Миколаївської вол."
ДАДнО-193-2-199,"Метрична книга. Різдвяно-Богородицька церква, с. Мар’янівка Верхньодніпровського пов. Миколаївської вол."
ДАДнО-193-2-198,"Метрична книга. Миколаївська церква, с. Миколаївка-Гегелине Верхньодніпровського пов. Миколаївської вол."
ДАДнО-193-2-163,"Метрична книга. Миколаївська церква, с. Миколаївка-Купієваха Верхньодніпровського пов. Троїцької вол."
ДАДнО-193-2-189,"Метрична книга. Преображенська церква, с. Мишурин Ріг Верхньодніпровського пов. Мишуринорізької вол."
ДАДнО-193-2-194,"Метрична книга. Хрестовоздвиженська церква, с. Мишурин Ріг Верхньодніпровського пов. Мишуринорізької вол."
ДАДнО-193-2-197,"Метрична книга. Іоанно-Предтеченська церква, с. Олександрівка, з 1901 року с. Олександро-Іванівка, Верхньодніпровського пов. Богодарівської вол."
ДАДнО-193-2-209,"Метрична книга. Іоанно-Предтеченська церква, с. Олександрівка, з 1901 року с. Олександро-Іванівка, Верхньодніпровського пов. Богодарівської вол."
ДАДнО-193-2-203,"Метрична книга. Миколаївська церква, с. Пушкарівка Верхньодніпровського пов. Пушкарівської вол."
ДАДнО-193-2-201,"Метрична книга. Казанська церква, с. Сошинівка Верхньодніпровського пов. Богодарівської вол."
ДАДнО-193-2-186,"Метрична книга. Хрестовоздвиженська церква, с. Червоний Кут Верхньодніпровського пов. Червонокутської вол."
ДАДнО-193-4-20,"Метрична книга. Миколаївська церква, с. Бабайківка Новомосковського пов. Бабайківської вол."
ДАДнО-193-4-717,"Метрична книга. Дмитрівська церква, с. Бузівка Новомосковського пов. Бузівської вол."
ДАДнО-193-4-720,"Метрична книга. Покровська церква, с. Дмухайлівка Новомосковського пов. Дмухайлівської вол."
ДАДнО-193-4-719,"Метрична книга. Преображенська церква, Дудківські хутори Новомосковського пов. Жданівської вол."
ДАДнО-193-4-721,"Метрична книга. Свято-Троїцька церква, с. Жданівка Новомосковського пов. Жданівської вол."
