full_code,db_before,catalog
ДАДнО-193-2-33,1880-1881,"1880-1881,1883-1888"
ДАДнО-193-1-33,1875-1877,"1875-1877,1883-1883"
ДАДнО-193-2-77,1884-1889,"1883-1886,1889-1889"
ДАДнО-193-3-13,1895-1896,1895-1897
ДАДнО-193-2-53,1891-1893,1891-1894
ДАДнО-193-2-117,1907-1909,1907-1910
ДАДнО-193-4-485,1907-1908,"1907-1908,1910-1915"
ДАДнО-193-2-118,1901-1904,1900-1904
ДАДнО-193-2-64,1884-1884,1884-1885
ДАДнО-193-2-129,1902-1902,1901-1902
ДАДнО-193-2-78,1882-1884,1882-1886
ДАДнО-193-3-22,1895-1896,1895-1897
ДАДнО-193-2-26,1881-1881,1881-1884
ДАДнО-193-2-88,1902-1903,1901-1903
ДАДнО-193-2-151,1913-1913,1913-1914
ДАДнО-193-2-182,1917-1919,1916-1919
ДАДнО-193-3-34,1891-1896,1891-1897
ДАДнО-193-2-122,1906-1907,1906-1909
ДАДнО-193-3-857,1906-1906,"1906-1906,1920-1920"
ДАДнО-193-3-758,1894-1896,"1891-1892,1894-1896"
ДАДнО-193-3-825,1914-1914,"1914-1914,1918-1920"
ДАДнО-193-3-52,1883-1884,1883-1886
ДАДнО-193-3-310,1914-1914,1914-1915
ДАДнО-193-3-156,1888-1888,1888-1889
ДАДнО-193-3-540,1918-1918,1918-1920
ДАДнО-193-3-74,1894-1898,1894-1899
ДАДнО-193-3-488,1905-1908,1904-1908
ДАДнО-193-3-597,1913-1920,"1902-1902,1913-1920"
ДАДнО-193-3-113,1889-1891,"1889-1889,1891-1891,1894-1898,1900-1900"
ДАДнО-193-3-86,1865-1875,"1865-1872,1874-1886,1888-1893"
ДАДнО-193-3-447,1913-1918,"1882-1882,1889-1889,1892-1892,1896-1898,1905-1905,1909-1910,1913-1920"
ДАДнО-193-3-448,1909-1914,1909-1919
ДАДнО-193-3-451,1914-1916,1914-1919
ДАДнО-193-3-324,1915-1917,1915-1921
ДАДнО-193-3-824,1914-1914,1914-1917
ДАДнО-193-3-701,1916-1916,"1916-1916,1919-1920"
ДАДнО-193-3-218,1890-1890,1890-1892
ДАДнО-193-3-221,1898-1898,1898-1899
ДАДнО-193-3-232,1894-1895,1894-1896
ДАДнО-193-3-248,1886-1889,1886-1890
ДАДнО-193-3-644,1904-1905,1903-1905
ДАДнО-193-3-771,1901-1901,1900-1901
ДАДнО-193-4-484,1901-1919,"1901-1901,1903-1903,1907-1907,1916-1920"
ДАДнО-193-4-25,1875-1893,"1871-1872,1875-1876,1880-1882,1888-1889,1891-1895,1898-1899"
ДАДнО-193-4-30,1875-1884,"1875-1875,1878-1887,1889-1889"
