archive,code,fond,inventory,file,title,tags,years
ДАК,237-1-83,237,1,83,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,1862-1864
ДАК,237-1-60,237,1,60,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,"1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК,237-1-61,237,1,61,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,"1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК,237-1-66,237,1,66,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,"1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК,237-1-69,237,1,69,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,"1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК,237-1-71,237,1,71,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,"1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК,237-1-74,237,1,74,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,"1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК,237-1-75,237,1,75,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,"1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК,237-1-80,237,1,80,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,"1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК,237-1-84,237,1,84,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,"1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК,237-1-99,237,1,99,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,"1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК,237-1-110,237,1,110,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,1905-1906
ДАК,237-1-59,237,1,59,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|шлюб,"1878-1880,1882-1882,1884-1886,1888-1892,1894-1901,1903-1905"
ДАК,237-1-88,237,1,88,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|смерть,1900-1901
ДАК,237-1-91,237,1,91,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|смерть,1902-1905
ДАК,237-1-109,237,1,109,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|смерть,1902-1905
ДАК,312-1-34,312,1,34,"Метрична книга. Костьол, м. Ржищів",метрична книга|смерть,1827-1835
ДАК,312-1-44,312,1,44,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський",метрична книга|народження,1835-1837
ДАК,237-1-93,237,1,93,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,"1860-1860,1863-1863,1865-1865,1872-1873,1875-1876,1878-1879,1881-1881,1888-1889"
ДАК,237-1-96,237,1,96,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,"1860-1860,1863-1863,1865-1865,1872-1873,1875-1876,1878-1879,1881-1881,1888-1889"
ДАК,237-1-98,237,1,98,"Метрична книга. Київська міська поліція, м. Київ",метрична книга|народження,"1860-1860,1863-1863,1865-1865,1872-1873,1875-1876,1878-1879,1881-1881,1888-1889"
