full_code,title
ДАК-312-1-65,Метрична книга. Костьоли Васильківського пов.
ДАК-312-1-36,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-41,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-46,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-47,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-48,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-53,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-57,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-35,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-40,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-50,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-51,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-56,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-39,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-42,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-49,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-55,"Метрична книга. Костьоли Київського та Васильківського повітів: Білоцерківський, Київський, Макарівський, Рокитнянський, Фастівський"
ДАК-312-1-86,"Метрична книга. Костьоли: Білоцерківський, Бишівський, Васильківський, Київський, Макарівський, Мотовилівський, Ржищівський, Рокитнянський, Фастівський"
ДАК-312-1-89,"Метрична книга. Костьоли: Білоцерківський, Бишівський, Васильківський, Київський, Макарівський, Мотовилівський, Ржищівський, Рокитнянський, Фастівський"
ДАК-312-1-90,"Метрична книга. Костьоли: Білоцерківський, Бишівський, Васильківський, Київський, Макарівський, Мотовилівський, Ржищівський, Рокитнянський, Фастівський"
ДАК-312-1-92,"Метрична книга. Костьоли: Білоцерківський, Бишівський, Васильківський, Київський, Макарівський, Мотовилівський, Ржищівський, Рокитнянський, Фастівський"
ДАК-312-1-96,"Метрична книга. Костьоли: Білоцерківський, Бишівський, Васильківський, Київський, Макарівський, Мотовилівський, Ржищівський, Рокитнянський, Фастівський"
ДАК-312-1-100,"Метрична книга. Костьоли: Білоцерківський, Бишівський, Васильківський, Київський, Макарівський, Мотовилівський, Ржищівський, Рокитнянський, Фастівський"
ДАК-312-1-111,"Метрична книга. Костьоли: Білоцерківський, Бишівський, Васильківський, Київський, Макарівський, Мотовилівський, Ржищівський, Рокитнянський, Фастівський"
ДАК-312-1-114,"Метрична книга. Костьоли: Білоцерківський, Бишівський, Васильківський, Київський, Макарівський, Мотовилівський, Ржищівський, Рокитнянський, Фастівський"
