full_code,db_before,catalog
ДАК-237-1-100,1858-1860,"1858-1858,1860-1860,1862-1864,1866-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК-237-1-67,1862-1864,"1862-1864,1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК-237-1-58,1867-1889,"1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК-237-1-63,1860-1889,"1860-1860,1863-1863,1865-1865,1867-1867,1869-1870,1872-1881,1888-1899"
ДАК-237-1-72,1895-1896,"1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899"
ДАК-237-1-85,1894-1901,"1867-1867,1869-1870,1874-1875,1877-1877,1879-1880,1889-1899,1901-1901"
ДАК-237-1-62,1880-1884,"1878-1886,1888-1892,1894-1901,1903-1905"
ДАК-237-1-57,1878-1905,"1876-1878,1902-1905"
ДАК-312-1-78,1857-1857,1849-1857
ДАК-312-1-36,1835-1835,1835-1837
ДАК-312-1-41,1836-1836,1835-1837
ДАК-312-1-35,1835-1835,1835-1837
ДАК-312-1-40,1836-1836,1835-1837
ДАК-312-1-43,1837-1837,1835-1837
ДАК-237-1-86,1873-1899,"1873-1873,1892-1892,1894-1894,1899-1899,1901-1901"
