full_code,tags
ДАКрО-160-1-45,метрична книга|народження|шлюб
ДАКрО-528-1-2,метрична книга|народження
ДАКрО-528-1-4,метрична книга|народження
ДАКрО-528-1-6,метрична книга|народження|шлюб|смерть
ДАКрО-528-1-5,метрична книга|смерть
ДАКрО-570-1-25,метрична книга|народження|шлюб|смерть
ДАКрО-570-1-23,метрична книга|народження|смерть
ДАКрО-570-1-15,метрична книга|шлюб|смерть
ДАКрО-570-1-16,метрична книга|шлюб|смерть
ДАКрО-579-1-2,метрична книга|народження|шлюб|смерть
ДАКрО-579-1-7,метрична книга|народження|шлюб
ДАКрО-579-1-8,метрична книга|народження|шлюб|смерть
ДАКрО-579-1-10,метрична книга|народження|шлюб|смерть
ДАКрО-579-1-11,метрична книга|народження|шлюб|смерть
ДАКрО-579-1-15,метрична книга|народження|шлюб|смерть
ДАКрО-579-1-16,метрична книга|народження|шлюб|смерть
ДАКрО-579-1-17,метрична книга|народження|шлюб|смерть
ДАКрО-579-1-21,метрична книга|народження|шлюб|смерть
ДАКрО-579-1-22,метрична книга|народження|шлюб|смерть
ДАКрО-579-1-23,метрична книга|народження|шлюб|смерть
ДАКрО-579-1-24,метрична книга|народження|шлюб|смерть
ДАКрО-579-1-25,метрична книга|народження|шлюб
ДАКрО-579-1-26,метрична книга|народження|шлюб|смерть
ДАКрО-610-1-5,метрична книга|народження|смерть
ДАКрО-610-1-13,метрична книга|народження|шлюб|смерть
ДАКрО-610-1-19,метрична книга|народження|шлюб
ДАКрО-610-1-24,метрична книга|народження|шлюб|смерть
ДАКрО-115-1-16,метрична книга|народження|шлюб|смерть
ДАКрО-115-1-18,метрична книга|народження|шлюб|смерть
ДАКрО-162-1-26,метрична книга|народження|шлюб|смерть
ДАКрО-170-1-104,метрична книга|народження|шлюб|смерть
ДАКрО-170-1-124,метрична книга|народження|шлюб|смерть
ДАКрО-420-1-6,метрична книга|народження|смерть
ДАКрО-638-1-31,метрична книга|народження|шлюб|смерть
ДАКрО-644-1-8,метрична книга|народження|шлюб|смерть
ДАКрО-661-1-3,метрична книга|народження|шлюб|смерть
ДАКрО-690-1-16,метрична книга|народження|шлюб
ДАКрО-708-1-5,метрична книга|народження|шлюб|смерть
ДАКрО-546-1-3,метрична книга|народження|шлюб|смерть
ДАКрО-546-1-4,метрична книга|народження|шлюб
ДАКрО-546-1-5,метрична книга|народження|шлюб|смерть
