full_code,title
ДАКрО-852-1-1,"Метрична книга. Свято-Троїцька церква, с. Новогригорівка Кременчуцького окр. Попельнастенського р-ну (Катеринославської губ. Верхньодніпровського пов. Успенської вол.) Міжархівний довідник"
ДАКрО-852-1-2,"Метрична книга. Свято-Троїцька церква, с. Новогригорівка Кременчуцького окр. Попельнастенського р-ну (Катеринославської губ. Верхньодніпровського пов. Успенської вол.) Міжархівний довідник"
ДАКрО-160-1-53,"Метрична книга. Собор Успіння Божої Матері, м. Зінов’євськ Зінов’євського окр. (м. Єлисаветград Херсонської губ. Єлисаветградського пов.)"
ДАКрО-171-1-25,"Метрична книга. Свято-Натальїнська церква, с. Високі Байраки Зінов’євського окр. Зінов’євського р-ну (Херсонської губ. Олександрійського пов. Аджамської вол.)"
ДАКрО-171-1-27,"Метрична книга. Свято-Натальїнська церква, с. Високі Байраки Зінов’євського окр. Зінов’євського р-ну (Херсонської губ. Олександрійського пов. Аджамської вол.)"
ДАКрО-171-1-31,"Метрична книга. Свято-Натальїнська церква, с. Високі Байраки Зінов’євського окр. Зінов’євського р-ну (Херсонської губ. Олександрійського пов. Аджамської вол.)"
ДАКрО-171-1-32,"Метрична книга. Свято-Натальїнська церква, с. Високі Байраки Зінов’євського окр. Зінов’євського р-ну (Херсонської губ. Олександрійського пов. Аджамської вол.)"
ДАКрО-171-1-29,"Метрична книга. Свято-Натальїнська церква, с. Високі Байраки Зінов’євського окр. Зінов’євського р-ну (Херсонської губ. Олександрійського пов. Аджамської вол.)"
ДАКрО-171-1-28,"Метрична книга. Свято-Натальїнська церква, с. Високі Байраки Зінов’євського окр. Зінов’євського р-ну (Херсонської губ. Олександрійського пов. Аджамської вол.)"
ДАКрО-172-1-1,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Покровське Зінов’євського окр. Зінов’євського р-ну (Херсонської губ. Олександрійського пов. Покровської вол.) Міжархівний довідник"
ДАКрО-172-1-2,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Покровське Зінов’євського окр. Зінов’євського р-ну (Херсонської губ. Олександрійського пов. Покровської вол.) Міжархівний довідник"
