full_code,db_before,catalog
ДАКрО-160-1-1,1776-1801,"1775-1781,1784-1787,1792-1801"
ДАКрО-160-1-45,1876-1876,1875-1876
ДАКрО-160-1-46,1878-1878,1877-1880
ДАКрО-172-1-1,1805-1813,"1805-1805,1807-1814"
ДАКрО-189-1-3,1848-1850,1848-1852
ДАКрО-189-1-56,1864-1864,1864-1869
ДАКрО-189-1-60,1875-1875,1874-1875
ДАКрО-189-1-16,1873-1873,"1873-1873,1879-1880,1883-1883"
ДАКрО-189-1-12,1874-1874,"1874-1875,1877-1877"
ДАКрО-189-1-52,1883-1883,1883-1886
ДАКрО-189-1-19,1899-1899,1899-1900
ДАКрО-189-1-43,1826-1826,"1820-1821,1826-1826,1828-1830,1832-1838"
ДАКрО-189-1-11,1920-1922,1920-1923
ДАКрО-328-1-8,1841-1850,1840-1850
ДАКрО-774-1-6,1912-1912,"1904-1904,1912-1912"
ДАКрО-177-1-2,1808-1825,"1808-1808,1811-1830"
ДАКрО-177-1-48,1901-1904,"1901-1904,1922-1922"
ДАКрО-177-1-3,1880-1885,1879-1901
ДАКрО-177-1-4,1886-1901,"1886-1892,1898-1899,1917-1918,1920-1920"
ДАКрО-831-1-2,1891-1919,"1891-1905,1919-1921"
ДАКрО-528-1-4,1842-1842,1842-1846
ДАКрО-528-1-3,1841-1848,"1841-1841,1848-1849"
ДАКрО-566-1-3,1841-1848,1841-1849
ДАКрО-570-1-1,1795-1823,"1795-1799,1801-1825"
ДАКрО-570-1-3,1801-1824,"1795-1799,1801-1803,1808-1809,1813-1813,1823-1825"
ДАКрО-570-1-8,1827-1828,1825-1828
ДАКрО-570-1-10,1832-1835,1832-1836
ДАКрО-570-1-12,1837-1837,1832-1837
ДАКрО-570-1-22,1846-1846,1846-1847
ДАКрО-570-1-23,1847-1847,1846-1847
ДАКрО-570-1-15,1839-1839,1838-1840
ДАКрО-570-1-16,1840-1840,1838-1840
ДАКрО-573-1-6,1842-1848,1838-1848
ДАКрО-573-1-7,1849-1855,"1843-1849,1851-1857"
ДАКрО-573-1-11,1855-1855,"1851-1857,1859-1865"
ДАКрО-573-1-1,1820-1820,"1820-1820,1853-1853"
ДАКрО-579-1-2,1831-1831,"1799-1831,1855-1855"
ДАКрО-579-1-3,1831-1845,1799-1845
ДАКрО-579-1-4,1836-1841,1832-1841
ДАКрО-579-1-28,1859-1859,1858-1859
ДАКрО-579-1-32,1863-1873,"1861-1861,1863-1873"
ДАКрО-579-1-33,1865-1904,"1863-1873,1896-1904"
ДАКрО-579-1-35,1905-1911,1902-1912
ДАКрО-582-1-12,1854-1862,1848-1862
ДАКрО-590-1-43,1859-1867,1859-1876
ДАКрО-590-1-40,1860-1860,1860-1861
ДАКрО-590-1-46,1867-1876,1861-1876
ДАКрО-590-1-49,1876-1883,"1868-1879,1882-1885,1888-1888"
ДАКрО-590-1-50,1883-1901,"1882-1890,1895-1905"
ДАКрО-590-1-52,1894-1905,1891-1905
ДАКрО-590-1-56,1915-1917,1915-1918
ДАКрО-590-1-51,1885-1903,"1868-1896,1902-1905"
ДАКрО-606-1-7,1869-1899,"1869-1875,1880-1885,1899-1905"
ДАКрО-610-1-2,1801-1820,"1801-1817,1826-1826,1828-1830"
ДАКрО-610-1-5,1810-1812,"1801-1805,1807-1814,1816-1816"
ДАКрО-610-1-9,1824-1835,"1819-1829,1832-1835"
