archive,code,fond,inventory,file,title,tags,years
ДАТО,486-1-340,486,1,340,"Метрична книга. Церква Св. Михайла, м. Вишнівець Кременецького пов.",метрична книга|народження,"1890-1890,1892-1892,1894-1899"
ДАТО,486-1-341,486,1,341,"Метрична книга. Церква Св. Михайла, м. Вишнівець Кременецького пов.",метрична книга|народження,1900-1906
ДАТО,486-1-120,486,1,120,"Метрична книга. Церква Воздвиження Чесного Хреста, с. Дзвиняч Кременецького пов.",метрична книга|народження|шлюб|смерть,1890-1896
ДАТО,486-1-136,486,1,136,"Метрична книга. Церква Св. Тройці, с. Жолоби Кременецького пов.",метрична книга|смерть,1884-1889
ДАТО,486-1-174,486,1,174,"Метрична книга. Церква Св. Михайла, с. Новий Кокорів Кременецького пов.",метрична книга|народження|шлюб|смерть,1871-1879
ДАТО,486-1-294,486,1,294,"Метрична книга. Церква Св. Михайла, с. Лосятин Кременецького пов.",метрична книга|народження|шлюб|смерть,1881-1890
ДАТО,486-1-329,486,1,329,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Мусорівці Кременецького пов.",метрична книга|народження,1884-1886
ДАТО,486-1-330,486,1,330,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Мусорівці Кременецького пов.",метрична книга|народження,1887-1890
ДАТО,486-1-331,486,1,331,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Мусорівці Кременецького пов.",метрична книга|народження,1891-1893
ДАТО,486-1-332,486,1,332,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Мусорівці Кременецького пов.",метрична книга|народження,1894-1896
ДАТО,486-1-333,486,1,333,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Мусорівці Кременецького пов.",метрична книга|народження,1897-1900
ДАТО,486-1-334,486,1,334,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Мусорівці Кременецького пов.",метрична книга|народження,1901-1904
ДАТО,486-1-335,486,1,335,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Мусорівці Кременецького пов.",метрична книга|народження,1905-1907
ДАТО,486-1-336,486,1,336,"Метрична книга. Церква Казанської Божої Матері, с. Нападівка Кременецького пов.",метрична книга|народження|шлюб|смерть,1880-1887
ДАТО,486-1-337,486,1,337,"Метрична книга. Церква Казанської Божої Матері, с. Нападівка Кременецького пов.",метрична книга|народження|шлюб|смерть,1889-1894
ДАТО,486-1-338,486,1,338,"Метрична книга. Церква Казанської Божої Матері, с. Нападівка Кременецького пов.",метрична книга|народження|шлюб|смерть,1895-1900
ДАТО,486-1-339,486,1,339,"Метрична книга. Церква Казанської Божої Матері, с. Нападівка Кременецького пов.",метрична книга|народження|шлюб|смерть,1901-1907
ДАТО,486-1-342,486,1,342,"Метрична книга. Церква Св. Миколая, с. Новий Почаїв Кременецького пов.",метрична книга|народження|шлюб|смерть,1880-1889
ДАТО,486-1-343,486,1,343,"Метрична книга. Церква Св. Михайла, с. Новостав Кременецького пов.",метрична книга|народження,1880-1886
ДАТО,486-1-344,486,1,344,"Метрична книга. Церква Св. Михайла, с. Новостав Кременецького пов.",метрична книга|народження,1887-1892
ДАТО,486-1-345,486,1,345,"Метрична книга. Церква Св. Михайла, с. Новостав Кременецького пов.",метрична книга|народження,1893-1901
ДАТО,486-1-346,486,1,346,"Метрична книга. Церква Св. Миколая, с. Обич Кременецького пов.",метрична книга|народження,"1877-1881,1897-1899"
ДАТО,486-1-347,486,1,347,"Метрична книга. Церква Св. Миколая, с. Обич Кременецького пов.",метрична книга|народження,1882-1887
ДАТО,486-1-348,486,1,348,"Метрична книга. Церква Св. Миколая, с. Обич Кременецького пов.",метрична книга|народження,1888-1891
ДАТО,486-1-349,486,1,349,"Метрична книга. Церква Св. Миколая, с. Обич Кременецького пов.",метрична книга|народження,1892-1896
ДАТО,486-1-350,486,1,350,"Метрична книга. Церква Св. Миколая, с. Обич Кременецького пов.",метрична книга|народження,1900-1905
ДАТО,486-1-351,486,1,351,"Метрична книга. Церква Успення Пресвятої Богородиці, с. Онишківці Кременецького пов.",метрична книга|народження|шлюб|смерть,1900-1907
ДАТО,486-1-352,486,1,352,"Метрична книга. Церква Воздвиження Чесного Хреста, с. Оришківці Кременецького пов.",метрична книга|народження|шлюб|смерть,1863-1880
ДАТО,486-1-353,486,1,353,"Метрична книга. Церква Воздвиження Чесного Хреста, с. Оришківці Кременецького пов.",метрична книга|народження|шлюб|смерть,1881-1890
ДАТО,486-1-354,486,1,354,"Метрична книга. Церква Воздвиження Чесного Хреста, с. Оришківці Кременецького пов.",метрична книга|народження|шлюб|смерть,1891-1900
ДАТО,486-1-355,486,1,355,"Метрична книга. Церква Св. Параскеви, с. Передмірка Кременецького пов.",метрична книга|народження,1876-1881
ДАТО,486-1-356,486,1,356,"Метрична книга. Церква Св. Параскеви, с. Передмірка Кременецького пов.",метрична книга|народження,1884-1887
ДАТО,486-1-357,486,1,357,"Метрична книга. Церква Св. Параскеви, с. Передмірка Кременецького пов.",метрична книга|народження,"1888-1892,1899-1899"
ДАТО,486-1-358,486,1,358,"Метрична книга. Церква Св. Параскеви, с. Передмірка Кременецького пов.",метрична книга|народження,1901-1905
