full_code,tags
ДАТО-486-1-1,метрична книга|народження|шлюб|смерть
ДАТО-486-1-2,метрична книга|народження|шлюб|смерть
ДАТО-486-1-3,метрична книга|народження|шлюб|смерть
ДАТО-486-1-4,метрична книга|народження|шлюб|смерть
ДАТО-486-1-5,метрична книга|народження|шлюб|смерть
ДАТО-486-1-6,метрична книга|народження|шлюб|смерть
ДАТО-486-1-7,метрична книга|народження|шлюб|смерть
ДАТО-486-1-8,метрична книга|народження|шлюб|смерть
ДАТО-486-1-9,метрична книга|народження|шлюб|смерть
ДАТО-486-1-10,метрична книга|народження|шлюб|смерть
ДАТО-486-1-11,метрична книга|народження|шлюб|смерть
ДАТО-486-1-12,метрична книга|народження|шлюб|смерть
ДАТО-486-1-13,метрична книга|народження|шлюб|смерть
ДАТО-486-1-14,метрична книга|народження|шлюб|смерть
ДАТО-486-1-15,метрична книга|народження|шлюб|смерть
ДАТО-486-1-16,метрична книга|народження|шлюб|смерть
ДАТО-486-1-17,метрична книга|народження|шлюб|смерть
ДАТО-486-1-18,метрична книга|народження|шлюб|смерть
ДАТО-486-1-19,метрична книга|народження|шлюб|смерть
ДАТО-486-1-20,метрична книга|народження|шлюб|смерть
ДАТО-486-1-21,метрична книга|шлюб|смерть
ДАТО-486-1-22,метрична книга|народження|шлюб|смерть
ДАТО-486-1-23,метрична книга|народження|шлюб|смерть
ДАТО-486-1-24,метрична книга|народження|шлюб|смерть
ДАТО-486-1-25,метрична книга|народження|шлюб|смерть
ДАТО-486-1-26,метрична книга|народження|шлюб|смерть
ДАТО-486-1-27,метрична книга|народження|шлюб|смерть
ДАТО-486-1-302,метрична книга|народження|шлюб|смерть
ДАТО-486-1-28,метрична книга|народження|шлюб|смерть
ДАТО-486-1-29,метрична книга|народження|шлюб|смерть
ДАТО-486-1-32,метрична книга|народження|шлюб|смерть
ДАТО-486-1-33,метрична книга|народження|шлюб|смерть
ДАТО-486-1-34,метрична книга|народження|шлюб|смерть
