full_code,title
ДАТО-486-1-5,"Метрична книга. Церква Різдва Богородиці, с. Антонівці Кременецького пов."
ДАТО-486-1-6,"Метрична книга. Церква Різдва Богородиці, с. Антонівці Кременецького пов."
ДАТО-486-1-58,"Метрична книга. Церква Св. Георгія, с. Бриків Кременецького пов."
ДАТО-486-1-60,"Метрична книга. Церква Св. Георгія, с. Бриків Кременецького пов."
ДАТО-486-1-61,"Метрична книга. Церква Св. Георгія, с. Бриків Кременецького пов."
ДАТО-486-1-64,"Метрична книга. Церква Різдва Богородиці, с. Ванжулів Кременецького пов."
ДАТО-486-1-68,"Метрична книга. Церква Св. Георгія, с. Великі Вікнини Кременецького пов."
ДАТО-486-1-69,"Метрична книга. Церква Св. Георгія, с. Великі Вікнини Кременецького пов."
ДАТО-486-1-72,"Метрична книга. Церква Казанської Божої Матері, с. Великі Дедеркали Кременецького пов."
ДАТО-486-1-180,"Метрична книга. Церква Вознесіння Господнього, с. Комарівка Кременецького пов."
ДАТО-486-1-181,"Метрична книга. Церква Вознесіння Господнього, с. Комарівка Кременецького пов."
ДАТО-486-1-182,"Метрична книга. Церква Вознесіння Господнього, с. Комарівка Кременецького пов."
ДАТО-486-1-372,"Метрична книга. Церква Воздвиження Чесного Хреста, с. Плиска Кременецького пов."
ДАТО-486-1-373,"Метрична книга. Церква Покрови Пречистої Діви Марії, с. Потуторів Кременецького пов."
ДАТО-486-1-374,"Метрична книга. Церква Покрови Пречистої Діви Марії, с. Потуторів Кременецького пов."
ДАТО-486-1-375,"Метрична книга. Церква Покрови Пречистої Діви Марії, с. Потуторів Кременецького пов."
ДАТО-486-1-376,"Метрична книга. Церква Св. Параскеви, с. Радошівка Кременецького пов."
ДАТО-486-1-378,"Метрична книга. Церква Св. Параскеви, с. Радошівка Кременецького пов."
ДАТО-486-1-381,"Метрична книга. Церква Преображення Господнього, с. Решнівка Кременецького пов."
ДАТО-486-1-382,"Метрична книга. Церква Св. Параскеви, с. Ридомиль Кременецького пов."
ДАТО-486-1-383,"Метрична книга. Церква Св. Параскеви, с. Ридомиль Кременецького пов."
ДАТО-486-1-385,"Метрична книга. Церква Преображення Господнього, с. Рахманів Кременецького пов."
ДАТО-486-1-387,"Метрична книга. Церква Св. Даниїла, с. Рудка Кременецького пов."
ДАТО-486-1-404,"Метрична книга. Церква Покрови Пречистої Діви Марії, с. Новий Почаїв Кременецького пов."
ДАТО-486-1-405,"Метрична книга. Церква Покрови Пречистої Діви Марії, с. Новий Почаїв Кременецького пов."
ДАТО-486-1-406,"Метрична книга. Церква Покрови Пречистої Діви Марії, с. Новий Почаїв Кременецького пов."
ДАТО-486-1-407,"Метрична книга. Церква Покрови Пречистої Діви Марії, с. Новий Почаїв Кременецького пов."
ДАТО-486-1-408,"Метрична книга. Церква Покрови Пречистої Діви Марії, с. Новий Почаїв Кременецького пов."
ДАТО-485-1-39,Метрична книга. –
ДАТО-485-1-42,"Метрична книга. Костел Св. Антонія, м. Збараж Збаразького пов."
ДАТО-485-1-90,Метрична книга. –
ДАТО-485-1-98,Метрична книга. –
ДАТО-485-1-101,Метрична книга. –
ДАТО-485-1-102,"Метрична книга. Костел Св. Апостолів Петра і Павла, м. Теребовля Теребовлянського пов."
ДАТО-485-1-104,Метрична книга. –
ДАТО-485-1-108,Метрична книга. –
ДАТО-485-1-125,Метрична книга. –
ДАТО-486-1-1,"Метрична книга. Церква Різдва Богородиці, с. Антонівці Кременецького пов."
ДАТО-486-1-2,"Метрична книга. Церква Різдва Богородиці, с. Антонівці Кременецького пов."
ДАТО-486-1-3,"Метрична книга. Церква Різдва Богородиці, с. Антонівці Кременецького пов."
ДАТО-486-1-4,"Метрична книга. Церква Різдва Богородиці, с. Антонівці Кременецького пов."
ДАТО-486-1-7,"Метрична книга. Церква Різдва Богородиці, с. Антонівці Кременецького пов."
ДАТО-486-1-8,"Метрична книга. Церква Різдва Богородиці, с. Антонівці Кременецького пов."
ДАТО-486-1-9,"Метрична книга. Церква Собору Пресвятої Богородиці, с. Бакоти Кременецького пов."
ДАТО-486-1-10,"Метрична книга. Церква Собору Пресвятої Богородиці, с. Бакоти Кременецького пов."
ДАТО-486-1-11,"Метрична книга. Церква Собору Пресвятої Богородиці, с. Бакоти Кременецького пов."
ДАТО-486-1-12,"Метрична книга. Церква Св. Михайла, с. Білозірка Кременецького пов."
ДАТО-486-1-13,"Метрична книга. Церква Св. Михайла, с. Білозірка Кременецького пов."
ДАТО-486-1-14,"Метрична книга. Церква Св. Михайла, с. Білозірка Кременецького пов."
ДАТО-486-1-15,"Метрична книга. Церква Св. Михайла, с. Білозірка Кременецького пов."
ДАТО-486-1-16,"Метрична книга. Церква Св. Михайла, с. Білозірка Кременецького пов."
ДАТО-486-1-17,"Метрична книга. Церква Св. Михайла, с. Білозірка Кременецького пов."
ДАТО-486-1-18,"Метрична книга. Церква Св. Михайла, с. Білозірка Кременецького пов."
ДАТО-486-1-19,"Метрична книга. Церква Св. Йоана Богослова, с. Білокриниця Кременецького пов."
ДАТО-486-1-20,"Метрична книга. Церква Св. Йоана Богослова, с. Білокриниця Кременецького пов."
ДАТО-486-1-21,"Метрична книга. Церква Св. Йоана Богослова, с. Білокриниця Кременецького пов."
ДАТО-486-1-22,"Метрична книга. Церква Св. Михайла, с. Бірки Кременецького пов."
ДАТО-486-1-23,"Метрична книга. Церква Св. Михайла, с. Бірки Кременецького пов."
ДАТО-486-1-24,"Метрична книга. Церква Св. Михайла, с. Бірки Кременецького пов."
ДАТО-486-1-25,"Метрична книга. Церква Св. Георгія, с. Бережанка Кременецького пов."
ДАТО-486-1-26,"Метрична книга. Церква Св. Георгія, с. Бережанка Кременецького пов."
ДАТО-486-1-27,"Метрична книга. Церква Св. Георгія, с. Бережанка Кременецького пов."
ДАТО-486-1-302,"Метрична книга. Церква Св. Георгія, с. Бережанка Кременецького пов."
ДАТО-486-1-28,"Метрична книга. Церква Введення Пречистої Діви Марії, с. Бережці Кременецького пов."
ДАТО-486-1-29,"Метрична книга. Церква Введення Пречистої Діви Марії, с. Бережці Кременецького пов."
ДАТО-486-1-32,"Метрична книга. Церква Введення Пречистої Діви Марії, с. Бережці Кременецького пов."
ДАТО-486-1-33,"Метрична книга. Церква Введення Пречистої Діви Марії, с. Бережці Кременецького пов."
ДАТО-486-1-34,"Метрична книга. Церква Введення Пречистої Діви Марії, с. Бережці Кременецького пов."
ДАТО-486-1-35,"Метрична книга. Церква Введення Пречистої Діви Марії, с. Бережці Кременецького пов."
