full_code,db_before,catalog
ДАТО-426-1-30,1888-1888,"1883-1885,1888-1888"
ДАТО-426-1-31,1891-1891,"1886-1889,1891-1891"
ДАТО-486-1-74,1894-1900,"1878-1880,1884-1884,1898-1899,1906-1906"
ДАТО-486-1-76,1887-1894,"1884-1884,1886-1887,1889-1889,1895-1897"
ДАТО-487-1-425,1875-1904,"1875-1875,1877-1877,1880-1881,1883-1888,1890-1890,1901-1914"
ДАТО-485-1-16,1904-1943,1904-1944
ДАТО-485-1-25,1876-1896,"1876-1894,1896-1899"
ДАТО-485-1-26,1876-1896,"1876-1894,1896-1900"
ДАТО-426-1-11,1914-1914,"1914-1914,1933-1935"
ДАТО-426-2-61,1907-1907,"1905-1905,1907-1907"
ДАТО-426-2-65,1914-1914,"1901-1901,1914-1914"
ДАТО-426-2-66,1916-1916,"1904-1904,1916-1916"
ДАТО-426-1-203,1937-1937,"1902-1908,1937-1937"
ДАТО-426-1-233,1890-1894,"1890-1891,1894-1895"
ДАТО-426-1-236,1901-1904,"1901-1902,1904-1906"
ДАТО-487-1-8,1874-1892,"1874-1882,1889-1890,1892-1900"
ДАТО-487-1-49,1864-1883,"1864-1873,1883-1892"
ДАТО-487-1-55,1874-1897,"1874-1890,1894-1895,1897-1901"
ДАТО-487-1-74,1873-1889,"1873-1883,1885-1887,1889-1910"
ДАТО-487-1-99,1866-1884,"1866-1882,1884-1897"
ДАТО-487-1-170,1829-1865,"1829-1860,1865-1884"
ДАТО-487-1-205,1874-1904,"1874-1902,1904-1913"
ДАТО-487-1-208,1897-1917,"1897-1897,1899-1900,1903-1920"
ДАТО-487-1-260,1840-1881,"1840-1859,1881-1894"
ДАТО-487-1-386,1872-1879,"1872-1877,1879-1882"
ДАТО-487-1-413,1864-1895,"1864-1886,1895-1914"
ДАТО-487-1-421,1874-1908,"1874-1903,1908-1914"
ДАТО-484-1-4,1872-1872,1871-1872
ДАТО-484-1-24,1883-1883,1883-1884
ДАТО-484-1-29,1886-1886,1886-1887
ДАТО-484-1-37,1892-1892,1892-1893
