archive,code,fond,inventory,file,title,tags,years
ДАВіО,904-13-55,904,13,55,"Метрична книга. Свято-Воскресенська церква, с. Бондурі Липовецького пов. Київської губ.",метрична книга|народження|шлюб|смерть,1888-1896
ДАВіО,904-25-86,904,25,86,"Метрична книга. Різдво-Богородицька церква, м. Китайгород Липовецького пов. Київської губ.",метрична книга|народження|шлюб|смерть,"1902-1903,1908-1915"
ДАВіО,904-2-21,904,2,21,"Дошлюбні опитування. Свято-Успенська церква, с. Волоські Махаринці Бердичівського пов. Київської губ.",,"1838-1838,1841-1841,1853-1859,1861-1861,1864-1871"
ДАВіО,904-2-21А,904,2,21А,"Дошлюбні опитування. Свято-Успенська церква, с. Волоські Махаринці Бердичівського пов. Київської губ.",,
ДАВіО,904-2-279,904,2,279,"Метрична книга. Свято-Лукінська церква, м. Козятин Бердичівського пов. Київської губ.",метрична книга|народження|шлюб|смерть,1910-1910
ДАВіО,904-2-109,904,2,109,"Метрична книга. Свято-Троїцька церква, с. Пузирки Бердичівського пов. Київської губ.",метрична книга|народження,
ДАВіО,904-20-73,904,20,73,"Метрична книга. Свято-Параскевська церква, с. Брицьке Бердичівського пов. Київської губ.",метрична книга|народження|шлюб|смерть,"1909-1914,1916-1917"
ДАВіО,904-20-25,904,20,25,"Метрична книга. Іоанно-Богословська церква, с. Костянтинівка Бердичівського пов. Київської губ.",метрична книга|народження|шлюб|смерть,"1889-1891,1894-1899"
ДАВіО,904-20-105,904,20,105,"Метрична книга. Іоанно-Богословська церква, с. Лосіївка Липовецького пов. Київської губ.",метрична книга|народження|шлюб|смерть,1912-1912
ДАВіО,904-20-109,904,20,109,"Метрична книга. Свято-Преображенська церква, с. Стара Прилука Бердичівського пов. Київської губ.",метрична книга|народження|шлюб|смерть,1915-1915
ДАВіО,904-16-82,904,16,82,"Метрична книга. Свято-Миколаївський собор, м. Літин Літинського пов. Подільської губ.",метрична книга|народження|шлюб|розлучення|смерть,1921-1922
ДАВіО,116-1-26,116,1,26,"Дошлюбні опитування. Свято-Богородицька церква, с. Криківці Брацлавського пов. Подільської губ.",,1803-1803
ДАВіО,116-1-27,116,1,27,"Дошлюбні опитування. Свято-Богородицька церква, с. Криківці Брацлавського пов. Подільської губ.",,1853-1875
ДАВіО,116-1-28,116,1,28,"Дошлюбні опитування. Свято-Богородицька церква, с. Криківці Брацлавського пов. Подільської губ.",,1857-1857
ДАВіО,116-1-29,116,1,29,"Дошлюбні опитування. Свято-Богородицька церква, с. Криківці Брацлавського пов. Подільської губ.",,1858-1858
ДАВіО,116-1-30,116,1,30,"Дошлюбні опитування. Свято-Богородицька церква, с. Криківці Брацлавського пов. Подільської губ.",,1871-1871
ДАВіО,116-1-31,116,1,31,"Дошлюбні опитування. Свято-Богородицька церква, с. Криківці Брацлавського пов. Подільської губ.",,1876-1893
ДАВіО,116-1-32,116,1,32,"Дошлюбні опитування. Свято-Богородицька церква, с. Криківці Брацлавського пов. Подільської губ.",,1880-1880
ДАВіО,116-1-33,116,1,33,"Дошлюбні опитування. Свято-Богородицька церква, с. Криківці Брацлавського пов. Подільської губ.",,1894-1903
ДАВіО,116-1-34,116,1,34,"Дошлюбні опитування. Свято-Богородицька церква, с. Криківці Брацлавського пов. Подільської губ.",,1894-1894
ДАВіО,116-1-35,116,1,35,"Дошлюбні опитування. Свято-Богородицька церква, с. Криківці Брацлавського пов. Подільської губ.",,1901-1907
ДАВіО,116-1-36,116,1,36,"Дошлюбні опитування. Свято-Богородицька церква, с. Криківці Брацлавського пов. Подільської губ.",,1907-1907
ДАВіО,116-1-37,116,1,37,"Дошлюбні опитування. Свято-Богородицька церква, с. Криківці Брацлавського пов. Подільської губ.",,1909-1914
ДАВіО,116-1-38,116,1,38,"Дошлюбні опитування. Свято-Богородицька церква, с. Криківці Брацлавського пов. Подільської губ.",,1914-1914
