full_code,tags
ДАВіО-904-12-7,метрична книга|народження|шлюб|смерть
ДАВіО-904-12-10,метрична книга|народження|шлюб|смерть
ДАВіО-904-20-85,метрична книга|народження|шлюб|смерть
ДАВіО-904-32-14,метрична книга|смерть
ДАВіО-904-1-85,метрична книга|смерть
ДАВіО-737-1-88,метрична книга|смерть
ДАВіО-904-29-91,метрична книга|народження|шлюб|розлучення|смерть
ДАВіО-407-1-107,метрична книга|шлюб
ДАВіО-904-30-129,метрична книга|шлюб
ДАВіО-904-30-147,метрична книга|розлучення
ДАВіО-904-30-148,метрична книга|розлучення
ДАВіО-904-30-163,метрична книга|смерть
ДАВіО-904-30-168,метрична книга|смерть
ДАВіО-904-30-177,метрична книга|смерть
ДАВіО-400-1-66,метрична книга|смерть
ДАВіО-904-29-6,метрична книга|народження
ДАВіО-904-29-48,метрична книга|народження
ДАВіО-904-29-9,метрична книга|шлюб
ДАВіО-904-29-17,метрична книга|шлюб
ДАВіО-904-29-84,метрична книга|розлучення
ДАВіО-904-29-43,метрична книга|смерть
ДАВіО-904-30-7,метрична книга|народження
ДАВіО-904-30-109,метрична книга|народження
ДАВіО-904-30-200,метрична книга|смерть
ДАВіО-904-29-163,метрична книга|шлюб
ДАВіО-904-26-174,метрична книга|народження
