full_code,title
ДАВіО-904-12-108,"Метрична книга. Свято-Успенська церква, м. Бар Могилівського пов. Подільської губ."
ДАВіО-904-12-116,"Метрична книга. Свято-Успенська церква, м. Бар Могилівського пов. Подільської губ."
ДАВіО-904-12-5,"Метрична книга. Свято-Георгіївська церква, с. Васютинці Літинського пов. Подільської губ."
ДАВіО-904-12-41,"Метрична книга. Свято-Георгіївська церква, с. Васютинці Літинського пов. Подільської губ."
ДАВіО-904-12-59,"Метрична книга. Свято-Георгіївська церква, с. Васютинці Літинського пов. Подільської губ."
ДАВіО-904-12-90,"Метрична книга. Свято-Георгіївська церква, с. Васютинці Літинського пов. Подільської губ."
ДАВіО-904-12-121,"Метрична книга. Свято-Михайлівська церква, с. Волоські Чемериси Могилівського пов. Подільської губ."
ДАВіО-904-12-60,"Метрична книга. Свято-Михайлівська церква, с. Волоські Чемериси Могилівського пов. Подільської губ."
ДАВіО-904-12-95,"Метрична книга. Свято-Михайлівська церква, с. Волоські Чемериси Могилівського пов. Подільської губ."
ДАВіО-904-12-96,"Метрична книга. Свято-Богословська церква, с. Гармаки Летичівського пов. Подільської губ."
ДАВіО-904-12-23,"Метрична книга. Свято-Михайлівська церква, с. Голодьки Літинського пов. Подільської губ."
ДАВіО-904-12-40,"Метрична книга. Свято-Михайлівська церква, с. Голодьки Літинського пов. Подільської губ."
ДАВіО-904-12-76,"Метрична книга. Свято-Михайлівська церква, с. Голодьки Літинського пов. Подільської губ."
ДАВіО-904-12-102,"Метрична книга. Свято-Михайлівська церква, с. Голодьки Літинського пов. Подільської губ."
ДАВіО-904-12-32,"Метрична книга. Свято-Воздвиженська церква, с. Гулі Ушицького пов. Подільської губ."
ДАВіО-904-12-3,"Метрична книга. Свято-Георгіївська церква, с. Каришків Могилівського пов. Подільської губ."
ДАВіО-904-12-29,"Метрична книга. Свято-Георгіївська церква, с. Каришків Могилівського пов. Подільської губ."
ДАВіО-904-12-91,"Метрична книга. Свято-Георгіївська церква, с. Каришків Могилівського пов. Подільської губ."
ДАВіО-904-12-111,"Метрична книга. Свято-Георгіївська церква, с. Каришків Могилівського пов. Подільської губ."
ДАВіО-904-12-52,"Метрична книга. Свято-Богородицька церква, м. Копайгород Могилівського пов. Подільської губ."
ДАВіО-904-12-66,"Метрична книга. Свято-Богородицька церква, м. Копайгород Могилівського пов. Подільської губ."
ДАВіО-904-12-86,"Метрична книга. Свято-Богородицька церква, м. Копайгород Могилівського пов. Подільської губ."
ДАВіО-904-12-109,"Метрична книга. Свято-Богородицька церква, м. Копайгород Могилівського пов. Подільської губ."
ДАВіО-904-12-119,"Метрична книга. Свято-Богородицька церква, м. Копайгород Могилівського пов. Подільської губ."
ДАВіО-904-12-120,"Метрична книга. Свято-Богородицька церква, м. Копайгород Могилівського пов. Подільської губ."
ДАВіО-904-12-122,"Метрична книга. Свято-Богородицька церква, м. Копайгород Могилівського пов. Подільської губ."
ДАВіО-904-12-14,"Метрична книга. Свято-Троїцька церква, с. Кошаринці Могилівського пов. Подільської губ."
ДАВіО-904-12-22,"Метрична книга. Свято-Троїцька церква, с. Кошаринці Могилівського пов. Подільської губ."
ДАВіО-904-12-42,"Метрична книга. Свято-Троїцька церква, с. Кошаринці Могилівського пов. Подільської губ."
ДАВіО-904-12-55,"Метрична книга. Свято-Троїцька церква, с. Кошаринці Могилівського пов. Подільської губ."
ДАВіО-904-12-80,"Метрична книга. Свято-Троїцька церква, с. Кошаринці Могилівського пов. Подільської губ."
ДАВіО-904-12-94,"Метрична книга. Свято-Троїцька церква, с. Кошаринці Могилівського пов. Подільської губ."
ДАВіО-904-12-2,"Метрична книга. Свято-Богословська церква, с. Кузьминці Могилівського пов. Подільської губ."
ДАВіО-904-12-13,"Метрична книга. Свято-Богословська церква, с. Кузьминці Могилівського пов. Подільської губ."
ДАВіО-904-12-30,"Метрична книга. Свято-Богословська церква, с. Кузьминці Могилівського пов. Подільської губ."
ДАВіО-904-12-75,"Метрична книга. Свято-Богословська церква, с. Кузьминці Могилівського пов. Подільської губ."
ДАВіО-904-12-8,"Метрична книга. Свято-Михайлівська церква, с. Лісові Бирлинці Могилівського пов. Подільської губ."
ДАВіО-904-12-17,"Метрична книга. Свято-Михайлівська церква, с. Лісові Бирлинці Могилівського пов. Подільської губ."
ДАВіО-904-12-56,"Метрична книга. Свято-Михайлівська церква, с. Лісові Бирлинці Могилівського пов. Подільської губ."
ДАВіО-904-12-84,"Метрична книга. Свято-Михайлівська церква, с. Лісові Бирлинці Могилівського пов. Подільської губ."
ДАВіО-904-12-105,"Метрична книга. Свято-Михайлівська церква, с. Лісові Бирлинці Могилівського пов. Подільської губ."
ДАВіО-904-12-7,"Метрична книга. Свято-Покровська церква, с. Лука-Барська Літинського пов. Подільської губ."
ДАВіО-904-12-16,"Метрична книга. Свято-Покровська церква, с. Лука-Барська Літинського пов. Подільської губ."
ДАВіО-904-12-28,"Метрична книга. Свято-Покровська церква, с. Лука-Барська Літинського пов. Подільської губ."
ДАВіО-904-12-36,"Метрична книга. Свято-Покровська церква, с. Лука-Барська Літинського пов. Подільської губ."
ДАВіО-904-12-58,"Метрична книга. Свято-Покровська церква, с. Лука-Барська Літинського пов. Подільської губ."
ДАВіО-904-12-64,"Метрична книга. Свято-Покровська церква, с. Лука-Барська Літинського пов. Подільської губ."
ДАВіО-904-12-69,"Метрична книга. Свято-Покровська церква, с. Лука-Барська Літинського пов. Подільської губ."
ДАВіО-904-12-89,"Метрична книга. Свято-Покровська церква, с. Лука-Барська Літинського пов. Подільської губ."
ДАВіО-904-12-97,"Метрична книга. Свято-Покровська церква, с. Лука-Барська Літинського пов. Подільської губ."
ДАВіО-904-12-12,"Метрична книга. Свято-Параскевська церква, с. Мальчівці Літинського пов. Подільської губ."
ДАВіО-904-12-19,"Метрична книга. Свято-Параскевська церква, с. Мальчівці Літинського пов. Подільської губ."
ДАВіО-904-12-45,"Метрична книга. Свято-Параскевська церква, с. Мальчівці Літинського пов. Подільської губ."
ДАВіО-904-12-77,"Метрична книга. Свято-Параскевська церква, с. Мальчівці Літинського пов. Подільської губ."
ДАВіО-904-12-103,"Метрична книга. Свято-Параскевська церква, с. Мальчівці Літинського пов. Подільської губ."
ДАВіО-904-12-113,"Метрична книга. Свято-Параскевська церква, с. Мальчівці Літинського пов. Подільської губ."
ДАВіО-904-12-10,"Метрична книга. Свято-Покровська церква, с. Маньківці Літинського пов. Подільської губ."
ДАВіО-904-12-18,"Метрична книга. Свято-Покровська церква, с. Маньківці Літинського пов. Подільської губ."
ДАВіО-904-12-38,"Метрична книга. Свято-Покровська церква, с. Маньківці Літинського пов. Подільської губ."
ДАВіО-904-12-49,"Метрична книга. Свято-Покровська церква, с. Маньківці Літинського пов. Подільської губ."
ДАВіО-904-12-78,"Метрична книга. Свято-Покровська церква, с. Маньківці Літинського пов. Подільської губ."
ДАВіО-904-12-101,"Метрична книга. Свято-Покровська церква, с. Маньківці Літинського пов. Подільської губ."
ДАВіО-904-12-26,"Метрична книга. Свято-Покровська церква, с. Маньківці Літинського пов. Подільської губ."
ДАВіО-904-12-25,"Метрична книга. Свято-Покровська церква, с. Мар’янівка Могилівського пов. Подільської губ."
ДАВіО-904-12-46,"Метрична книга. Свято-Покровська церква, с. Мар’янівка Могилівського пов. Подільської губ."
ДАВіО-904-12-112,"Метрична книга. Свято-Покровська церква, с. Мар’янівка Могилівського пов. Подільської губ."
ДАВіО-904-12-37,"Метрична книга. Свято-Преображенська церква, с. Мигалівці Могилівського пов. Подільської губ."
ДАВіО-904-12-53,"Метрична книга. Свято-Преображенська церква, с. Мигалівці Могилівського пов. Подільської губ."
ДАВіО-904-12-63,"Метрична книга. Свято-Преображенська церква, с. Мигалівці Могилівського пов. Подільської губ."
ДАВіО-904-12-83,"Метрична книга. Свято-Преображенська церква, с. Мигалівці Могилівського пов. Подільської губ."
ДАВіО-904-12-34,"Метрична книга. Свято-Параскевська церква, с. Польові Бирлинці Могилівського пов. Подільської губ. Державний архів Вінницької області"
ДАВіО-904-12-57,"Метрична книга. Свято-Параскевська церква, с. Польові Бирлинці Могилівського пов. Подільської губ. Державний архів Вінницької області"
ДАВіО-904-12-4,"Метрична книга. Свято-Успенська церква, с. Попівці Могилівського пов. Подільскої губ."
ДАВіО-904-12-20,"Метрична книга. Свято-Успенська церква, с. Попівці Могилівського пов. Подільскої губ."
ДАВіО-904-12-24,"Метрична книга. Свято-Успенська церква, с. Попівці Могилівського пов. Подільскої губ."
ДАВіО-904-12-43,"Метрична книга. Свято-Успенська церква, с. Попівці Могилівського пов. Подільскої губ."
ДАВіО-904-12-51,"Метрична книга. Свято-Успенська церква, с. Попівці Могилівського пов. Подільскої губ."
ДАВіО-904-12-68,"Метрична книга. Свято-Успенська церква, с. Попівці Могилівського пов. Подільскої губ."
ДАВіО-904-12-85,"Метрична книга. Свято-Успенська церква, с. Попівці Могилівського пов. Подільскої губ."
ДАВіО-904-12-107,"Метрична книга. Свято-Успенська церква, с. Попівці Могилівського пов. Подільскої губ."
ДАВіО-904-12-47,"Метрична книга. Свято-Різдво-Богородицька церква, с. Слобода-Ялтушківська Могилівського пов. Подільської губ."
ДАВіО-904-12-62,"Метрична книга. Свято-Різдво-Богородицька церква, с. Слобода-Ялтушківська Могилівського пов. Подільської губ."
ДАВіО-904-12-87,"Метрична книга. Свято-Різдво-Богородицька церква, с. Слобода-Ялтушківська Могилівського пов. Подільської губ."
ДАВіО-904-12-106,"Метрична книга. Свято-Різдво-Богородицька церква, с. Слобода-Ялтушківська Могилівського пов. Подільської губ."
ДАВіО-904-12-114,"Метрична книга. Свято-Різдво-Богородицька церква, с. Слобода-Ялтушківська Могилівського пов. Подільської губ."
ДАВіО-904-12-15,"Метрична книга. Свято-Іоанно-Богословська церква, с. Супівка Могилівського пов. Подільської губ."
ДАВіО-904-12-31,"Метрична книга. Свято-Іоанно-Богословська церква, с. Супівка Могилівського пов. Подільської губ."
ДАВіО-904-12-61,"Метрична книга. Свято-Іоанно-Богословська церква, с. Супівка Могилівського пов. Подільської губ."
ДАВіО-904-12-82,"Метрична книга. Свято-Іоанно-Богословська церква, с. Супівка Могилівського пов. Подільської губ."
ДАВіО-904-12-98,"Метрична книга. Свято-Іоанно-Богословська церква, с. Супівка Могилівського пов. Подільської губ."
ДАВіО-904-12-35,"Метрична книга. Свято-Покровська церква, с. Ходаки Літинського пов. Подільської губ."
ДАВіО-904-12-79,"Метрична книга. Свято-Покровська церква, с. Ходаки Літинського пов. Подільської губ."
ДАВіО-904-12-93,"Метрична книга. Свято-Покровська церква, с. Ходаки Літинського пов. Подільської губ."
ДАВіО-904-13-40,"Метрична книга. Свято-Миколаївська церква, с. Гранів Гайсинського пов. Подільської губ."
ДАВіО-904-13-13,"Метрична книга. Свято-Миколаївська церква, с. Зятківці Гайсинського пов. Подільської губ."
ДАВіО-904-13-43,"Метрична книга. Свято-Миколаївська церква, с. Зятківці Гайсинського пов. Подільської губ."
ДАВіО-904-13-63,"Метрична книга. Свято-Миколаївська церква, с. Зятківці Гайсинського пов. Подільської губ."
ДАВіО-904-13-85,"Метрична книга. Свято-Миколаївська церква, с. Зятківці Гайсинського пов. Подільської губ."
ДАВіО-904-5-7,"Метрична книга. Різдво-Богородицька церква, м. Іллінці Липовецького пов. Київської губ. Державний архів Вінницької області"
ДАВіО-904-2-30,"Метрична книга. Іоанно-Богословська церква, с. Вовчинець Бердичівського пов. Київської губ."
ДАВіО-904-2-218,"Метрична книга. Свято-Михайлівська церква, с. Вуйна (Перемога) Бердичівського пов. Київської губ."
ДАВіО-904-2-243,"Метрична книга. Свято-Михайлівська церква, с. Вуйна (Перемога) Бердичівського пов. Київської губ."
ДАВіО-904-2-289,"Метрична книга. Свято-Михайлівська церква, с. Вуйна (Перемога) Бердичівського пов. Київської губ."
ДАВіО-904-2-328,"Метрична книга. Свято-Михайлівська церква, с. Вуйна (Перемога) Бердичівського пов. Київської губ."
ДАВіО-904-2-222,"Метрична книга. Іоанно-Богословська церква, с. Журбинці Бердичівського пов. Київської губ."
ДАВіО-904-2-303,"Метрична книга. Іоанно-Богословська церква, с. Журбинці Бердичівського пов. Київської губ."
ДАВіО-904-2-48,"Метрична книга. Успенська церква, с. Збараж Бердичівського пов. Київської губ."
ДАВіО-904-2-64,"Метрична книга. Михайлівська церква, с. Кашперівка Бердичівського пов. Київської губ. Міжархівний довідник"
ДАВіО-904-2-66,"Метрична книга. Михайлівська церква, с. Кашперівка Бердичівського пов. Київської губ. Міжархівний довідник"
ДАВіО-904-2-172,"Метрична книга. Михайлівська церква, с. Кашперівка Бердичівського пов. Київської губ. Міжархівний довідник"
ДАВіО-904-2-231А,"Метрична книга. Михайлівська церква, с. Кашперівка Бердичівського пов. Київської губ. Міжархівний довідник"
ДАВіО-904-2-312,"Метрична книга. Михайлівська церква, с. Кашперівка Бердичівського пов. Київської губ. Міжархівний довідник"
ДАВіО-904-2-63,"Метрична книга. Михайлівська церква, с. Кашперівка Бердичівського пов. Київської губ. Міжархівний довідник"
ДАВіО-904-2-65,"Метрична книга. Михайлівська церква, с. Кашперівка Бердичівського пов. Київської губ. Міжархівний довідник"
ДАВіО-904-16-6,"Метрична книга. Свято-Покровська церква, с. Дяківці Літинського пов. Подільської губ."
ДАВіО-904-16-17,"Метрична книга. Свято-Покровська церква, с. Дяківці Літинського пов. Подільської губ."
ДАВіО-904-16-47,"Метрична книга. Свято-Покровська церква, с. Дяківці Літинського пов. Подільської губ."
ДАВіО-904-16-50,"Метрична книга. Свято-Покровська церква, с. Дяківці Літинського пов. Подільської губ."
ДАВіО-904-16-55,"Метрична книга. Свято-Покровська церква, с. Дяківці Літинського пов. Подільської губ."
ДАВіО-904-16-64,"Метрична книга. Свято-Покровська церква, с. Дяківці Літинського пов. Подільської губ."
ДАВіО-904-16-65,"Метрична книга. Свято-Покровська церква, с. Дяківці Літинського пов. Подільської губ."
ДАВіО-904-16-2,"Метрична книга. Свято-Успенська церква, с. Івча Літинського пов. Подільської губ."
ДАВіО-904-18-44,"Метрична книга. Чудо-Михайлівська церква, с. Селище Брацлавського пов. Подільської губ."
ДАВіО-904-1-64,"Метрична книга. Різдво-Богородицька церква, с. Андрушівка Липовецького пов."
ДАВіО-904-1-185,"Метрична книга. Різдво-Богородицька церква, с. Андрушівка Липовецького пов."
ДАВіО-904-1-187,"Метрична книга. Різдво-Богородицька церква, с. Андрушівка Липовецького пов."
ДАВіО-904-1-188,"Метрична книга. Різдво-Богородицька церква, с. Андрушівка Липовецького пов."
ДАВіО-904-1-189,"Метрична книга. Різдво-Богородицька церква, с. Андрушівка Липовецького пов."
ДАВіО-904-32-35,"Метрична книга. Різдво-Богородицька церква, с. Андрушівка Липовецького пов."
ДАВіО-904-32-36,"Метрична книга. Різдво-Богородицька церква, с. Андрушівка Липовецького пов."
ДАВіО-904-32-91,"Метрична книга. Різдво-Богородицька церква, с. Андрушівка Липовецького пов."
