full_code,db_before,catalog
ДАВіО-904-2-100,1882-1918,"1882-1891,1912-1916,1918-1920"
ДАВіО-904-12-95,1910-1919,"1910-1914,1919-1921"
ДАВіО-904-12-94,1910-1918,"1910-1912,1914-1916,1918-1920"
ДАВіО-904-12-92,1909-1913,"1909-1913,1916-1916"
ДАВіО-904-21-76,1910-1916,"1910-1914,1916-1921"
ДАВіО-904-21-98,1829-1835,"1829-1833,1835-1849"
ДАВіО-904-13-132,1897-1902,"1897-1900,1902-1908"
ДАВіО-904-13-193,1914-1919,"1914-1917,1919-1920"
ДАВіО-904-25-43,1892-1892,1892-1893
ДАВіО-904-25-79,1876-1906,"1876-1876,1900-1902,1906-1918"
ДАВіО-904-25-69,1876-1905,"1876-1876,1900-1903,1905-1907"
ДАВіО-904-25-111,1912-1917,"1912-1914,1917-1920"
ДАВіО-904-25-1,1875-1889,"1875-1887,1889-1894"
ДАВіО-904-25-88,1902-1907,"1902-1903,1907-1909"
ДАВіО-904-5-7,1886-1886,"1880-1880,1886-1886"
ДАВіО-904-25-30,1886-1893,"1886-1886,1888-1889,1891-1891,1893-1899"
ДАВіО-904-25-4,1876-1897,"1876-1882,1884-1899"
ДАВіО-904-25-72,1900-1912,"1900-1903,1906-1910,1912-1918"
ДАВіО-904-25-77,1901-1910,"1901-1903,1905-1918"
ДАВіО-904-25-74,1900-1906,"1900-1903,1906-1908"
ДАВіО-904-25-75,1900-1905,"1900-1903,1905-1907"
ДАВіО-904-25-99,1908-1919,"1908-1912,1914-1914,1919-1920"
ДАВіО-904-25-10,1880-1891,"1880-1889,1891-1899"
ДАВіО-904-25-83,1901-1907,"1901-1903,1907-1911"
ДАВіО-904-25-16,1880-1887,"1880-1885,1887-1897"
ДАВіО-904-25-78,1900-1906,"1900-1904,1906-1910"
ДАВіО-904-14-14,1881-1884,"1881-1882,1884-1891"
ДАВіО-904-14-32,1895-1905,"1895-1899,1901-1903,1905-1906"
ДАВіО-904-14-22,1888-1894,"1888-1891,1894-1897"
ДАВіО-904-14-34,1898-1904,"1898-1899,1901-1902,1904-1906"
ДАВіО-904-14-23,1888-1894,"1888-1891,1894-1897"
ДАВіО-904-14-35,1898-1904,"1898-1902,1904-1906"
ДАВіО-904-14-24,1889-1894,"1889-1890,1894-1900"
ДАВіО-904-14-42,1901-1904,"1901-1902,1904-1906"
ДАВіО-904-14-28,1891-1894,"1891-1892,1894-1897"
ДАВіО-904-14-37,1898-1904,"1898-1899,1901-1902,1904-1905"
ДАВіО-904-14-40,1900-1904,"1900-1902,1904-1906"
ДАВіО-904-14-25,1890-1894,"1890-1891,1894-1897"
ДАВіО-904-14-38,1898-1904,"1898-1899,1901-1902,1904-1905"
ДАВіО-904-14-33,1897-1904,"1897-1899,1901-1902,1904-1905"
ДАВіО-904-2-149,1890-1894,"1890-1891,1894-1896"
ДАВіО-904-2-30,1881-1889,"1838-1862,1881-1885,1889-1889"
ДАВіО-904-2-151,1890-1894,"1890-1891,1894-1904"
ДАВіО-904-2-26,1890-1894,"1890-1892,1894-1899"
ДАВіО-904-2-145,1888-1906,1888-1907
ДАВіО-904-2-150,1890-1894,"1890-1891,1894-1898"
ДАВіО-904-2-40,1852-1862,"1852-1860,1862-1912"
ДАВіО-904-2-303,1913-1917,"1913-1915,1917-1918"
ДАВіО-904-2-140,1890-1894,"1890-1892,1894-1896"
ДАВіО-904-2-54,1869-1875,1869-1882
ДАВіО-904-2-231А,1905-1920,"1905-1911,1919-1922"
ДАВіО-904-2-158,1890-1897,"1890-1891,1894-1894,1897-1901"
ДАВіО-904-2-255,1907-1914,"1907-1908,1910-1912,1914-1917"
ДАВіО-904-2-310,1913-1915,1913-1917
ДАВіО-904-2-159,1890-1894,"1890-1892,1894-1904"
ДАВіО-904-2-99,1881-1894,"1881-1885,1889-1892,1894-1897"
ДАВіО-904-2-102,1881-1889,"1881-1885,1889-1891"
ДАВіО-904-2-138,1883-1894,"1883-1885,1888-1891,1894-1899"
