full_code,title
ДАВоО-193-1-55,"Метрична книга. Церква Святого Архістратига Михаїла, с. Бережці Бережцівської вол. Володимир-Волинського пов."
ДАВоО-35-9-1230,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Бережці Бережцівської вол. Володимир-Волинського пов."
ДАВоО-35-9-1231,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Бережці Бережцівської вол. Володимир-Волинського пов."
ДАВоО-195-1-11,"Метрична книга. Церква Покрову Пресвятої Богородиці, с. Велимче Датинської вол. Ковельського пов."
ДАВоО-297-1-17,"Метрична книга. Церква Святої Трійці, с. Верба Вербської вол. Дубенського пов."
ДАВоО-195-1-7,"Метрична книга. Церква Різдва Пресвятої Богородиці, с. Вербичне Турійської вол. Ковельського пов."
ДАВоО-195-1-22,"Метрична книга. Церква Святого Миколая, с. Ветли Великоглушанської вол. Ковельського пов."
ДАВоО-195-1-18,"Метрична книга. Церква Різдва Пресвятої Богородиці, с. Видерта Великоглушанської вол. Ковельського пов."
ДАВоО-35-9-1232,"Метрична книга. Церква Святих безсрібників Кузьми і Дем’яна, с. Вишнів Любомльської вол. Володимир–Волинського пов."
ДАВоО-35-9-1233,"Метрична книга. Церква Святих безсрібників Кузьми і Дем’яна, с. Вишнів Любомльської вол. Володимир–Волинського пов."
ДАВоО-35-9-1234,"Метрична книга. Церква Святих безсрібників Кузьми і Дем’яна, с. Вишнів Любомльської вол. Володимир–Волинського пов."
ДАВоО-297-1-23,"Метрична книга. Церква Святого Іоанна Богослова, с. Волоське Дедеркальської вол. Кременецького пов."
ДАВоО-22-1-47А,"Метрична книга. Церква Воскресіння Христового, с. Гірка Полонка Полонківської вол. Луцького пов."
ДАВоО-35-9-1227,"Метрична книга. Церква Святої Трійці, с. Головне Головненської вол. Володимир–Волинського пов."
ДАВоО-35-9-1228,"Метрична книга. Церква Святої Трійці, с. Головне Головненської вол. Володимир–Волинського пов."
ДАВоО-35-9-1229,"Метрична книга. Церква Святої Трійці, с. Головне Головненської вол. Володимир–Волинського пов."
ДАВоО-35-9-1235,"Метрична книга. Церква Святого Апостола і Євангеліста Луки, с. Городне Головненської вол. Володимир-Волинського пов. Міжархівний довідник"
ДАВоО-35-9-1236,"Метрична книга. Церква Святого Апостола і Євангеліста Луки, с. Городне Головненської вол. Володимир-Волинського пов. Міжархівний довідник"
ДАВоО-35-9-1237,"Метрична книга. Церква Святого Апостола і Євангеліста Луки, с. Городне Головненської вол. Володимир-Волинського пов. Міжархівний довідник"
ДАВоО-35-9-1238,"Метрична книга. Церква Преображення Господнього, с. Гуща Гущанської вол. ВолодимирВолинського пов."
ДАВоО-195-1-12,"Метрична книга. Церква Покрову Пресвятої Богородиці, с. Жиричі Заболоттівської вол. Ковельського пов."
ДАВоО-195-1-9,"Метрична книга. Церква Покрову Пресвятої Богородиці, с. Жиричі Заболоттівської вол. Ковельського пов."
ДАВоО-195-1-17,"Метрична книга. Церква Хресто-Воздвиженська, с. Заболоття Заболоттівської вол. Ковельського пов."
ДАВоО-35-2-570,"Метрична книга. Церква Хресто-Воздвиженська, с. Заболоття Заболоттівської вол. Ковельського пов."
ДАВоО-35-2-571,"Метрична книга. Церква Святого Іоанна Богослова, с. Забріддя Гірниківської вол. Ковельського пов."
ДАВоО-195-1-16,"Метрична книга. Церква Святого Іоанна Богослова, с. Забріддя Гірниківської вол. Ковельського пов."
ДАВоО-35-2-572,"Метрична книга. Церква Святого великомученика Димитрія, с. Задиби Турійської вол. Ковельського пов."
ДАВоО-35-2-573,"Метрична книга. Церква Святої великомучениці Параскеви, с. Заліси Заболоттівської вол. Ковельського пов."
ДАВоО-35-2-574,"Метрична книга. Церква Святого Архістратига Михаїла, с. Замшани Датинської вол. Ковельського пов."
ДАВоО-35-2-575,"Метрична книга. Церква Святого Архістратига Михаїла, с. Зачернеччя Мацеївської вол. Ковельського пов."
ДАВоО-35-2-576,"Метрична книга. Церква Різдва Пресвятої Богородиці, с. Здомишель Заболоттівської вол. Ковельського пов."
ДАВоО-297-1-198,"Метрична книга. Церква Святого Архістратига Михаїла, с. Карасин Городківської вол. Луцького пов. Державний архів Волинської області"
