full_code,db_before,catalog
ДАВоО-35-9-1139,1882-1920,"1882-1882,1915-1918,1920-1921"
ДАВоО-35-9-1004,1911-1921,"1911-1914,1921-1923"
ДАВоО-35-9-1180,1871-1922,"1871-1884,1922-1923"
ДАВоО-35-9-865,1906-1922,"1906-1909,1922-1923"
ДАВоО-35-9-2808,1918-1929,"1918-1919,1922-1923,1928-1932"
ДАВоО-35-3-2,1838-1862,"1838-1844,1846-1857,1862-1870"
ДАВоО-35-9-893,1912-1919,"1912-1915,1919-1924"
ДАВоО-35-9-2510,1913-1919,"1913-1915,1919-1921"
ДАВоО-35-9-858,1910-1921,"1910-1915,1921-1923"
ДАВоО-35-9-908,1911-1920,"1911-1915,1920-1921"
ДАВоО-35-9-515,1886-1895,"1886-1886,1889-1889,1891-1892,1895-1896"
ДАВоО-35-9-707,1901-1907,"1901-1904,1907-1909"
ДАВоО-35-9-240,1885-1895,"1885-1885,1887-1888,1891-1892,1895-1896"
ДАВоО-35-9-241,1889-1894,"1889-1890,1892-1892,1894-1895"
ДАВоО-35-9-819,1901-1907,"1901-1904,1907-1909"
ДАВоО-35-9-1450,1910-1922,"1910-1912,1914-1914,1922-1923"
ДАВоО-35-9-445,1902-1906,"1902-1904,1906-1907"
ДАВоО-35-9-1295,1910-1922,"1910-1914,1922-1923"
ДАВоО-35-9-785,1901-1906,"1901-1904,1906-1908"
ДАВоО-35-9-839,1910-1919,"1910-1915,1919-1924"
ДАВоО-35-9-440,1888-1894,"1888-1889,1892-1892,1894-1895"
ДАВоО-35-9-588,1902-1913,"1902-1904,1906-1910,1913-1914"
ДАВоО-35-9-1643,1919-1928,"1919-1922,1928-1929"
ДАВоО-35-9-1888,1908-1920,"1908-1915,1920-1921"
ДАВоО-35-2-953А,1909-1918,"1909-1915,1918-1921"
ДАВоО-35-9-459,1902-1906,"1902-1904,1906-1907"
ДАВоО-35-9-1023,1912-1920,1912-1922
ДАВоО-35-9-712,1902-1906,"1902-1904,1906-1908"
ДАВоО-35-9-713,1902-1908,"1902-1904,1906-1906,1908-1910"
ДАВоО-35-9-591,1902-1906,"1902-1904,1906-1910"
ДАВоО-35-9-1030,1911-1922,"1911-1914,1922-1923"
ДАВоО-35-9-592,1902-1906,"1902-1904,1906-1908"
ДАВоО-35-9-1314,1910-1921,"1910-1913,1921-1922"
ДАВоО-35-9-12,1863-1884,"1863-1874,1884-1893"
ДАВоО-35-9-1318,1912-1920,"1912-1915,1919-1921"
ДАВоО-35-9-656,1903-1911,"1903-1909,1911-1913"
ДАВоО-35-9-710,1904-1921,"1904-1914,1921-1922"
ДАВоО-35-9-1321,1913-1922,"1913-1914,1921-1923"
ДАВоО-35-9-261,1885-1888,"1885-1886,1888-1894"
ДАВоО-35-9-132,1897-1904,"1897-1901,1904-1906"
ДАВоО-35-9-1323,1914-1921,"1914-1915,1921-1923"
ДАВоО-35-9-2235,1921-1927,"1921-1923,1927-1928"
ДАВоО-35-9-1579,1909-1920,"1909-1918,1920-1921"
ДАВоО-35-9-2092,1903-1925,"1903-1915,1917-1919,1922-1923,1925-1926"
ДАВоО-35-9-420,1885-1900,"1885-1890,1896-1907"
ДАВоО-35-9-247,1886-1893,"1886-1886,1889-1890,1893-1894"
ДАВоО-35-9-359,1900-1920,"1900-1915,1919-1940"
ДАВоО-35-9-596,1905-1909,"1905-1907,1909-1913"
ДАВоО-35-9-219,1886-1893,"1886-1890,1893-1894"
ДАВоО-35-9-721,1902-1907,"1902-1902,1904-1905,1907-1910"
ДАВоО-35-9-646,1898-1917,"1898-1902,1915-1918"
ДАВоО-35-9-1372,1882-1918,"1882-1882,1885-1887,1907-1915,1918-1923"
ДАВоО-35-9-291,1871-1897,"1871-1881,1883-1884,1886-1886,1897-1905"
ДАВоО-35-9-1374,1905-1918,"1905-1915,1918-1923"
ДАВоО-35-9-687,1908-1919,"1908-1915,1919-1924"
ДАВоО-35-9-14,1884-1905,"1884-1884,1887-1894,1905-1906"
ДАВоО-35-10-88,1844-1853,"1844-1851,1853-1856"
ДАВоО-35-9-878,1871-1918,"1871-1871,1884-1884,1905-1906,1918-1922"
ДАВоО-35-9-529,1889-1909,"1889-1894,1909-1910"
ДАВоО-35-9-530,1894-1908,"1894-1900,1905-1906,1908-1911"
ДАВоО-35-9-847,1911-1919,"1911-1915,1919-1923"
ДАВоО-35-9-1128,1892-1918,"1892-1898,1911-1915,1918-1919"
ДАВоО-35-9-480,1886-1893,"1886-1891,1893-1896"
ДАВоО-35-9-599,1902-1906,"1902-1904,1906-1910"
ДАВоО-35-9-1045,1911-1922,"1911-1914,1922-1923"
ДАВоО-35-9-1214,1912-1927,"1912-1915,1919-1925,1927-1931"
ДАВоО-35-9-2234,1916-1927,"1916-1916,1918-1925,1927-1928"
ДАВоО-193-1-17,1847-1883,"1847-1881,1883-1886"
ДАВоО-35-9-1049,1918-1922,"1918-1919,1922-1923"
ДАВоО-35-1-55,1849-1866,1849-1867
ДАВоО-35-9-849,1872-1924,"1872-1883,1891-1898,1924-1925"
ДАВоО-35-9-850,1883-1919,"1883-1892,1906-1915,1918-1923"
ДАВоО-35-9-1467,1909-1918,"1909-1916,1918-1923"
ДАВоО-35-9-2349,1922-1927,"1922-1924,1926-1928"
ДАВоО-35-9-497,1902-1906,"1902-1904,1906-1907"
ДАВоО-35-9-171,1891-1895,"1891-1892,1895-1896"
ДАВоО-35-9-487,1886-1893,"1886-1890,1893-1894"
ДАВоО-35-9-532,1885-1905,1885-1912
ДАВоО-35-9-860,1899-1922,"1899-1904,1922-1924"
ДАВоО-35-9-490,1885-1888,"1885-1886,1888-1890"
ДАВоО-35-9-265,1885-1893,"1885-1885,1888-1890,1893-1895"
ДАВоО-35-9-498,1885-1888,"1885-1886,1888-1896"
ДАВоО-35-9-1069,1910-1922,"1910-1914,1922-1923"
ДАВоО-35-9-229,1866-1880,"1866-1878,1880-1882"
ДАВоО-35-9-980,1913-1920,1913-1921
ДАВоО-35-9-692,1890-1905,"1890-1896,1905-1910"
ДАВоО-35-9-1248,1915-1933,"1915-1915,1919-1934"
ДАВоО-35-9-971,1911-1919,1911-1921
ДАВоО-35-9-311,1885-1891,"1885-1889,1891-1896"
ДАВоО-35-10-193,1861-1883,"1861-1881,1883-1884"
ДАВоО-35-9-611,1906-1912,"1906-1910,1912-1913"
ДАВоО-35-9-145,1876-1883,"1876-1881,1883-1887"
ДАВоО-35-9-502,1890-1893,"1890-1891,1893-1896"
ДАВоО-35-9-612,1894-1914,"1894-1898,1913-1916"
ДАВоО-35-9-1350,1912-1918,"1912-1915,1918-1923"
ДАВоО-35-9-542,1892-1905,"1892-1892,1895-1896,1898-1909"
ДАВоО-35-9-897,1910-1922,"1910-1915,1919-1924"
ДАВоО-35-9-891,1910-1924,"1910-1910,1913-1915,1918-1926"
ДАВоО-35-9-151,1879-1883,"1879-1881,1883-1887"
ДАВоО-35-9-1256,1912-1918,"1912-1915,1918-1921"
ДАВоО-35-9-511,1885-1893,"1885-1885,1887-1889,1893-1894"
ДАВоО-35-9-268,1885-1893,"1885-1885,1887-1890,1893-1894"
ДАВоО-35-9-427,1886-1896,"1886-1890,1895-1900"
ДАВоО-35-9-269,1886-1895,"1886-1886,1891-1892,1895-1896"
ДАВоО-35-9-733,1904-1917,"1904-1908,1917-1918"
ДАВоО-35-9-516,1885-1893,"1885-1885,1887-1890,1893-1894"
ДАВоО-35-9-1088,1913-1922,"1913-1914,1922-1923"
ДАВоО-35-10-22,1812-1821,"1812-1819,1821-1825"
ДАВоО-35-10-35,1822-1829,"1822-1827,1829-1830"
ДАВоО-35-10-81,1838-1858,"1838-1850,1858-1864"
ДАВоО-35-9-333,1885-1895,"1885-1889,1891-1893,1895-1896"
ДАВоО-35-9-73,1876-1891,"1876-1881,1891-1901"
ДАВоО-35-9-1073,1909-1918,"1909-1909,1911-1914,1918-1919"
ДАВоО-35-9-618,1902-1906,"1902-1904,1906-1908"
ДАВоО-35-9-175,1891-1895,"1891-1892,1895-1896"
ДАВоО-35-9-827,1903-1906,"1903-1904,1906-1911"
ДАВоО-35-10-7,1792-1799,"1792-1797,1799-1803"
ДАВоО-35-9-276,1885-1894,"1885-1886,1888-1892,1894-1896"
