archive,code,fond,inventory,file,title,tags,years
ДАХеО,269-1-2,269,1,2,"Метрична книга. Церква Святої Великомучениці Варвари, с. Першоприморське (Бехтери) Дніпровського пов. Бехтерської вол.",метрична книга|народження|шлюб|смерть,1869-1869
ДАХеО,269-1-4,269,1,4,"Метрична книга. Церква Святої Великомучениці Варвари, с. Першоприморське (Бехтери) Дніпровського пов. Бехтерської вол.",метрична книга|народження|шлюб|смерть,1873-1874
ДАХеО,259-27-10,259,27,10,"Метрична книга. Церква Успіння Пресвятої Богородиці, с. Воскресенка Дніпровського пов. Громівської вол.",метрична книга|народження,"1899-1900,1904-1904"
ДАХеО,259-26-8,259,26,8,"Метрична книга. Церква Преображення Господнього, с. Дмитрівка Дніпровського пов. Каховської вол.",метрична книга|народження|шлюб|смерть,1894-1894
ДАХеО,259-19-2,259,19,2,"Метрична книга. Церква Різдва Пресвятої Богородиці, с. Стара Маячка Дніпровського пов. Маячківської вол.",метрична книга|народження,1864-1864
ДАХеО,259-27-80,259,27,80,"Метрична книга. Церква ікони Скорботної Божої Матері, с. Одрадівка Дніпровського пов. Новотроїцької вол.",метрична книга|смерть,1896-1901
ДАХеО,316-1-268,316,1,268,"Метрична книга. Церква великомучениці Варвари (Варваринська), с. Агаймани Мелітопольського пов. Іванівської вол.",метрична книга|народження|шлюб|смерть,1912-1912
ДАХеО,316-1-89,316,1,89,"Метрична книга. Церква Різдва Пресвятої Богородиці, с. Благодатне (Благодатне-Романівка) Мелітопольського пов. Іванівської вол.",метрична книга|народження|шлюб|смерть,1901-1901
ДАХеО,316-1-95,316,1,95,"Метрична книга. Церква Різдва Пресвятої Богородиці, с. Благодатне (Благодатне-Романівка) Мелітопольського пов. Іванівської вол.",метрична книга|народження|шлюб|смерть,1906-1906
ДАХеО,316-1-96,316,1,96,"Метрична книга. Церква Різдва Пресвятої Богородиці, с. Благодатне (Благодатне-Романівка) Мелітопольського пов. Іванівської вол.",метрична книга|народження|шлюб|смерть,1907-1907
ДАХеО,316-1-273,316,1,273,"Метрична книга. Церква Різдва Пресвятої Богородиці, с. Благодатне (Благодатне-Романівка) Мелітопольського пов. Іванівської вол.",метрична книга|народження|шлюб,1912-1912
ДАХеО,316-1-374,316,1,374,"Метрична книга. Церква Різдва Пресвятої Богородиці, с. Благодатне (Благодатне-Романівка) Мелітопольського пов. Іванівської вол.",метрична книга|народження|шлюб|смерть,1916-1916
ДАХеО,316-1-137,316,1,137,"Метрична книга. Церква апостола Іоанна Богослова, с. Іванівка Мелітопольського пов. Іванівської вол.",метрична книга|народження|шлюб|смерть,"1888-1888,1890-1890"
ДАХеО,316-1-140,316,1,140,"Метрична книга. Церква апостола Іоанна Богослова, с. Іванівка Мелітопольського пов. Іванівської вол.",метрична книга|народження|шлюб,1894-1894
ДАХеО,316-1-263,316,1,263,"Метрична книга. Церква апостола Іоанна Богослова, с. Іванівка Мелітопольського пов. Іванівської вол.",метрична книга|народження,1895-1896
ДАХеО,316-1-147,316,1,147,"Метрична книга. Церква апостола Іоанна Богослова, с. Іванівка Мелітопольського пов. Іванівської вол.",метрична книга|народження|шлюб|смерть,1906-1907
ДАХеО,316-1-320,316,1,320,"Метрична книга. Церква Успіння Пресвятої Богородиці (Успенська), с. Новосеменівка Мелітопольського пов. Іванівської вол.",метрична книга|народження|шлюб|смерть,1911-1911
ДАХеО,316-1-249,316,1,249,"Метрична книга. Церква Преображення Господнього (Преображенська), с. Шотівка Мелітопольського пов. Іванівської вол.",метрична книга|народження|шлюб|смерть,1903-1903
ДАХеО,316-1-344,316,1,344,"Метрична книга. Церква Преображення Господнього (Преображенська), с. Шотівка Мелітопольського пов. Іванівської вол.",метрична книга|народження|шлюб|смерть,1909-1909
ДАХеО,316-1-450,316,1,450,"Метрична книга. Церква Преображення Господнього (Преображенська), с. Шотівка Мелітопольського пов. Іванівської вол.",метрична книга|народження|шлюб|смерть,1914-1914
ДАХеО,316-2-43,316,2,43,"Метрична книга. Церква святих мучеників безсрібників Косми і Даміана (Космо-Даміанівська), с. Верхні Сірогози Мелітопольського пов. Сірогозької вол.",метрична книга|народження|шлюб|смерть,1890-1892
ДАХеО,316-1-275,316,1,275,"Метрична книга. Церква святих мучеників безсрібників Косми і Даміана (Космо-Даміанівська), с. Верхні Сірогози Мелітопольського пов. Сірогозької вол.",метрична книга|народження|шлюб|смерть,1908-1908
ДАХеО,316-1-278,316,1,278,"Метрична книга. Церква святих мучеників безсрібників Косми і Даміана (Космо-Даміанівська), с. Верхні Сірогози Мелітопольського пов. Сірогозької вол.",метрична книга|народження|смерть,1910-1910
ДАХеО,316-1-382,316,1,382,"Метрична книга. Церква святих мучеників безсрібників Косми і Даміана (Космо-Даміанівська), с. Верхні Сірогози Мелітопольського пов. Сірогозької вол.",метрична книга|народження|шлюб|смерть,1915-1915
