full_code,title
ДАХеО-259-2-5,"Метрична книга. Церква Св. Архангела Михаїла, с. Великі Копані Дніпровського пов. ВеликоКопанівської вол."
ДАХеО-169-1-7,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-8,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-9,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-18,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-10,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-11,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-12,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-13,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-14,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-15,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-16,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-17,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-19,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-21,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-22,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-23,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-24,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-25,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-26,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-27,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-28,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-29,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-30,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-31,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-32,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-33,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-34,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-35,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-36,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-37,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-38,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-39,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-40,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-41,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-42,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-43,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-169-1-44,"Метрична книга. Собор Успіння Пресвятої Богородиці (Успенський), м. Херсон Херсонського пов."
ДАХеО-259-24-18,"Метрична книга. Церква Покрови Пресвятої Богородиці, м. Каховка Дніпровського пов. Каховської вол."
ДАХеО-259-24-37,"Метрична книга. Церква Покрови Пресвятої Богородиці, м. Каховка Дніпровського пов. Каховської вол."
