full_code,db_before,catalog
ДАХеО-259-27-168,1911-1911,"1897-1905,1910-1912"
ДАХеО-259-2-5,1893-1901,"1880-1880,1885-1885,1892-1892,1895-1895,1910-1910,1915-1915"
ДАХеО-259-27-11,1900-1903,"1900-1900,1902-1904"
ДАХеО-259-27-120,1902-1903,"1902-1903,1913-1913"
ДАХеО-259-27-13,1868-1881,"1868-1869,1874-1874,1877-1879,1881-1883"
ДАХеО-259-27-143,1869-1905,"1869-1871,1905-1909"
ДАХеО-316-2-56,1897-1897,1897-1899
ДАХеО-316-2-61,1898-1898,1897-1899
ДАХеО-316-2-63,1899-1899,1897-1899
ДАХеО-259-27-193,1901-1909,"1901-1905,1907-1907,1909-1916"
ДАХеО-259-27-32,1885-1885,"1875-1876,1885-1885"
ДАХеО-259-24-25,1885-1885,"1874-1874,1885-1885"
ДАХеО-259-27-153,1906-1908,"1906-1908,1911-1911"
ДАХеО-259-27-206,1898-1918,"1898-1905,1909-1909,1911-1912,1918-1919"
ДАХеО-259-27-76,1873-1888,"1873-1873,1887-1888,1892-1895"
ДАХеО-259-27-207,1902-1918,"1902-1905,1909-1909,1911-1911,1918-1919"
ДАХеО-259-27-1,1883-1897,"1876-1876,1883-1883,1889-1889,1891-1892,1897-1897"
ДАХеО-259-27-214,1903-1912,"1903-1903,1905-1905,1908-1909,1912-1913"
ДАХеО-316-1-247,1909-1909,"1901-1901,1909-1909"
ДАХеО-316-6-11,1898-1898,1897-1898
ДАХеО-316-1-69,1869-1869,"1869-1869,1904-1904"
ДАХеО-316-1-175,1901-1901,1901-1902
ДАХеО-316-1-460,1914-1914,1913-1914
ДАХеО-316-2-38,1890-1890,1889-1893
ДАХеО-316-2-47,1892-1893,1889-1896
ДАХеО-316-1-354,1913-1913,"1909-1909,1911-1911,1913-1913"
ДАХеО-316-1-353,1916-1916,"1905-1905,1916-1916"
ДАХеО-316-1-379,1919-1919,1918-1919
ДАХеО-316-1-284,1909-1909,1908-1909
ДАХеО-316-1-286,1911-1911,1910-1911
ДАХеО-316-1-252,1914-1914,"1905-1905,1914-1914"
ДАХеО-316-1-448,1913-1914,1912-1914
ДАХеО-316-1-68,1888-1888,"1888-1888,1904-1904"
ДАХеО-316-1-2,1883-1883,"1873-1873,1879-1879,1884-1884"
ДАХеО-316-1-407,1909-1912,"1909-1910,1912-1913"
ДАХеО-316-2-29,1889-1889,1888-1889
ДАХеО-316-1-274,1908-1908,1907-1908
ДАХеО-316-1-384,1917-1917,1916-1917
ДАХеО-316-2-30,1889-1893,1888-1893
ДАХеО-316-1-390,1909-1914,1908-1914
ДАХеО-316-1-392,1915-1920,1914-1920
ДАХеО-316-2-48,1894-1894,1892-1894
ДАХеО-316-2-58,1898-1898,1897-1898
ДАХеО-316-2-28,1887-1887,1887-1888
ДАХеО-316-1-324,1911-1912,1910-1912
ДАХеО-316-1-189,1907-1907,1906-1907
ДАХеО-316-1-397,1914-1914,1913-1914
ДАХеО-137-40-50,1889-1890,"1887-1887,1889-1890"
ДАХеО-316-1-199,1895-1895,1894-1895
ДАХеО-316-1-325,1907-1907,1906-1907
ДАХеО-207-1-96,1786-1786,"1786-1786,1826-1826"
ДАХеО-137-6-7,1835-1836,"1833-1833,1835-1837"
ДАХеО-137-37-3,1864-1864,1863-1864
ДАХеО-137-37-5,1867-1867,1866-1867
ДАХеО-137-19-1,1881-1898,"1881-1883,1885-1887,1889-1889,1892-1892,1898-1899"
ДАХеО-111-1-47,1876-1876,1875-1876
ДАХеО-111-1-48,1877-1877,1876-1877
ДАХеО-111-1-49,1878-1878,1877-1878
ДАХеО-111-1-50,1879-1879,1878-1879
ДАХеО-111-1-51,1880-1880,1879-1880
ДАХеО-137-29-25,1886-1889,"1878-1883,1886-1889"
ДАХеО-137-29-27,1892-1893,1890-1893
ДАХеО-137-29-1,1842-1842,1842-1844
ДАХеО-137-40-44,1901-1903,1900-1903
ДАХеО-137-17-12,1905-1906,1904-1906
ДАХеО-137-25-3,1851-1852,1850-1852
ДАХеО-137-25-4,1852-1853,1851-1853
ДАХеО-198-1-6,1785-1785,1784-1785
ДАХеО-137-4-11,1887-1887,"1887-1887,1889-1889"
ДАХеО-137-23-19,1897-1902,"1897-1897,1902-1902,1904-1904"
ДАХеО-137-20-1,1784-1814,"1784-1787,1789-1790,1796-1796,1798-1799,1801-1801,1806-1806,1812-1812,1814-1821"
ДАХеО-137-28-10,1874-1875,1872-1875
ДАХеО-137-16-33,1900-1912,"1900-1902,1905-1905,1907-1909,1912-1916"
ДАХеО-137-16-34,1901-1912,"1901-1901,1905-1905,1907-1909,1912-1916"
ДАХеО-137-14-1,1828-1838,"1828-1828,1834-1836,1838-1839"
ДАХеО-137-31-19,1886-1886,1885-1886
ДАХеО-137-18-9,1798-1818,"1798-1816,1818-1820"
ДАХеО-124-1-2,1853-1853,1853-1854
ДАХеО-124-1-13,1858-1858,1858-1859
ДАХеО-124-1-27,1863-1863,1863-1864
ДАХеО-124-1-3,1853-1853,1853-1854
ДАХеО-124-1-14,1858-1858,1858-1859
ДАХеО-124-1-35,1867-1867,1867-1868
ДАХеО-124-1-42,1872-1872,1872-1873
ДАХеО-124-1-5,1854-1854,1854-1855
ДАХеО-124-1-7,1855-1855,1855-1856
ДАХеО-124-1-9,1856-1856,1856-1857
ДАХеО-124-1-15,1858-1858,1858-1859
ДАХеО-124-1-18,1859-1859,1859-1860
ДАХеО-124-1-26,1862-1862,1862-1863
ДАХеО-124-1-28,1863-1863,1863-1864
ДАХеО-124-1-32,1865-1865,1865-1866
ДАХеО-113-1-21,1850-1852,1850-1853
ДАХеО-113-1-43,1860-1860,1860-1861
ДАХеО-113-1-45,1861-1861,1861-1862
ДАХеО-113-1-51,1863-1863,1863-1864
ДАХеО-113-1-53,1864-1864,1864-1865
ДАХеО-113-1-55,1866-1866,1866-1867
ДАХеО-113-1-48,1862-1862,1862-1863
ДАХеО-113-1-39,1856-1856,1856-1857
ДАХеО-113-1-41,1858-1858,1858-1859
ДАХеО-113-1-46,1861-1861,1861-1862
