archive,code,fond,inventory,file,title,tags,years
ДАХмО,685-2-943,685,2,943,"Метрична книга. Зозівський костьол, м-ко Зозів",метрична книга|народження|шлюб|смерть,1839-1839
ДАХмО,17-1-36,17,1,36,"Метрична книга. Волочиський костьол, м-ко Волочиськ",метрична книга|смерть,
ДАХмО,17-1-362,17,1,362,"Метрична книга. Полонський костьол, м-ко Полонне",метрична книга|сповідальні відомості,1905-1905
ДАХмО,17-1-484,17,1,484,"Дошлюбні опитування. Старокостянтинівський костьол, м. Старокостянтинів",,1840-1842
ДАХмО,227-9Д-58,227,9Д,58,"Метрична книга. Синагога, м-ко Бершадь Ольгопільського пов. Бершадської вол.",метрична книга|народження|шлюб|розлучення|смерть,1846-1846
ДАХмО,227-5Д-438,227,5Д,438,"Метрична книга. Синагога, м-ко Гайсин Гайсинського пов. Гранівської вол.",метрична книга|смерть,1899-1899
ДАХмО,227-3Д-61,227,3Д,61,"Метрична книга. Синагога, м-ко Деражня Летичівського пов. Деражнянської вол.",метрична книга|народження|шлюб|розлучення|смерть,1850-1850
ДАХмО,227-5Д-412,227,5Д,412,"Метрична книга. Синагога, м-ко Загнітків Ольгопільського пов. Рашківської вол.",метрична книга|розлучення,1892-1892
ДАХмО,227-5Д-440,227,5Д,440,"Метрична книга. Синагога, м-ко Загнітків Ольгопільського пов. Рашківської вол.",метрична книга|розлучення,1900-1900
ДАХмО,227-1Д-489,227,1Д,489,"Метрична книга. Синагога, м-ко Заміхів Ушицького пов. Пилипковецької вол.",метрична книга|шлюб,1856-1856
ДАХмО,227-1Д-626,227,1Д,626,"Метрична книга. Синагога, м-ко Заміхів Ушицького пов. Пилипковецької вол.",метрична книга|смерть,1863-1863
ДАХмО,227-1Д-516А,227,1Д,516А,"Метрична книга. Синагога, м-ко Зіньківці Кам’янецького пов. Довжоцької вол.",метрична книга|смерть,1857-1857
ДАХмО,227-1Д-592,227,1Д,592,"Метрична книга. Синагога, м-ко Зіньківці Кам’янецького пов. Довжоцької вол.",метрична книга|смерть,1861-1861
ДАХмО,227-1Д-613,227,1Д,613,"Метрична книга. Синагога, м-ко Зіньківці Кам’янецького пов. Довжоцької вол.",метрична книга|смерть,1862-1862
ДАХмО,227-1Д-627,227,1Д,627,"Метрична книга. Синагога, м-ко Зіньківці Кам’янецького пов. Довжоцької вол.",метрична книга|смерть,1863-1863
ДАХмО,227-1Д-639,227,1Д,639,"Метрична книга. Синагога, м-ко Зіньківці Кам’янецького пов. Довжоцької вол.",метрична книга|смерть,1864-1864
ДАХмО,227-1Д-640,227,1Д,640,"Метрична книга. Синагога, м-ко Зіньківці Кам’янецького пов. Довжоцької вол.",метрична книга|смерть,1864-1864
ДАХмО,227-1Д-654,227,1Д,654,"Метрична книга. Синагога, м-ко Зіньківці Кам’янецького пов. Довжоцької вол.",метрична книга|смерть,1865-1865
ДАХмО,227-1Д-548,227,1Д,548,"Метрична книга. Синагога, м. Кам’янець-Подільський Кам’янецького пов. Довжоцької вол.",метрична книга|народження,1859-1859
ДАХмО,227-1Д-550,227,1Д,550,"Метрична книга. Синагога, м. Кам’янець-Подільський Кам’янецького пов. Довжоцької вол.",метрична книга|народження,1859-1859
ДАХмО,227-1Д-623,227,1Д,623,"Метрична книга. Синагога, м-ко Карвасари Кам’янецького пов. Довжоцької вол.",метрична книга|розлучення,1863-1863
ДАХмО,227-1Д-637,227,1Д,637,"Метрична книга. Синагога, м-ко Карвасари Кам’янецького пов. Довжоцької вол.",метрична книга|розлучення,1864-1864
ДАХмО,227-1Д-649,227,1Д,649,"Метрична книга. Синагога, м-ко Карвасари Кам’янецького пов. Довжоцької вол.",метрична книга|розлучення,1865-1865
ДАХмО,227-1Д-614,227,1Д,614,"Метрична книга. Синагога, м-ко Карвасари Кам’янецького пов. Довжоцької вол.",метрична книга|смерть,1863-1863
ДАХмО,227-1Д-615,227,1Д,615,"Метрична книга. Синагога, м-ко Карвасари Кам’янецького пов. Довжоцької вол.",метрична книга|смерть,1863-1863
ДАХмО,227-1Д-628,227,1Д,628,"Метрична книга. Синагога, м-ко Карвасари Кам’янецького пов. Довжоцької вол.",метрична книга|смерть,1863-1863
ДАХмО,227-1Д-641,227,1Д,641,"Метрична книга. Синагога, м-ко Карвасари Кам’янецького пов. Довжоцької вол.",метрична книга|смерть,1864-1864
ДАХмО,227-1Д-642,227,1Д,642,"Метрична книга. Синагога, м-ко Карвасари Кам’янецького пов. Довжоцької вол.",метрична книга|смерть,1864-1864
ДАХмО,227-1Д-617,227,1Д,617,"Метрична книга. Синагога, м-ко Кривчик Ушицького пов. Рахнівської вол.",метрична книга|народження,1863-1863
ДАХмО,227-1Д-634,227,1Д,634,"Метрична книга. Синагога, м-ко Кривчик Ушицького пов. Рахнівської вол.",метрична книга|народження,1864-1864
ДАХмО,227-1Д-652,227,1Д,652,"Метрична книга. Синагога, м-ко Кривчик Ушицького пов. Рахнівської вол.",метрична книга|народження,1865-1865
ДАХмО,227-5Д-3084,227,5Д,3084,"Метрична книга. Синагога, м-ко Куна Гайсинського пов. Кунянської вол.",метрична книга|шлюб,1838-1838
ДАХмО,227-1Д-1103,227,1Д,1103,"Метрична книга. Синагога, м-ко Купин Кам’янецького пов. Купинської вол.",метрична книга|смерть,1908-1908
ДАХмО,227-5Д-394,227,5Д,394,"Метрична книга. Синагога, м. Ольгопіль Ольгопільського пов. Бершадської вол.",метрична книга|розлучення,1886-1886
