full_code,tags
ДАХмО-315-1-12598,метрична книга|народження
ДАХмО-316-1-80,метрична книга|народження|шлюб|смерть
ДАХмО-316-1-88,метрична книга|народження|шлюб|смерть
ДАХмО-316-1-118,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-4,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-5,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-6,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-7,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-6,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-8,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-1,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-2,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-45,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-3,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-126,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-127,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-128,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-129,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-130,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-131,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-145,метрична книга|народження
ДАХмО-18-1-146,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-68,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-68А,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-70,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-70А,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-69,метрична книга|народження|шлюб|смерть
ДАХмО-Р6380-1-8,метрична книга|народження|шлюб|смерть
ДАХмО-Р6380-1-9,метрична книга|смерть
ДАХмО-316-3-1,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-1181,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-1182,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-200,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-201,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-938,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-939,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-942,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-46,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-47,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-341,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-342,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-344,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-345,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-346,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-405,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-406,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-407,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-408,метрична книга|народження|шлюб|смерть
ДАХмО-316-1-133,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-445,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-27,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-446,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-447,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-28,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-29,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-475,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-476,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-477,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-545,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-546,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-547,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-548,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-549,метрична книга|народження|шлюб|смерть
ДАХмО-Р6380-1-10,метрична книга|народження|шлюб|смерть
ДАХмО-Р6380-1-12,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-764,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-765,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-766,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-903,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-904,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-905,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-906,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-907,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-922,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-923,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-924,метрична книга|народження|шлюб|смерть
ДАХмО-Р6380-1-11,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-941,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-940,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-43,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-44,метрична книга|народження|шлюб|смерть
ДАХмО-315-2-235,метрична книга|народження|смерть
ДАХмО-18-1-1025,метрична книга|народження
ДАХмО-18-1-1026,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-1027,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-54,метрична книга|народження|шлюб|смерть
ДАХмО-Р6379-1-55,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-1030,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-1031,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-1032,метрична книга|народження|шлюб|смерть
ДАХмО-18-1-1033,метрична книга|народження|шлюб|смерть
ДАХмО-Р6380-1-45,метрична книга|народження|шлюб|смерть
