full_code,title
ДАХмО-315-1-6739,"Метрична книга. Свято-Дмитрівська церква, с. Наливайківка Київського пов."
ДАХмО-315-1-11869,"Метрична книга. Свято-Різдво-Богородична церква, м-ко Балта Балтського пов. Бакшанської"
ДАХмО-315-1-11982,"Метрична книга. Свято-Миколаївська церква, м-ко Балта Балтського пов. Бакшанської вол."
ДАХмО-315-1-8162,"Метрична книга. Свято-Дмитрівська церква, с. Бандурове Балтського пов. Піщанської вол."
ДАХмО-315-1-6889,"Метрична книга. Свято-Покровська церква, с. Берізки Надкодимські (нині Берізки) Балтського пов. Велико-Мечетнянської вол."
ДАХмО-315-1-12665,"Метрична книга. Свято-Дмитрівська церква, с. Вівсяник Балтського пов. Юзефпільської"
ДАХмО-315-1-7314,"Метрична книга. Свято-Покровська церква, с. Гербина Балтського пов. Піщанської вол."
ДАХмО-315-1-12833,"Метрична книга. Свято-Різдво-Богородична церква, м-ко Крути Балтського пов. Крутянської"
ДАХмО-18-1-1095,"Метрична книга. Свято-Дмитрівська церква, с. Лозовата Балтського пов."
ДАХмО-18-1-1680,"Метрична книга. Свято-Михайлівська церква, с. Строїнці (нині Строєшть, Республіка Молдова) Балтського пов. Піщанської вол."
ДАХмО-315-1-12854,"Метрична книга. Свято-Михайлівська церква, с. Чернече Балтського пов. Савранської вол."
ДАХмО-315-1-8471,"Метрична книга. Свято-Дмитрівська церква, с. Шепилове Балтського пов. Голованівської"
ДАХмО-315-1-7935,"Метрична книга. Свято-Михайлівська церква, с. Аннопіль Брацлавського пов. Клебанської"
ДАХмО-315-1-8789,"Метрична книга. Свято-Михайлівська церква, с. Аннопіль Брацлавського пов. Клебанської"
ДАХмО-315-1-7394,"Метрична книга. Свято-Михайлівська церква, с. Білоусівка Брацлавського пов. Журавлівської"
ДАХмО-315-1-7505,"Метрична книга. Свято-Михайлівська церква, с. Білоусівка Брацлавського пов. Журавлівської"
ДАХмО-315-1-8599,"Метрична книга. Свято-Михайлівська церква, с. Білоусівка Брацлавського пов. Журавлівської"
ДАХмО-315-1-12006,"Метрична книга. Свято-Михайлівська церква, с. Білоусівка Брацлавського пов. Журавлівської"
ДАХмО-315-1-12622,"Метрична книга. Свято-Михайлівська церква, с. Білоусівка Брацлавського пов. Журавлівської"
ДАХмО-315-1-12749,"Метрична книга. Свято-Михайлівська церква, с. Білоусівка Брацлавського пов. Журавлівської"
ДАХмО-315-1-6689,"Метрична книга. Свято-Чудо-Михайлівська церква, с. Богданівка Брацлавського пов. Клебанської вол."
ДАХмО-315-1-6956,"Метрична книга. Свято-Чудо-Михайлівська церква, с. Богданівка Брацлавського пов. Клебанської вол."
ДАХмО-315-1-7186,"Метрична книга. Свято-Чудо-Михайлівська церква, с. Богданівка Брацлавського пов. Клебанської вол."
ДАХмО-315-1-7757,"Метрична книга. Свято-Покровська церква, с. Бандурівка Брацлавського пов. Рубанської"
ДАХмО-315-1-11942,"Метрична книга. Свято-Михайлівська церква, с. Бортники Брацлавського пов. Печарської вол."
ДАХмО-315-1-12132,"Метрична книга. Свято-Михайлівська церква, с. Бортники Брацлавського пов. Печарської вол."
ДАХмО-315-1-12626,"Метрична книга. Свято-Михайлівська церква, с. Бортники Брацлавського пов. Печарської вол."
ДАХмО-315-1-12801,"Метрична книга. Свято-Михайлівська церква, с. Бортники Брацлавського пов. Печарської вол."
ДАХмО-315-1-12618,"Метрична книга. Свято-Михайлівська церква, с. Бортники Брацлавського пов. Печарської вол."
ДАХмО-315-1-12781,"Метрична книга. Свято-Михайлівська церква, с. Бортники Брацлавського пов. Печарської вол."
ДАХмО-315-1-6833,"Метрична книга. Свято-Успенська церква, м-ко Брацлав Брацлавського пов. Журавлівської вол."
ДАХмО-315-1-7118,"Метрична книга. Свято-Успенська церква, м-ко Брацлав Брацлавського пов. Журавлівської вол."
ДАХмО-315-1-8170,"Метрична книга. Свято-Успенська церква, м-ко Брацлав Брацлавського пов. Журавлівської вол."
ДАХмО-315-1-12714,"Метрична книга. Свято-Параскевинська церква, с. Вапнярка Брацлавського пов. Журавлівської"
ДАХмО-315-1-6684,"Метрична книга. Свято-Параскевинська церква, с. Василівка Брацлавського пов. Клебанської"
ДАХмО-315-1-7271,"Метрична книга. Свято-Параскевинська церква, с. Василівка Брацлавського пов. Клебанської"
ДАХмО-315-1-11963,"Метрична книга. Свято-Параскевинська церква, с. Василівка Брацлавського пов. Клебанської"
