full_code,db_before,catalog
ДАХмО-315-1-6862,1806-1806,"1796-1796,1806-1806"
ДАХмО-315-2-262,1830-1850,"1830-1833,1840-1841,1847-1847,1850-1860"
ДАХмО-315-2-266,1834-1850,"1834-1840,1850-1854"
ДАХмО-315-2-294,1854-1859,"1854-1857,1859-1860"
ДАХмО-315-1-7186,1823-1835,"1823-1833,1835-1850"
ДАХмО-315-1-7271,1826-1829,"1826-1827,1829-1853"
ДАХмО-315-1-7312,1828-1831,"1828-1829,1831-1869"
ДАХмО-315-1-7278,1826-1842,"1826-1828,1830-1840,1842-1853"
ДАХмО-315-1-6693,1796-1826,"1796-1804,1810-1811,1813-1814,1816-1822,1825-1849"
ДАХмО-315-1-7323,1829-1853,"1829-1830,1832-1834,1837-1843,1845-1850,1853-1858"
ДАХмО-315-1-12561,1899-1905,"1899-1903,1905-1907"
ДАХмО-315-1-7177,1824-1828,"1824-1826,1828-1849"
ДАХмО-315-1-6920,1801-1809,"1801-1802,1805-1805,1807-1807,1809-1858"
ДАХмО-315-1-6680,1796-1821,"1796-1805,1821-1839"
ДАХмО-315-1-7165,1822-1850,"1822-1836,1838-1841,1843-1845,1850-1853"
ДАХмО-315-1-7163,1822-1836,"1822-1832,1834-1834,1836-1839"
ДАХмО-315-1-7149,1822-1839,"1822-1837,1839-1841"
ДАХмО-315-1-7168,1820-1868,"1820-1847,1849-1855,1857-1860,1862-1866,1868-1874"
ДАХмО-315-1-7129,1822-1834,"1822-1831,1834-1848"
ДАХмО-315-1-7158,1822-1837,"1822-1822,1825-1828,1831-1834,1837-1849"
ДАХмО-18-1-839,1871-1879,"1871-1871,1873-1875,1879-1880"
ДАХмО-18-1-963,1799-1816,"1799-1812,1816-1830"
ДАХмО-18-1-964,1882-1889,1882-1893
ДАХмО-18-1-1062,1838-1855,"1838-1838,1841-1853,1855-1857"
ДАХмО-18-1-1235,1819-1848,"1819-1820,1822-1833,1837-1846,1848-1852"
ДАХмО-18-1-1321,1821-1849,"1821-1822,1824-1854"
ДАХмО-18-1-1336,1822-1825,"1822-1823,1825-1848"
ДАХмО-18-1-1401,1799-1811,1799-1814
ДАХмО-18-1-1404,1822-1836,"1822-1823,1825-1834,1836-1844"
ДАХмО-18-1-1623,1909-1912,"1909-1910,1912-1913"
ДАХмО-315-1-7145,1822-1839,"1822-1832,1834-1837,1839-1844"
ДАХмО-18-1-1723,1864-1871,1864-1873
ДАХмО-18-1-1891,1870-1889,"1870-1873,1877-1878,1889-1890"
ДАХмО-315-1-6863,1806-1806,"1806-1806,1830-1830"
ДАХмО-18-1-875,1830-1848,"1830-1846,1848-1851"
ДАХмО-18-1-1538,1838-1854,"1838-1842,1846-1857"
ДАХмО-315-1-6733,1798-1829,"1798-1822,1829-1855"
ДАХмО-315-1-7134,1822-1825,"1822-1823,1825-1840"
ДАХмО-18-1-1202,1864-1872,1864-1876
ДАХмО-315-1-6842,1804-1826,"1804-1805,1807-1815,1818-1824,1826-1841"
ДАХмО-315-1-6727,1798-1834,"1798-1799,1801-1805,1807-1811,1815-1824,1826-1826,1828-1832,1834-1839"
ДАХмО-18-1-1886,1886-1890,"1886-1888,1890-1891"
ДАХмО-315-1-7248,1825-1843,"1825-1834,1843-1866"
ДАХмО-315-1-7131,1822-1839,"1822-1837,1839-1856"
ДАХмО-315-1-7179,1832-1836,"1832-1834,1836-1839"
ДАХмО-315-1-7068,1820-1837,"1820-1832,1834-1835,1837-1855"
ДАХмО-315-1-8592,1862-1877,"1862-1875,1877-1889"
ДАХмО-315-2-260,1825-1828,"1825-1826,1828-1837"
ДАХмО-315-1-6977,1803-1837,"1803-1815,1822-1828,1831-1839"
ДАХмО-315-1-7253,1823-1833,"1823-1823,1825-1830,1833-1856"
ДАХмО-315-1-7183,1822-1832,"1822-1829,1832-1838"
ДАХмО-315-1-11901,1875-1880,"1875-1877,1879-1882"
ДАХмО-315-1-12342,1883-1915,"1883-1884,1888-1888,1902-1902,1904-1904,1906-1906,1908-1908,1911-1912,1915-1916"
ДАХмО-315-1-7311,1823-1835,"1823-1826,1828-1828,1832-1832,1835-1853"
ДАХмО-315-1-7175,1823-1850,"1823-1847,1850-1855"
ДАХмО-315-2-258,1824-1832,"1824-1829,1832-1840"
ДАХмО-18-1-768,1854-1861,"1854-1856,1858-1859,1861-1871"
ДАХмО-18-1-775,1901-1906,"1901-1902,1906-1912"
ДАХмО-18-1-1318,1881-1892,"1881-1883,1885-1894"
ДАХмО-18-1-1349,1891-1895,"1891-1893,1895-1896"
ДАХмО-18-1-1361,1890-1893,"1890-1891,1893-1898"
ДАХмО-18-1-1512,1841-1852,"1841-1850,1852-1858"
ДАХмО-18-1-1650,1880-1888,"1880-1886,1888-1894"
ДАХмО-18-1-1651,1895-1898,"1895-1896,1898-1905"
ДАХмО-315-1-7151,1822-1839,"1822-1837,1839-1851"
ДАХмО-18-1-1774,1847-1856,"1847-1854,1856-1861"
ДАХмО-18-1-1897,1893-1896,"1893-1894,1896-1899"
ДАХмО-18-1-971,1799-1851,"1799-1800,1803-1803,1806-1806,1809-1815,1818-1819,1822-1858"
ДАХмО-18-1-1681,1798-1812,"1798-1810,1812-1833"
ДАХмО-18-1-174,1910-1920,"1910-1916,1920-1921"
ДАХмО-18-1-529,1814-1831,1814-1832
ДАХмО-18-1-763,1831-1838,"1831-1834,1838-1844"
ДАХмО-18-1-807,1795-1826,"1795-1824,1826-1833"
ДАХмО-18-1-870,1825-1839,"1825-1837,1839-1859"
ДАХмО-18-1-881,1796-1812,"1796-1810,1812-1813"
ДАХмО-18-1-900,1800-1828,1800-1830
ДАХмО-18-1-950,1790-1799,"1790-1790,1795-1797,1799-1838"
ДАХмО-18-1-949,1796-1824,1796-1825
ДАХмО-18-1-1023,1846-1856,"1846-1854,1856-1857"
ДАХмО-315-1-7294,1827-1836,"1827-1834,1836-1852"
ДАХмО-18-1-1067,1795-1846,"1795-1800,1802-1839,1846-1849"
