archive,code,fond,inventory,file,title,tags,years
ДАХО,40-110-88,40,110,88,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1800-1800
ДАХО,40-110-76,40,110,76,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1803-1803
ДАХО,40-110-91,40,110,91,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1805-1805
ДАХО,40-110-93,40,110,93,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1807-1807
ДАХО,40-110-94,40,110,94,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1808-1809
ДАХО,40-110-95,40,110,95,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1809-1809
ДАХО,40-110-120,40,110,120,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,"1811-1811,1841-1841"
ДАХО,40-109-128,40,109,128,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження,1819-1819
ДАХО,40-110-108,40,110,108,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1825-1825
ДАХО,40-110-112,40,110,112,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1829-1836
ДАХО,40-110-113,40,110,113,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1830-1830
ДАХО,40-110-115,40,110,115,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1835-1835
ДАХО,40-110-116,40,110,116,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1836-1836
ДАХО,40-110-122,40,110,122,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1843-1843
ДАХО,40-110-123,40,110,123,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,"1844-1844,1847-1847"
ДАХО,40-110-85,40,110,85,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1847-1847
ДАХО,40-105-358,40,105,358,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1857-1857
ДАХО,40-105-359,40,105,359,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1858-1858
ДАХО,40-105-326,40,105,326,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1859-1859
ДАХО,40-105-366,40,105,366,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1860-1860
ДАХО,40-105-379,40,105,379,"Метрична книга. Церква Миколаївська, с. (слоб.) Олександрівка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1865-1865
ДАХО,40-112-31,40,112,31,"Метрична книга. Церква Олександро-Невська, с. Олександрівка Валківського пов.",метрична книга|народження|шлюб|смерть,1877-1877
ДАХО,40-112-59,40,112,59,"Метрична книга. Церква Олександро-Невська, с. Олександрівка Валківського пов.",метрична книга|народження|шлюб|смерть,1878-1878
ДАХО,40-112-104,40,112,104,"Метрична книга. Церква Олександро-Невська, с. Олександрівка Валківського пов.",метрична книга|народження|шлюб|смерть,1880-1880
ДАХО,40-113-91,40,113,91,"Метрична книга. Церква Олександро-Невська, с. Олександрівка Валківського пов.",метрична книга|народження|шлюб|смерть,1882-1882
ДАХО,40-113-121,40,113,121,"Метрична книга. Церква Олександро-Невська, с. Олександрівка Валківського пов.",метрична книга|народження|шлюб|смерть,1883-1883
ДАХО,40-113-220,40,113,220,"Метрична книга. Церква Олександро-Невська, с. Олександрівка Валківського пов.",метрична книга|народження|шлюб|смерть,1888-1888
ДАХО,40-113-264,40,113,264,"Метрична книга. Церква Олександро-Невська, с. Олександрівка Валківського пов.",метрична книга|народження|шлюб|смерть,1890-1890
ДАХО,40-110-231,40,110,231,"Метрична книга. Церква Покровська, слоб. Олексіївка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1799-1799
ДАХО,40-105-327,40,105,327,"Метрична книга. Церква Миколаївська, слоб. Олексіївка Богодухівського пов.",метрична книга|народження|шлюб|смерть,1863-1863
ДАХО,40-105-319,40,105,319,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1776-1934
ДАХО,40-110-77,40,110,77,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1808-1808
ДАХО,40-110-97,40,110,97,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,"1811-1811,1879-1879"
ДАХО,40-105-320,40,105,320,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1815-1815
ДАХО,40-110-101,40,110,101,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1816-1816
ДАХО,40-110-78,40,110,78,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1818-1818
ДАХО,40-105-333,40,105,333,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1821-1821
ДАХО,40-109-130,40,109,130,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1823-1823
ДАХО,40-110-80,40,110,80,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1824-1824
ДАХО,40-110-114,40,110,114,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1834-1834
ДАХО,40-110-82,40,110,82,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1835-1835
ДАХО,40-109-110,40,109,110,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1840-1842
ДАХО,40-105-336А,40,105,336А,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1841-1841
ДАХО,40-109-111,40,109,111,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1843-1844
ДАХО,40-109-112,40,109,112,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1845-1847
ДАХО,40-109-113,40,109,113,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1848-1851
ДАХО,40-105-344,40,105,344,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1850-1850
ДАХО,40-105-322,40,105,322,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1851-1851
ДАХО,40-105-324,40,105,324,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1852-1852
ДАХО,40-105-325,40,105,325,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1853-1853
ДАХО,40-105-323,40,105,323,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1853-1855
ДАХО,40-105-351,40,105,351,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1854-1854
ДАХО,40-105-353,40,105,353,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1856-1856
ДАХО,40-109-141,40,109,141,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,"1851-1863,1872-1872"
ДАХО,40-105-364,40,105,364,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1860-1860
ДАХО,40-105-368,40,105,368,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1861-1861
ДАХО,40-105-372,40,105,372,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1862-1862
ДАХО,40-105-329,40,105,329,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,"1858-1858,1864-1868"
ДАХО,40-105-378,40,105,378,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,1865-1865
ДАХО,40-105-383,40,105,383,"Метрична книга. Церква Троїцька, м. Богодухів Богодухівського пов.",метрична книга|народження|шлюб|смерть,"1867-1867,1870-1870"
