full_code,title
ДАХО-40-105-349,"Метрична книга. Церква Покровська, с. Бригадирівка Богодухівського пов."
ДАХО-40-105-369,"Метрична книга. Церква Покровська, с. Бригадирівка Богодухівського пов."
ДАХО-40-109-449,"Метрична книга. Церква Свято-Дмитріївська (Димитріївська), слоб. Дмитріївка (Димитріївка) Старобільського пов."
ДАХО-40-110-148,"Метрична книга. Церква Предтечівська (Іоанно-Предтечіївська, Іоанна Предтечі, головна Предтечівська), слоб. Сніжків Кут Валківський пов."
ДАХО-40-110-137,"Метрична книга. Церква Предтечівська (Іоанно-Предтечіївська, Іоанна Предтечі, головна Предтечівська), слоб. Сніжків Кут Валківський пов."
ДАХО-40-110-144,"Метрична книга. Церква Предтечівська (Іоанно-Предтечіївська, Іоанна Предтечі, головна Предтечівська), слоб. Сніжків Кут Валківський пов."
ДАХО-40-110-145,"Метрична книга. Церква Богородицька (Різдв’яно-Богородицька, Богородична), с. Олексіївка Харківського пов."
ДАХО-40-110-169,"Метрична книга. Церква Всісвятська, слоб. Старий Мерчик Валківський пов."
ДАХО-40-105-174,"Метрична книга. Церква Петро-Павлівська (В ім’я Святих апостолів Петра і Павла), с. Вертіївка Харківського пов."
ДАХО-40-110-222,"Метрична книга. Церква Покровська (Соборно-Покровська), м. Охтирка Охтирського пов."
ДАХО-40-110-237,"Метрична книга. Церква Свято-Духівська (Сошествіївська), с. Гракове (військове поселення) Зміївського пов."
ДАХО-40-110-225,"Метрична книга. Церква Миколаївська, с. (слоб.) Шелудьківка (Шелудківка) Зміївського пов."
ДАХО-40-110-250,"Метрична книга. Церква Миколаївська, с. (слоб.) Шелудьківка (Шелудківка) Зміївського пов."
ДАХО-40-110-226,"Метрична книга. Церква Архангело-Михайлівська (Архангельська), слоб. Шебелинка Зміївського пов."
ДАХО-40-110-247,"Метрична книга. Церква Архангело-Михайлівська (Архангельська), слоб. Шебелинка Зміївського пов."
ДАХО-40-110-248,"Метрична книга. Церква Архангело-Михайлівська (Архангельська), слоб. Шебелинка Зміївського пов."
ДАХО-40-110-227,"Метрична книга. Церква Свято-Троїцька (Троїцька), с. Чорнокам’янка Зміївського пов."
ДАХО-40-110-252,"Метрична книга. Церква Свято-Троїцька (Троїцька), с. Чорнокам’янка Зміївського пов."
ДАХО-40-109-263,"Метрична книга. Церква Свято-Троїцька (Троїцька), с. Чорнокам’янка Зміївського пов."
ДАХО-40-110-255,"Метрична книга. Церква Свято-Троїцька (Троїцька), с. Чорнокам’янка Зміївського пов."
ДАХО-40-110-260,"Метрична книга. Церква Свято-Троїцька (Троїцька), с. Чорнокам’янка Зміївського пов."
ДАХО-40-105-630,"Метрична книга. Церква Свято-Троїцька (Троїцька), с. Чорнокам’янка Зміївського пов."
ДАХО-40-105-631,"Метрична книга. Церква Свято-Троїцька (Троїцька), с. Чорнокам’янка Зміївського пов."
ДАХО-40-105-643,"Метрична книга. Церква Свято-Троїцька (Троїцька), с. Чорнокам’янка Зміївського пов."
ДАХО-40-105-666,"Метрична книга. Церква Свято-Троїцька (Троїцька), с. Чорнокам’янка Зміївського пов."
ДАХО-40-105-673,"Метрична книга. Церква Свято-Троїцька (Троїцька), с. Чорнокам’янка Зміївського пов."
ДАХО-40-105-616,"Метрична книга. Церква Свято-Троїцька (Троїцька), с. Чорнокам’янка Зміївського пов."
ДАХО-40-105-627,"Метрична книга. Церква Троїцька (Свято-Троїцька), слоб. Черкаський Бишкин Зміївського пов."
ДАХО-40-110-249,"Метрична книга. Церква Богоявлінська, с.Тернова Зміївського пов."
ДАХО-40-110-230,"Метрична книга. Церква Димитрівська (В ім’я Великомученика Димитрія Солунського), м. Харків"
ДАХО-40-105-90,"Метрична книга. Церква Введенська (В память Введения во храм Пресвятыя Богородицы), с. Артемівка Харківського пов."
ДАХО-40-109-266,"Метрична книга. Церква Архангело-Михайлівська, слоб. Лиман Зміївського пов."
ДАХО-40-109-265,"Метрична книга. Церква Хрестовоздвиженська, слоб. Лиман Зміївського пов."
ДАХО-40-105-777,"Метрична книга. Церква Олександри Мучениці (Олександромученицька), слоб. Олександрівка (Ново-Олександрівка) Ізюмського пов."
ДАХО-40-105-857,"Метрична книга. Церква Олександри Мучениці (Олександромученицька), слоб. Олександрівка (Ново-Олександрівка) Ізюмського пов."
ДАХО-40-110-279,"Метрична книга. Церква Іоано-Предтечівська (Предтечінська), слоб. Виднівка Охтирського пов."
