full_code,db_before,catalog
ДАХО-40-109-105,1806-1821,1806-1822
ДАХО-40-110-121,1842-1842,"1821-1821,1842-1842"
ДАХО-40-109-154,1865-1865,1864-1868
ДАХО-40-110-148,1846-1846,"1811-1811,1814-1814,1846-1846"
ДАХО-40-110-163,1831-1831,1831-1839
ДАХО-40-109-178,1818-1830,1818-1831
ДАХО-40-110-200,1818-1818,1818-1819
ДАХО-40-105-522,1854-1854,1851-1860
ДАХО-40-110-241,1815-1815,"1815-1815,1862-1865"
ДАХО-40-109-444,1850-1850,"1850-1850,1855-1855"
ДАХО-40-105-683,1873-1873,1872-1873
ДАХО-40-110-234,1805-1805,"1803-1803,1805-1805"
ДАХО-40-110-237,1810-1810,"1805-1805,1810-1810"
ДАХО-40-110-226,1823-1823,1821-1823
ДАХО-40-110-247,1825-1825,1825-1826
ДАХО-40-110-248,1826-1826,1825-1826
ДАХО-40-110-252,1834-1834,"1829-1829,1834-1834"
ДАХО-40-109-263,1836-1836,"1835-1835,1867-1867"
ДАХО-40-105-631,1853-1853,1853-1854
ДАХО-40-105-643,1859-1859,"1859-1859,1861-1861"
ДАХО-40-105-673,1871-1871,"1871-1871,1873-1873"
ДАХО-40-110-249,1798-1827,"1798-1826,1829-1829"
ДАХО-40-109-266,1846-1850,1845-1850
ДАХО-40-109-265,1845-1845,1845-1850
ДАХО-40-105-645,1861-1864,1861-1865
ДАХО-40-105-790,1856-1856,1856-1861
ДАХО-40-110-286,1820-1820,1820-1821
ДАХО-40-110-291,1825-1825,"1821-1821,1825-1825"
ДАХО-40-105-775,1871-1871,"1855-1855,1870-1870,1873-1873,1875-1875,1877-1877,1880-1880"
ДАХО-40-109-389,1859-1859,"1853-1855,1857-1860,1862-1863"
ДАХО-40-113-244,1888-1888,1887-1888
ДАХО-40-110-450,1845-1845,1844-1845
ДАХО-40-110-385,1821-1821,1820-1821
ДАХО-40-110-404,1843-1843,"1839-1839,1843-1843"
ДАХО-40-110-38,1812-1812,"1812-1812,1816-1816"
ДАХО-40-110-390,1826-1826,1826-1827
ДАХО-40-110-424,1816-1816,"1816-1817,1819-1819,1839-1839"
ДАХО-40-110-33,1807-1807,"1800-1800,1807-1807,1809-1809,1811-1811"
ДАХО-40-110-44,1819-1819,"1819-1819,1874-1874"
ДАХО-40-110-63,1839-1839,"1839-1839,1841-1841"
ДАХО-40-110-11,1829-1829,"1829-1829,1852-1852"
ДАХО-40-110-441,1836-1836,"1821-1821,1831-1831,1835-1836"
ДАХО-40-110-417,1806-1806,"1802-1802,1806-1806"
ДАХО-40-110-422,1813-1813,"1813-1813,1815-1815,1818-1818"
ДАХО-40-110-423,1815-1815,1815-1816
ДАХО-40-110-430,1822-1835,"1821-1822,1825-1827,1835-1835"
ДАХО-40-110-442,1837-1837,"1834-1834,1836-1837"
ДАХО-40-109-452,1857-1857,"1857-1857,1866-1866"
ДАХО-40-105-1175,1861-1862,1860-1862
ДАХО-40-109-441,1839-1839,"1835-1835,1839-1839"
ДАХО-40-105-1138,1855-1855,1854-1855
ДАХО-40-110-505,1843-1843,"1813-1813,1843-1843"
ДАХО-40-105-1251,1859-1859,1858-1859
ДАХО-40-105-1276,1867-1868,1866-1868
ДАХО-40-110-26,1800-1821,"1800-1800,1821-1821,1835-1835"
ДАХО-40-105-1262,1862-1862,1862-1863
ДАХО-40-105-1217,1872-1872,1871-1872
ДАХО-40-110-469А,1833-1833,"1831-1831,1833-1833"
ДАХО-40-105-1255,1861-1861,"1861-1861,1866-1866"
ДАХО-40-105-129,1859-1862,"1853-1853,1859-1862"
ДАХО-40-105-105,1855-1855,"1850-1850,1852-1852,1855-1856,1872-1872"
ДАХО-40-105-1318,1851-1851,"1851-1851,1875-1875"
ДАХО-40-105-36,1870-1870,1869-1870
ДАХО-40-105-44,1874-1874,"1874-1874,1876-1876"
ДАХО-40-105-80,1850-1850,"1809-1809,1816-1850"
ДАХО-40-105-90,1852-1852,1851-1852
ДАХО-40-105-112,1855-1855,"1855-1855,1857-1857"
ДАХО-40-105-109,1856-1856,"1856-1856,1859-1859"
ДАХО-40-105-111,1856-1856,1855-1856
ДАХО-40-105-100,1854-1854,1853-1854
ДАХО-40-105-84,1851-1851,1850-1851
ДАХО-40-105-94,1852-1852,1851-1852
ДАХО-40-105-91,1852-1852,"1852-1852,1854-1854"
ДАХО-40-105-13,1853-1853,"1833-1833,1853-1853,1859-1859"
ДАХО-40-105-174,1868-1868,1860-1868
ДАХО-40-105-71,1848-1856,"1848-1856,1874-1874"
ДАХО-40-105-66,1845-1853,"1845-1853,1867-1867"
ДАХО-40-105-23,1858-1858,"1855-1855,1858-1858"
ДАХО-40-105-76,1849-1855,"1809-1809,1849-1855"
ДАХО-40-105-11,1852-1852,"1852-1852,1855-1855"
ДАХО-40-105-21,1857-1857,"1854-1854,1857-1857"
ДАХО-40-105-142,1863-1863,1858-1866
ДАХО-11-1-362,1864-1886,"1864-1864,1873-1873,1877-1877,1879-1880,1882-1884,1886-1891"
ДАХО-40-105-6,1850-1850,1850-1851
ДАХО-40-105-22,1857-1857,"1857-1857,1876-1876"
ДАХО-40-105-25,1858-1858,"1855-1856,1858-1861"
ДАХО-40-105-24,1858-1868,1857-1868
ДАХО-40-105-2З,1875-1880,1875-1882
ДАХО-40-105-5,1840-1850,1840-1851
ДАХО-40-105-60А,1901-1901,1901-1904
ДАХО-40-105-1325,1853-1858,"1851-1851,1853-1858"
ДАХО-40-110-649,1827-1839,"1827-1827,1833-1839,1862-1862"
ДАХО-40-109-511,1854-1857,"1849-1849,1854-1857"
ДАХО-965-1-24,1913-1913,"1885-1885,1912-1913"
ДАХО-965-1-27,1916-1916,1915-1916
ДАХО-958-1-8,1870-1870,"1870-1870,1879-1879"
ДАХО-958-1-116,1912-1913,"1912-1912,1914-1914"
