archive,code,fond,inventory,file,title,tags,years
ДАЖО,1-78-4545,1,78,4545,"Метрична книга. Церква Святого Архистратига Михаїла, с. Верба Вербської вол. ВолодимирВолинського пов.",метрична книга|народження|шлюб|смерть,1807-1811
ДАЖО,1-78-1807,1,78,1807,"Метрична книга. Церква Святого Архистратига Михаїла, с. Олеськ Олеської вол. ВолодимирВолинського пов.",метрична книга|народження|шлюб|смерть,1802-1807
ДАЖО,1-74-654,1,74,654,"Метрична книга. Церква Покрови Пресвятої Богородиці, м. Козин Крупецької вол. Ду­бенського пов.",метрична книга|народження|шлюб|смерть,1843-1847
ДАЖО,1-74-659,1,74,659,"Метрична книга. Церква Покрови Пресвятої Богородиці, м. Козин Крупецької вол. Ду­бенського пов.",метрична книга|народження|шлюб|смерть,1843-1847
ДАЖО,1-74-660,1,74,660,"Метрична книга. Церква Покрови Пресвятої Богородиці, м. Козин Крупецької вол. Ду­бенського пов.",метрична книга|народження|шлюб|смерть,1843-1847
ДАЖО,1-74-665,1,74,665,"Метрична книга. Церква Покрови Пресвятої Богородиці, м. Козин Крупецької вол. Ду­бенського пов.",метрична книга|народження|шлюб|смерть,1843-1847
ДАЖО,1-74-668,1,74,668,"Метрична книга. Церква Покрови Пресвятої Богородиці, м. Козин Крупецької вол. Ду­бенського пов.",метрична книга|народження|шлюб|смерть,1843-1847
ДАЖО,1-74-653,1,74,653,"Метрична книга. Церква Хрестовоздвиженська, с. Чекне Ярославицької вол. Дубенського пов.",метрична книга|народження|шлюб|смерть,1818-1818
ДАЖО,581-1-1,581,1,1,"Церковні примірники. Церква Василівська, с. Бабушки П’ятківської вол. Житомирського пов.",,1823-1839
ДАЖО,581-1-2,581,1,2,"Церковні примірники. Церква Василівська, с. Бабушки П’ятківської вол. Житомирського пов.",,1840-1862
ДАЖО,1-76-2028,1,76,2028,"Метрична книга. Церква Свято-Дмитрівська, с. Буки Фасівської вол. Житомирського пов.",метрична книга|шлюб,1880-1880
ДАЖО,1-76-2011,1,76,2011,"Метрична книга. Церква Свято-Дмитрівська, с. Буки Фасівської вол. Житомирського пов.",метрична книга|смерть,1870-1873
ДАЖО,1-76-2137,1,76,2137,"Метрична книга. Церква Свято-Покровська, с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1898-1919
ДАЖО,1-76-2146,1,76,2146,"Метрична книга. Церква Свято-Покровська, с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1889-1919
ДАЖО,1-76-723,1,76,723,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-741,1,76,741,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-759,1,76,759,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-778,1,76,778,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-796,1,76,796,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-814,1,76,814,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-830,1,76,830,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-846,1,76,846,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1869-1918
ДАЖО,1-76-862,1,76,862,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-879,1,76,879,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-893,1,76,893,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-911,1,76,911,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-926А,1,76,926А,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-937,1,76,937,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-956,1,76,956,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-974,1,76,974,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1869-1916
ДАЖО,1-76-993,1,76,993,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-1013,1,76,1013,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-1033,1,76,1033,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-76-1054,1,76,1054,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1869-1918
ДАЖО,1-76-1069,1,76,1069,"Метрична книга. Церква Покровська, с. Вереси Черняхівської вол. Житомирського пов.",метрична книга|шлюб|смерть,1869-1916
ДАЖО,1-7-562,1,7,562,"Метрична книга. Церква Троїцька, с. Високе Бежівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1862-1862
ДАЖО,584-1-1,584,1,1,"Церковні примірники. Церква Хрестовоздвиженська, с. Галіївка Янушпільської вол. Житомирського пов.",,1854-1867
ДАЖО,1-76-724,1,76,724,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1886-1915
ДАЖО,1-76-760,1,76,760,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1896-1918
ДАЖО,1-76-779,1,76,779,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1896-1918
ДАЖО,1-76-797,1,76,797,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1896-1918
ДАЖО,1-76-815,1,76,815,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1896-1918
ДАЖО,1-76-831,1,76,831,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1898-1918
ДАЖО,1-76-863,1,76,863,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1898-1918
ДАЖО,1-76-880,1,76,880,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1889-1919
ДАЖО,1-76-894,1,76,894,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1898-1918
ДАЖО,1-76-912,1,76,912,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1898-1918
ДАЖО,1-76-926Б,1,76,926Б,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1896-1918
ДАЖО,1-76-938,1,76,938,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1898-1918
ДАЖО,1-76-957,1,76,957,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1898-1918
ДАЖО,1-76-976,1,76,976,"Метрична книга. Церква [назва невідома], с. Великий Гальчин Андрушівської вол. Житомирського пов.",метрична книга|народження|шлюб|смерть,1898-1918
