full_code,tags
ДАЖО-1-78-531,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-539,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-541,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-544,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-545,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-548,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-552,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-554,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-555,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-558,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-559,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-561,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-562,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-566,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-568,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-571,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-573,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-575,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-577,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-579,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-581,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-583,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-586,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-588,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-589,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-591,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-593,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-595,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-598,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-601,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-603,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-606,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-607,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-613,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-614,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-620,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-628,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-629,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-631,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-634,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-636,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-625,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-639,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-641,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-644,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-646,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-526,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-537,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-549,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-565,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-529,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-533,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-536,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-538,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-540,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-542,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-543,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-546,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-547,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-550,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-551,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-556,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-557,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-560,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-563,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-564,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-567,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-569,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-570,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-574,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-576,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-578,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-580,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-584,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-587,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-572,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-582,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-585,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-688,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-596,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-602,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-604,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-611,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-528,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-532,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-553,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-590,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-592,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-597,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-600,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-605,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-609,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-638,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-594,метрична книга|народження|шлюб|розлучення|смерть
ДАЖО-1-78-527,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-622,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-599,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-535,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-619,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-621,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-9,метрична книга|розлучення
ДАЖО-1-78-494,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-497,метрична книга|народження|шлюб|смерть
ДАЖО-1-74-9,метрична книга|народження|шлюб|смерть
ДАЖО-1-74-13,метрична книга|народження|шлюб|смерть
ДАЖО-1-74-28,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-61,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-70,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-78,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-79,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-83,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-85,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-89,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-92,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-94,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-95,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-98,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-103,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-105,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-106,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-110,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-119,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-122,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-125,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-617,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-624,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-626,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-643,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-648,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-71,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-116,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-119,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-122,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-125,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-1,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-7,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-616,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-678,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-680,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-484,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-341,метрична книга|народження|шлюб|смерть
ДАЖО-1-80-6,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-530,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-649,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-534,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-610,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-612,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-618,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-623,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-627,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-630,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-632,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-633,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-635,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-637,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-640,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-642,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-645,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-54,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-476,метрична книга|народження|шлюб|смерть
ДАЖО-1-78-505,метрична книга|народження|шлюб|смерть
