full_code,title
ДАЖО-1-78-531,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-539,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-541,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-544,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-545,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-548,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-552,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-554,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-555,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-558,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-559,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-561,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-562,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-566,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-568,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-571,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-573,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-575,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-577,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-579,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-581,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-583,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-586,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-588,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-589,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-591,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-593,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-595,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-598,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-601,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-603,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-606,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-607,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-613,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-614,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-620,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-628,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-629,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-631,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-634,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-636,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-625,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-639,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
ДАЖО-1-78-641,"Метрична книга. Церква Святого Архистратига Михаїла, с. Бережці Бережецької вол. Володимир-Волинського пов."
