full_code,db_before,catalog
ДАЖО-1-78-531,1802-1802,1797-1807
ДАЖО-1-78-539,1807-1807,1803-1812
ДАЖО-1-78-541,1808-1808,1804-1812
ДАЖО-1-78-544,1809-1809,1806-1813
ДАЖО-1-78-545,1810-1810,1806-1814
ДАЖО-1-78-548,1811-1811,1807-1815
ДАЖО-1-78-552,1813-1813,1809-1817
ДАЖО-1-78-554,1814-1814,"1810-1818,1820-1821"
ДАЖО-1-78-555,1815-1815,1811-1821
ДАЖО-1-78-558,1816-1816,1812-1820
ДАЖО-1-78-559,1817-1817,1812-1822
ДАЖО-1-78-561,1818-1818,1814-1822
ДАЖО-1-78-562,1819-1819,1814-1822
ДАЖО-1-78-566,1821-1821,"1814-1815,1817-1822,1824-1828"
ДАЖО-1-78-568,1822-1822,1817-1828
ДАЖО-1-78-571,1824-1824,"1821-1822,1824-1830"
ДАЖО-1-78-573,1825-1825,"1821-1822,1824-1830"
ДАЖО-1-78-575,1826-1826,"1821-1822,1824-1830"
ДАЖО-1-78-577,1827-1827,"1822-1822,1824-1832"
ДАЖО-1-78-579,1828-1828,"1822-1822,1824-1832"
ДАЖО-1-78-581,1829-1829,1824-1834
ДАЖО-1-78-583,1830-1830,1824-1834
ДАЖО-1-78-586,1831-1831,1827-1835
ДАЖО-1-78-588,1832-1832,1827-1836
ДАЖО-1-78-591,1834-1834,"1797-1797,1829-1838"
ДАЖО-1-78-593,1835-1835,"1797-1797,1831-1840"
ДАЖО-1-78-595,1836-1836,"1832-1841,1843-1843"
ДАЖО-1-78-598,1837-1837,1833-1841
ДАЖО-1-78-601,1838-1838,1834-1843
ДАЖО-1-78-603,1839-1839,1834-1844
ДАЖО-1-78-606,1841-1841,1837-1847
ДАЖО-1-78-607,1842-1842,1838-1849
ДАЖО-1-78-613,1845-1845,1838-1850
ДАЖО-1-78-614,1846-1846,"1839-1851,1856-1856"
ДАЖО-1-78-620,1848-1848,"1842-1843,1845-1853"
ДАЖО-1-78-628,1851-1851,"1846-1846,1848-1855"
ДАЖО-1-78-629,1852-1852,1848-1856
ДАЖО-1-78-631,1853-1853,1849-1857
ДАЖО-1-78-634,1854-1854,1850-1860
ДАЖО-1-78-636,1855-1855,"1851-1860,1865-1865"
ДАЖО-1-78-625,1856-1856,"1846-1847,1849-1860"
ДАЖО-1-78-639,1857-1857,"1853-1860,1865-1865"
ДАЖО-1-78-641,1858-1858,"1854-1860,1865-1866"
ДАЖО-1-78-644,1859-1859,1854-1860
ДАЖО-1-78-526,1798-1798,1797-1803
