full_code,db_before,catalog
ДАЗкО-Р1606-13-37,1938-1949,1932-1956
ДАЗкО-Р1606-13-121,1920-1951,1919-1951
ДАЗкО-Р1606-3-105,1920-1945,1920-1947
ДАЗкО-Р1606-1-6,1837-1839,"1837-1839,1870-1896"
ДАЗкО-Р1606-1-69,1862-1879,"1862-1879,1905-1921"
ДАЗкО-Р1606-1-133,1906-1906,1900-1950
ДАЗкО-Р1606-4-3,1862-1885,1861-1889
ДАЗкО-Р1606-4-48,1885-1913,1883-1913
ДАЗкО-Р1606-4-6,1862-1880,"1862-1880,1889-1916"
ДАЗкО-Р1606-4-10,1785-1831,1785-1836
ДАЗкО-Р1606-5-45,1863-1884,1863-1889
ДАЗкО-Р1606-7-29,1923-1941,"1900-1920,1923-1948"
ДАЗкО-Р1606-7-30,1889-1922,1888-1922
ДАЗкО-Р1606-7-95,1898-1925,1898-1940
ДАЗкО-Р1606-7-21,1892-1895,"1874-1874,1892-1896"
ДАЗкО-Р1606-7-26,1921-1948,1921-1949
ДАЗкО-Р1606-7-185,1825-1854,1797-1854
ДАЗкО-Р1606-7-47,1928-1945,1928-1948
ДАЗкО-Р1606-7-171,1843-1861,"1843-1861,1865-1865"
ДАЗкО-Р1606-7-97,1827-1859,1827-1875
ДАЗкО-Р1606-7-146,1790-1827,1783-1827
ДАЗкО-Р1606-7-200,1895-1914,1895-1922
ДАЗкО-Р1606-7-158,1932-1951,1915-1951
ДАЗкО-Р1606-7-218,1935-1949,1912-1949
ДАЗкО-Р1606-7-84,1863-1903,1861-1903
ДАЗкО-Р1606-7-35,1834-1854,1834-1855
ДАЗкО-Р1606-7-151,1863-1874,1827-1874
ДАЗкО-Р1606-7-192,1897-1909,1896-1909
ДАЗкО-Р1606-7-198,1897-1915,1893-1915
ДАЗкО-Р1606-7-220,1779-1833,1776-1833
ДАЗкО-Р1606-7-44,1875-1896,1864-1900
ДАЗкО-Р1606-7-46,1896-1906,1896-1907
ДАЗкО-Р1606-7-59,1826-1854,1826-1881
ДАЗкО-Р1606-7-1,1899-1940,"1888-1894,1899-1940"
ДАЗкО-Р1606-7-2,1858-1909,1858-1911
ДАЗкО-Р1606-7-3,1857-1886,1857-1887
ДАЗкО-Р1606-7-65,1827-1870,1823-1870
ДАЗкО-Р1606-3-10,1932-1939,"1902-1929,1932-1939"
ДАЗкО-Р1606-3-98,1862-1883,1862-1884
ДАЗкО-Р1606-3-161,1944-1957,1944-1958
ДАЗкО-Р1606-2-18,1901-1931,1901-1933
ДАЗкО-Р1606-2-59,1899-1944,1899-1947
ДАЗкО-Р1606-2-22,1936-1946,1931-1957
ДАЗкО-Р1606-2-41,1909-1937,1906-1937
ДАЗкО-Р1606-8-19,1931-1949,1913-1949
ДАЗкО-Р1606-6-18,1908-1927,"1908-1927,1933-1948"
ДАЗкО-Р1606-8-13,1861-1888,1861-1892
ДАЗкО-Р1606-6-33,1879-1902,1862-1902
ДАЗкО-Р1606-9-51,1894-1905,1893-1946
ДАЗкО-Р1606-9-11,1788-1824,1788-1844
ДАЗкО-Р1606-9-23,1882-1888,1852-1888
ДАЗкО-Р1606-9-38,1881-1893,1861-1893
ДАЗкО-Р1606-11-4,1874-1881,1874-1882
ДАЗкО-Р1606-11-5,1861-1875,1861-1879
ДАЗкО-Р1606-11-10,1850-1862,1850-1887
ДАЗкО-Р1606-11-12,1862-1877,1862-1887
ДАЗкО-Р1606-11-15,1818-1839,1812-1841
ДАЗкО-Р1606-11-21,1859-1873,1859-1878
ДАЗкО-Р1606-11-23,1877-1883,1873-1891
ДАЗкО-Р1606-11-35,1843-1866,1829-1866
ДАЗкО-Р1606-11-43,1823-1861,1821-1861
ДАЗкО-Р1606-11-44,1788-1821,1788-1823
ДАЗкО-Р1606-11-57,1862-1877,1862-1887
ДАЗкО-Р1606-11-60,1859-1871,1859-1881
ДАЗкО-Р1606-11-61,1887-1896,1886-1896
ДАЗкО-Р1606-11-69,1862-1874,1862-1875
ДАЗкО-Р1606-11-72,1826-1861,1826-1869
ДАЗкО-Р1606-11-77,1771-1806,1771-1807
ДАЗкО-Р1606-11-78,1827-1849,1827-1850
ДАЗкО-Р1606-11-89,1833-1848,1831-1848
ДАЗкО-Р1606-11-90,1877-1888,1877-1893
ДАЗкО-Р1606-11-93,1864-1885,1862-1885
ДАЗкО-Р1606-11-94,1800-1840,1800-1841
ДАЗкО-Р1606-13-17,1836-1861,1831-1861
ДАЗкО-Р1606-13-18,1831-1855,1831-1861
ДАЗкО-Р1606-13-98,1928-1946,1927-1946
ДАЗкО-Р1606-13-25,1877-1890,1876-1890
ДАЗкО-Р1606-1-125,1888-1905,1881-1905
ДАЗкО-Р1606-1-191,1898-1941,1889-1941
ДАЗкО-Р1606-1-195,1909-1943,1896-1946
ДАЗкО-Р1606-1-170,1871-1907,1871-1927
ДАЗкО-Р1606-1-99,1840-1852,"1840-1852,1863-1878"
ДАЗкО-Р1606-7-17,1938-1941,1931-1948
ДАЗкО-Р1606-3-58,1853-1858,1829-1886
ДАЗкО-Р1606-1-101,1891-1893,1891-1896
